FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57062 => 5.9.72.90:443,192.168.0.123,57062,5.9.72.90,443,6,1679092587.571526,rtv21,2.220106,77,77,8822,0,3973.684139405956292177040195,34.68302864818166339805396679,114.57142857142857
192.168.0.123:57063 => 5.9.72.90:443,192.168.0.123,57063,5.9.72.90,443,6,1679092587.571736,rtv21,2.207711,89,89,6464,0,2927.919460472860804697716322,40.31324752198091145081942338,72.62921348314607
5.9.72.90:443 => 192.168.0.123:57063,5.9.72.90,443,192.168.0.123,57063,6,1679092587.620233,rtv21,2.159079,561,561,354226,0,164063.4733606320102228774399,259.8330121315616519821646174,631.4188948306595
5.9.72.90:443 => 192.168.0.123:57062,5.9.72.90,443,192.168.0.123,57062,6,1679092587.624470,rtv21,2.167000,354,354,504135,0,232641.9012459621596677434241,163.3594831564374711582833410,1424.1101694915253
192.168.0.123:57065 => 5.9.72.90:443,192.168.0.123,57065,5.9.72.90,443,6,1679092588.184356,rtv21,1.593884,33,33,4764,0,2988.925166448750348206017502,20.70414158119411450268651922,144.36363636363637
192.168.0.123:57066 => 5.9.72.90:443,192.168.0.123,57066,5.9.72.90,443,6,1679092588.184962,rtv21,1.595655,51,51,8196,0,5136.448668415164932269193529,31.96179625294941575716555270,160.7058823529412
192.168.0.123:57067 => 5.9.72.90:443,192.168.0.123,57067,5.9.72.90,443,6,1679092588.185188,rtv21,1.606422,24,24,3643,0,2267.772727216136233194017512,14.94003443677937677646346975,151.79166666666666
192.168.0.123:57068 => 5.9.72.90:443,192.168.0.123,57068,5.9.72.90,443,6,1679092588.185262,rtv21,1.595382,47,47,4800,0,3008.683813657168001143299849,29.46002900872643667786147769,102.12765957446808
5.9.72.90:443 => 192.168.0.123:57065,5.9.72.90,443,192.168.0.123,57065,6,1679092588.232227,rtv21,1.545860,66,66,83847,0,54239.71122870117604440246853,42.69468127773537060277127295,1270.409090909091
5.9.72.90:443 => 192.168.0.123:57066,5.9.72.90,443,192.168.0.123,57066,6,1679092588.246556,rtv21,1.533973,154,154,210443,0,137188.2034429549933408215138,100.3929013092146993460771474,1366.512987012987
5.9.72.90:443 => 192.168.0.123:57067,5.9.72.90,443,192.168.0.123,57067,6,1679092588.248906,rtv21,1.542564,44,44,52070,0,33755.48761672125111178531328,28.52393806675120124675540204,1183.409090909091
5.9.72.90:443 => 192.168.0.123:57068,5.9.72.90,443,192.168.0.123,57068,6,1679092588.249470,rtv21,1.531067,119,119,163110,0,106533.5481726142618187185799,77.72357447453311971324572994,1370.672268907563
