FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52512 => 5.9.72.90:443,192.168.0.123,52512,5.9.72.90,443,6,1679065781.387378,rtv21,2.277978,54,54,7531,0,3306.002077280816583830045769,23.70523332534379173108783316,139.46296296296296
192.168.0.123:52513 => 5.9.72.90:443,192.168.0.123,52513,5.9.72.90,443,6,1679065781.387666,rtv21,2.274427,94,94,6736,0,2961.625059850239203104781996,41.32909079957281548275675588,71.65957446808511
5.9.72.90:443 => 192.168.0.123:52512,5.9.72.90,443,192.168.0.123,52512,6,1679065781.434781,rtv21,2.230425,212,212,296583,0,132971.5188809307643162177612,95.04914982570586323234361164,1398.9764150943397
5.9.72.90:443 => 192.168.0.123:52513,5.9.72.90,443,192.168.0.123,52513,6,1679065781.438981,rtv21,2.223049,597,597,370868,0,166828.5314448759339087892350,268.5500859405258273659285063,621.2194304857621
192.168.0.123:52515 => 5.9.72.90:443,192.168.0.123,52515,5.9.72.90,443,6,1679065782.008069,rtv21,1.745234,58,58,8669,0,4967.242215084051766124198818,33.23336584091302369768180084,149.4655172413793
192.168.0.123:52516 => 5.9.72.90:443,192.168.0.123,52516,5.9.72.90,443,6,1679065782.008671,rtv21,1.656671,35,35,4196,0,2532.790155679673272484397928,21.12670530238049679145708472,119.88571428571429
192.168.0.123:52517 => 5.9.72.90:443,192.168.0.123,52517,5.9.72.90,443,6,1679065782.008838,rtv21,1.656476,26,26,3208,0,1936.641400177243739118465948,15.69597144782055399534916292,123.38461538461539
192.168.0.123:52518 => 5.9.72.90:443,192.168.0.123,52518,5.9.72.90,443,6,1679065782.008990,rtv21,1.656375,84,84,8017,0,4840.087540562976379141196891,50.71315372424722662440570523,95.44047619047619
5.9.72.90:443 => 192.168.0.123:52515,5.9.72.90,443,192.168.0.123,52515,6,1679065782.048064,rtv21,1.705132,139,139,188402,0,110491.1525911190453290419745,81.51861556759242099731868266,1355.410071942446
5.9.72.90:443 => 192.168.0.123:52517,5.9.72.90,443,192.168.0.123,52517,6,1679065782.052868,rtv21,1.612338,65,65,83982,0,52087.09340101145045269664301,40.31412768290519729734088014,1292.0307692307692
5.9.72.90:443 => 192.168.0.123:52518,5.9.72.90,443,192.168.0.123,52518,6,1679065782.052875,rtv21,1.612331,305,305,429628,0,266463.8960610445373809720213,189.1671127082466317400087203,1408.616393442623
5.9.72.90:443 => 192.168.0.123:52516,5.9.72.90,443,192.168.0.123,52516,6,1679065782.052875,rtv21,1.612332,81,81,105279,0,65296.10526864194223026026898,50.23779221649139259160024114,1299.7407407407406
