FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51222 => 5.9.72.90:443,192.168.0.123,51222,5.9.72.90,443,6,1679094881.967756,rtv21,3.109654,50,50,6793,0,2184.487405994364646356154093,16.07895926685091010125242230,135.86
192.168.0.123:51223 => 5.9.72.90:443,192.168.0.123,51223,5.9.72.90,443,6,1679094881.967913,rtv21,3.106970,97,97,7482,0,2408.133969751880449441095344,31.22012764848067409727161833,77.1340206185567
5.9.72.90:443 => 192.168.0.123:51223,5.9.72.90,443,192.168.0.123,51223,6,1679094882.003440,rtv21,3.071371,588,588,369362,0,120259.6495180816645074789076,191.4454489542292350875228033,628.1666666666666
5.9.72.90:443 => 192.168.0.123:51222,5.9.72.90,443,192.168.0.123,51222,6,1679094882.005839,rtv21,3.071538,152,152,207747,0,67636.14840513124044045686558,49.48660898872161112771517071,1366.7565789473683
192.168.0.123:51225 => 5.9.72.90:443,192.168.0.123,51225,5.9.72.90,443,6,1679094882.649576,rtv21,2.426632,75,75,9552,0,3936.319969406156351684144938,30.90703493566391607792199229,127.36
192.168.0.123:51226 => 5.9.72.90:443,192.168.0.123,51226,5.9.72.90,443,6,1679094882.649916,rtv21,2.422496,38,38,5610,0,2315.793297491512885882990106,15.68630041081595181168513797,147.6315789473684
192.168.0.123:51227 => 5.9.72.90:443,192.168.0.123,51227,5.9.72.90,443,6,1679094882.650045,rtv21,2.426141,59,59,7975,0,3287.113156242774018492742178,24.31845469822240339699959730,135.16949152542372
192.168.0.123:51228 => 5.9.72.90:443,192.168.0.123,51228,5.9.72.90,443,6,1679094882.650197,rtv21,2.417384,22,22,3539,0,1463.979243678290250948959702,9.100746923120199355998054095,160.86363636363637
5.9.72.90:443 => 192.168.0.123:51226,5.9.72.90,443,192.168.0.123,51226,6,1679094882.695382,rtv21,2.376893,85,85,110801,0,46615.89730795622688947293799,35.76097030871814591569750931,1303.5411764705882
5.9.72.90:443 => 192.168.0.123:51227,5.9.72.90,443,192.168.0.123,51227,6,1679094882.695388,rtv21,2.380715,245,245,336981,0,141546.1321493752927166838534,102.9102601529372478436100079,1375.4326530612245
5.9.72.90:443 => 192.168.0.123:51225,5.9.72.90,443,192.168.0.123,51225,6,1679094882.696556,rtv21,2.379558,284,284,398667,0,167538.2571048909083115435724,119.3498960731362715260565197,1403.7570422535211
5.9.72.90:443 => 192.168.0.123:51228,5.9.72.90,443,192.168.0.123,51228,6,1679094882.696566,rtv21,2.370896,44,44,52070,0,21962.16114076703491000870557,18.55838467819760968005344815,1183.409090909091
