FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50569 => 138.201.56.69:443,192.168.0.123,50569,138.201.56.69,443,6,1679094737.812568,telesport,2.182804,49,49,6363,0,2915.057879681363970379383582,22.44819049259576214813606719,129.85714285714286
192.168.0.123:50570 => 138.201.56.69:443,192.168.0.123,50570,138.201.56.69,443,6,1679094737.812763,telesport,2.182601,66,66,7139,0,3270.868106447307593096493587,30.23915044481332135374262176,108.16666666666667
138.201.56.69:443 => 192.168.0.123:50569,138.201.56.69,443,192.168.0.123,50569,6,1679094737.856074,telesport,2.139117,267,267,379906,0,177599.4487445053262631263274,124.8178570877609780110204351,1422.8689138576779
138.201.56.69:443 => 192.168.0.123:50570,138.201.56.69,443,192.168.0.123,50570,6,1679094737.864539,telesport,2.130652,345,345,491379,0,230623.7715028075912913042580,161.9222660481392550261610061,1424.286956521739
192.168.0.123:50572 => 138.201.56.69:443,192.168.0.123,50572,138.201.56.69,443,6,1679094738.530321,telesport,1.464977,42,42,5987,0,4086.753580431638175889450824,28.66939207919305217761097956,142.54761904761904
192.168.0.123:50573 => 138.201.56.69:443,192.168.0.123,50573,138.201.56.69,443,6,1679094738.530596,telesport,1.464761,65,65,6540,0,4464.892224738370287029761169,44.37584015412753343378202997,100.61538461538461
192.168.0.123:50574 => 138.201.56.69:443,192.168.0.123,50574,138.201.56.69,443,6,1679094738.530655,telesport,1.450636,37,37,6374,0,4393.934798254007207872960550,25.50605389635994143258543149,172.27027027027026
138.201.56.69:443 => 192.168.0.123:50573,138.201.56.69,443,192.168.0.123,50573,6,1679094738.573460,telesport,1.421731,508,508,729953,0,513425.5354915944014725711123,357.3109118391594471809364781,1436.9153543307086
138.201.56.69:443 => 192.168.0.123:50572,138.201.56.69,443,192.168.0.123,50572,6,1679094738.573466,telesport,1.421718,176,176,245082,0,172384.3969057154794410705921,123.7938888021393834782987906,1392.5113636363637
138.201.56.69:443 => 192.168.0.123:50574,138.201.56.69,443,192.168.0.123,50574,6,1679094738.583395,telesport,1.397799,71,71,90997,0,65100.20396351692911498720488,50.79414136081081757820688096,1281.6478873239437
192.168.0.123:50582 => 138.201.56.69:443,192.168.0.123,50582,138.201.56.69,443,6,1679094738.789427,telesport,1.205918,8,8,1121,0,929.5822767385510457593302364,6.633950235422308979549189912,140.125
138.201.56.69:443 => 192.168.0.123:50582,138.201.56.69,443,192.168.0.123,50582,6,1679094738.832068,telesport,1.163123,5,5,815,0,700.6997540242949369929061673,4.298771497081564030631326180,163.0
