FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61607 => 138.201.56.69:443,192.168.0.123,61607,138.201.56.69,443,6,1679093779.476685,telesport,2.578245,87,87,9087,0,3524.490496442347410738700162,33.74388392103931162476801080,104.44827586206897
192.168.0.123:61608 => 138.201.56.69:443,192.168.0.123,61608,138.201.56.69,443,6,1679093779.477222,telesport,2.577706,60,60,7568,0,2935.943819814982779261870826,23.27651019937882753114591036,126.13333333333334
138.201.56.69:443 => 192.168.0.123:61607,138.201.56.69,443,192.168.0.123,61607,6,1679093779.514868,telesport,2.539953,737,737,1062715,0,418399.4743209815299731924173,290.1628494700492489427953982,1441.9470827679784
138.201.56.69:443 => 192.168.0.123:61608,138.201.56.69,443,192.168.0.123,61608,6,1679093779.528856,telesport,2.525965,311,311,441245,0,174683.7347310829722502093259,123.1212625669793524455010263,1418.7942122186496
192.168.0.123:61610 => 138.201.56.69:443,192.168.0.123,61610,138.201.56.69,443,6,1679093780.180966,telesport,1.866791,54,54,7432,0,3981.163397509415890691566437,28.92664470741502396358242567,137.62962962962962
192.168.0.123:61611 => 138.201.56.69:443,192.168.0.123,61611,138.201.56.69,443,6,1679093780.181223,telesport,1.879114,23,23,4437,0,2361.219170311114706186000424,12.23981088960009876995222216,192.91304347826087
192.168.0.123:61612 => 138.201.56.69:443,192.168.0.123,61612,138.201.56.69,443,6,1679093780.181450,telesport,2.313071,30,30,5571,0,2408.486380227844281476876412,12.96977049126464341129174159,185.7
138.201.56.69:443 => 192.168.0.123:61610,138.201.56.69,443,192.168.0.123,61610,6,1679093780.227414,telesport,1.820211,160,160,221600,0,121744.1274665409669538311767,87.90189708775521079699001929,1385.0
138.201.56.69:443 => 192.168.0.123:61612,138.201.56.69,443,192.168.0.123,61612,6,1679093780.235101,telesport,2.259044,85,85,115124,0,50961.38012362751677258167614,37.62653582665941876298115486,1354.4
138.201.56.69:443 => 192.168.0.123:61611,138.201.56.69,443,192.168.0.123,61611,6,1679093780.235114,telesport,1.825039,42,42,49882,0,27332.01865823141313692474517,23.01320684105928695222403466,1187.6666666666667
192.168.0.123:61620 => 138.201.56.69:443,192.168.0.123,61620,138.201.56.69,443,6,1679093780.433317,telesport,1.610451,22,22,3961,0,2459.559465019426235259563936,13.66076956082488694160828240,180.04545454545453
138.201.56.69:443 => 192.168.0.123:61620,138.201.56.69,443,192.168.0.123,61620,6,1679093780.474432,telesport,1.569124,41,41,50369,0,32100.07622087228287885469855,26.12922879262569433645779429,1228.5121951219512
