FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:62128 => 138.201.56.69:443,192.168.0.123,62128,138.201.56.69,443,6,1679067318.790299,telesport,2.451045,56,56,6730,0,2745.767621565495533537735945,22.84739774259550518248338974,120.17857142857143
192.168.0.123:62129 => 138.201.56.69:443,192.168.0.123,62129,138.201.56.69,443,6,1679067318.790460,telesport,2.450926,54,54,6498,0,2651.242836381024967706083333,22.03248894499466732165720222,120.33333333333333
138.201.56.69:443 => 192.168.0.123:62128,138.201.56.69,443,192.168.0.123,62128,6,1679067318.827344,telesport,2.413905,281,281,399956,0,165688.3763031270907512930293,116.4088893307731663010764715,1423.3309608540926
138.201.56.69:443 => 192.168.0.123:62129,138.201.56.69,443,192.168.0.123,62129,6,1679067318.835043,telesport,2.406211,320,320,454552,0,188907.7890509186434606108941,132.9891684478210763727703015,1420.475
192.168.0.123:62131 => 138.201.56.69:443,192.168.0.123,62131,138.201.56.69,443,6,1679067319.390404,telesport,1.849499,76,76,7125,0,3852.394621462352777698176641,41.09220929559842962878055084,93.75
192.168.0.123:62132 => 138.201.56.69:443,192.168.0.123,62132,138.201.56.69,443,6,1679067319.390574,telesport,1.834825,36,36,6314,0,3441.200114452331966263812625,19.62039976564522502145981224,175.38888888888889
192.168.0.123:62133 => 138.201.56.69:443,192.168.0.123,62133,138.201.56.69,443,6,1679067319.390750,telesport,1.850645,48,48,6312,0,3410.702754985424000821335264,25.93690307973706464502916551,131.5
138.201.56.69:443 => 192.168.0.123:62133,138.201.56.69,443,192.168.0.123,62133,6,1679067319.438757,telesport,1.802497,161,161,226533,0,125677.3242895827288478150033,89.32053701060251417894176800,1407.0372670807453
138.201.56.69:443 => 192.168.0.123:62131,138.201.56.69,443,192.168.0.123,62131,6,1679067319.438764,telesport,1.801020,540,540,775867,0,430793.1061287492643057822789,299.8300962787753606289769131,1436.7907407407408
138.201.56.69:443 => 192.168.0.123:62132,138.201.56.69,443,192.168.0.123,62132,6,1679067319.439844,telesport,1.785492,92,92,122941,0,68855.53113651587349593277371,51.52641400801571779655131471,1336.3152173913043
192.168.0.123:62141 => 138.201.56.69:443,192.168.0.123,62141,138.201.56.69,443,6,1679067319.654244,telesport,1.573075,8,8,1121,0,712.6170080892519428507858812,5.085580789218568726856634299,140.125
138.201.56.69:443 => 192.168.0.123:62141,138.201.56.69,443,192.168.0.123,62141,6,1679067319.696383,telesport,1.530850,5,5,815,0,532.3839696900414802234052977,3.266159323251788222229480354,163.0
