FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:62111 => 51.178.75.191:443,192.168.0.123,62111,51.178.75.191,443,6,1679094012.730533,balkanweb,2.890877,73,73,14043,0,4857.695432908421907953883891,25.25185263848998072211304736,192.36986301369862
192.168.0.123:62112 => 51.178.75.191:443,192.168.0.123,62112,51.178.75.191,443,6,1679094012.730845,balkanweb,2.892906,150,150,22953,0,7934.236369933900375608471205,51.85097614647693357475147827,153.02
51.178.75.191:443 => 192.168.0.123:62111,51.178.75.191,443,192.168.0.123,62111,6,1679094012.753179,balkanweb,2.868085,218,218,297409,0,103696.0201667663266604720571,76.00890489647273354869189721,1364.2614678899083
51.178.75.191:443 => 192.168.0.123:62112,51.178.75.191,443,192.168.0.123,62112,6,1679094012.761120,balkanweb,2.862502,777,777,1099188,0,383995.5395664352374251616243,271.4408583819330082564134453,1414.6563706563707
192.168.0.123:62114 => 51.178.75.191:443,192.168.0.123,62114,51.178.75.191,443,6,1679094012.846392,balkanweb,2.777409,66,66,13904,0,5006.104610448083087510697920,23.76315479643077414957609772,210.66666666666666
192.168.0.123:62115 => 51.178.75.191:443,192.168.0.123,62115,51.178.75.191,443,6,1679094012.847096,balkanweb,2.775121,168,168,23998,0,8647.550863547931783875369759,60.53790086990801482169606298,142.8452380952381
192.168.0.123:62116 => 51.178.75.191:443,192.168.0.123,62116,51.178.75.191,443,6,1679094012.847260,balkanweb,2.774115,62,62,11925,0,4298.668223920060992424611092,22.34947001115671123944032601,192.33870967741936
192.168.0.123:62117 => 51.178.75.191:443,192.168.0.123,62117,51.178.75.191,443,6,1679094012.847326,balkanweb,2.774925,81,81,16222,0,5845.923763705325369154121283,29.18997810751641936268547799,200.2716049382716
51.178.75.191:443 => 192.168.0.123:62114,51.178.75.191,443,192.168.0.123,62114,6,1679094012.873579,balkanweb,2.750051,238,238,332029,0,120735.5790856242302415482477,86.54384955042651936273181843,1395.079831932773
51.178.75.191:443 => 192.168.0.123:62116,51.178.75.191,443,192.168.0.123,62116,6,1679094012.879295,balkanweb,2.741959,214,214,295770,0,107868.1336956533631611559473,78.04638946096568183550519902,1382.1028037383178
51.178.75.191:443 => 192.168.0.123:62115,51.178.75.191,443,192.168.0.123,62115,6,1679094012.879305,balkanweb,2.742790,970,970,1381898,0,503829.3124883786217683453710,353.6544905005487113486632225,1424.637113402062
51.178.75.191:443 => 192.168.0.123:62117,51.178.75.191,443,192.168.0.123,62117,6,1679094012.879305,balkanweb,2.742798,428,428,596693,0,217549.0138172771017041721629,156.0450313876559629983688190,1394.142523364486
192.168.0.123:62130 => 51.178.75.191:443,192.168.0.123,62130,51.178.75.191,443,6,1679094013.139421,balkanweb,2.466790,13,13,1958,0,793.7440965789548360419816847,5.270006769931773681586190961,150.6153846153846
192.168.0.123:62131 => 51.178.75.191:443,192.168.0.123,62131,51.178.75.191,443,6,1679094013.139452,balkanweb,2.463752,15,15,2065,0,838.1525413272115050540801185,6.088275118599599310320194565,137.66666666666666
192.168.0.123:62132 => 51.178.75.191:443,192.168.0.123,62132,51.178.75.191,443,6,1679094013.139477,balkanweb,2.462829,13,13,1955,0,793.8025741941482742001170199,5.278482590549323562456021104,150.3846153846154
51.178.75.191:443 => 192.168.0.123:62131,51.178.75.191,443,192.168.0.123,62131,6,1679094013.217495,balkanweb,2.385638,13,13,9211,0,3861.021663806495369372888930,5.449276042718970774275057658,708.5384615384615
51.178.75.191:443 => 192.168.0.123:62132,51.178.75.191,443,192.168.0.123,62132,6,1679094013.217499,balkanweb,2.384604,13,13,9498,0,3983.051273922210983458888771,5.451638930405216128128611711,730.6153846153846
51.178.75.191:443 => 192.168.0.123:62130,51.178.75.191,443,192.168.0.123,62130,6,1679094013.217500,balkanweb,2.388522,14,14,10854,0,4544.232793334120430961071324,5.861365312942480747508291739,775.2857142857143
