FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56882 => 51.178.75.191:443,192.168.0.123,56882,51.178.75.191,443,6,1679092561.775836,balkanweb,1.969902,34,34,8882,0,4508.853739932240284034434200,17.25974185517858248785980216,261.2352941176471
192.168.0.123:56883 => 51.178.75.191:443,192.168.0.123,56883,51.178.75.191,443,6,1679092561.776573,balkanweb,2.025083,49,49,11060,0,5461.504540801537517227688939,24.19653910481693836746444467,225.71428571428572
51.178.75.191:443 => 192.168.0.123:56882,51.178.75.191,443,192.168.0.123,56882,6,1679092561.814310,balkanweb,1.990289,50,50,55819,0,28045.67577874368998673057028,25.12197977278676614300737230,1116.38
51.178.75.191:443 => 192.168.0.123:56883,51.178.75.191,443,192.168.0.123,56883,6,1679092561.814317,balkanweb,1.987246,119,119,158527,0,79772.20736637537577129353890,59.88186666371450741377766014,1332.1596638655462
192.168.0.123:56887 => 51.178.75.191:443,192.168.0.123,56887,51.178.75.191,443,6,1679092561.904704,balkanweb,1.895125,16,16,4001,0,2111.206384803113251104808390,8.442714860497328672251170767,250.0625
192.168.0.123:56888 => 51.178.75.191:443,192.168.0.123,56888,51.178.75.191,443,6,1679092561.905889,balkanweb,1.850750,21,21,4259,0,2301.229231392678643793056869,11.34675131703363501283263542,202.8095238095238
192.168.0.123:56889 => 51.178.75.191:443,192.168.0.123,56889,51.178.75.191,443,6,1679092561.905986,balkanweb,1.893807,32,32,6458,0,3410.062377000401836089950032,16.89718118055324539406602679,201.8125
192.168.0.123:56890 => 51.178.75.191:443,192.168.0.123,56890,51.178.75.191,443,6,1679092561.906186,balkanweb,1.895544,26,26,6140,0,3239.175666721532182845663303,13.71637904474915908045394884,236.15384615384616
51.178.75.191:443 => 192.168.0.123:56890,51.178.75.191,443,192.168.0.123,56890,6,1679092561.933683,balkanweb,1.867956,53,53,66034,0,35350.93974376270104863283718,28.37325932730749546563195279,1245.9245283018868
51.178.75.191:443 => 192.168.0.123:56887,51.178.75.191,443,192.168.0.123,56887,6,1679092561.934388,balkanweb,1.865175,12,12,8131,0,4359.376466015253260417923251,6.433712654308576943182275122,677.5833333333334
51.178.75.191:443 => 192.168.0.123:56888,51.178.75.191,443,192.168.0.123,56888,6,1679092561.935562,balkanweb,1.820920,46,46,57709,0,31692.22151439931463216396107,25.26195549502449311337126288,1254.5434782608695
51.178.75.191:443 => 192.168.0.123:56889,51.178.75.191,443,192.168.0.123,56889,6,1679092561.935568,balkanweb,1.863984,74,74,95802,0,51396.36391728684366389411068,39.69991158722392466888127795,1294.6216216216217
192.168.0.123:56903 => 51.178.75.191:443,192.168.0.123,56903,51.178.75.191,443,6,1679092562.225193,balkanweb,1.512643,11,11,1839,0,1215.752824691615933171277030,7.272039734425108898795023016,167.1818181818182
192.168.0.123:56904 => 51.178.75.191:443,192.168.0.123,56904,51.178.75.191,443,6,1679092562.225229,balkanweb,1.520437,12,12,1897,0,1247.667611351210211274784815,7.892467757624945985923783754,158.08333333333334
192.168.0.123:56905 => 51.178.75.191:443,192.168.0.123,56905,51.178.75.191,443,6,1679092562.225257,balkanweb,1.520457,12,12,1894,0,1245.678108621289520190311202,7.892363940578391891385287450,157.83333333333334
51.178.75.191:443 => 192.168.0.123:56903,51.178.75.191,443,192.168.0.123,56903,6,1679092562.270337,balkanweb,1.467384,12,12,9101,0,6202.193836105613799796099726,8.177818485140903812498977773,758.4166666666666
51.178.75.191:443 => 192.168.0.123:56904,51.178.75.191,443,192.168.0.123,56904,6,1679092562.277902,balkanweb,1.467648,12,12,8814,0,6005.527210884353741496598639,8.176347462061747776033490319,734.5
51.178.75.191:443 => 192.168.0.123:56905,51.178.75.191,443,192.168.0.123,56905,6,1679092562.277917,balkanweb,1.467634,13,13,10457,0,7125.073417486921126111823520,8.857794245704310475227474970,804.3846153846154
