FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52381 => 188.40.137.224:443,192.168.0.123,52381,188.40.137.224,443,6,1679095575.518156,shqiperia,2.731575,75,75,10699,0,3916.787933701252940153574403,27.45668707613739326212899152,142.65333333333334
192.168.0.123:52382 => 188.40.137.224:443,192.168.0.123,52382,188.40.137.224,443,6,1679095575.518533,shqiperia,2.666454,36,36,4994,0,1872.899363724257009496507346,13.50107671086769169841294843,138.72222222222223
188.40.137.224:443 => 192.168.0.123:52381,188.40.137.224,443,192.168.0.123,52381,6,1679095575.560982,shqiperia,2.692010,246,246,339225,0,126011.7904465436606847671443,91.38153275805067588901972875,1378.9634146341464
188.40.137.224:443 => 192.168.0.123:52382,188.40.137.224,443,192.168.0.123,52382,6,1679095575.569070,shqiperia,2.692630,54,54,66336,0,24636.13641681181595688973234,20.05474201802698476953758964,1228.4444444444443
192.168.0.123:52384 => 188.40.137.224:443,192.168.0.123,52384,188.40.137.224,443,6,1679095576.988782,shqiperia,1.264322,44,44,8567,0,6775.963718103457821662519516,34.80126107115117825996858395,194.70454545454547
192.168.0.123:52385 => 188.40.137.224:443,192.168.0.123,52385,188.40.137.224,443,6,1679095576.989287,shqiperia,1.263769,33,33,6250,0,4945.524063337524500126209774,26.11236705442212936066638761,189.3939393939394
192.168.0.123:52386 => 188.40.137.224:443,192.168.0.123,52386,188.40.137.224,443,6,1679095577.010943,shqiperia,1.242197,55,55,7448,0,5995.828358947896348163777565,44.27639094282146873644035527,135.4181818181818
192.168.0.123:52387 => 188.40.137.224:443,192.168.0.123,52387,188.40.137.224,443,6,1679095577.011582,shqiperia,1.238176,56,56,8857,0,7153.264156307342413356421058,45.22781898534618664874783553,158.16071428571428
188.40.137.224:443 => 192.168.0.123:52385,188.40.137.224,443,192.168.0.123,52385,6,1679095577.042851,shqiperia,1.210134,66,66,81799,0,67594.99361227764859098248624,54.53941464333701887559559520,1239.378787878788
188.40.137.224:443 => 192.168.0.123:52384,188.40.137.224,443,192.168.0.123,52384,6,1679095577.042861,shqiperia,1.210131,64,64,80499,0,66520.89732433926574891478691,52.88683621855815610045523997,1257.796875
188.40.137.224:443 => 192.168.0.123:52387,188.40.137.224,443,192.168.0.123,52387,6,1679095577.073655,shqiperia,1.176001,136,136,186404,0,158506.6679365068567118565375,115.6461601648297918114015209,1370.6176470588234
188.40.137.224:443 => 192.168.0.123:52386,188.40.137.224,443,192.168.0.123,52386,6,1679095577.073678,shqiperia,1.179315,212,212,296234,0,251191.5815536985453419993810,179.7653722711913271687377842,1397.3301886792453
