FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:58855 => 188.40.137.224:443,192.168.0.123,58855,188.40.137.224,443,6,1679066935.753628,shqiperia,1.572327,57,57,9071,0,5769.156161536372523018430645,36.25200101505602842156879580,159.140350877193
192.168.0.123:58856 => 188.40.137.224:443,192.168.0.123,58856,188.40.137.224,443,6,1679066935.753863,shqiperia,2.858145,47,47,5531,0,1935.171238688030173416674102,16.44423218556091450923588551,117.68085106382979
188.40.137.224:443 => 192.168.0.123:58855,188.40.137.224,443,192.168.0.123,58855,6,1679066935.794746,shqiperia,1.531163,154,154,200109,0,130690.8539456609126526698986,100.5771429952265042977135681,1299.409090909091
188.40.137.224:443 => 192.168.0.123:58856,188.40.137.224,443,192.168.0.123,58856,6,1679066935.807072,shqiperia,2.804583,123,123,161292,0,57510.15391592974784486677699,43.85678726570046242168621859,1311.3170731707316
192.168.0.123:58858 => 188.40.137.224:443,192.168.0.123,58858,188.40.137.224,443,6,1679066936.145785,shqiperia,1.180188,44,44,7477,0,6335.431304165099119801252004,37.28219571797035726511369375,169.9318181818182
192.168.0.123:58859 => 188.40.137.224:443,192.168.0.123,58859,188.40.137.224,443,6,1679066936.145964,shqiperia,1.181319,38,38,7250,0,6137.207646706774376777144869,32.16743318273895535414227656,190.78947368421052
192.168.0.123:58860 => 188.40.137.224:443,192.168.0.123,58860,188.40.137.224,443,6,1679066936.159662,shqiperia,1.167606,49,49,7169,0,6139.913635250247086774134425,41.96621120480710102551716932,146.30612244897958
192.168.0.123:58861 => 188.40.137.224:443,192.168.0.123,58861,188.40.137.224,443,6,1679066936.159957,shqiperia,1.166043,60,60,9432,0,8088.895521005657595817649949,51.45607837789858521512499968,157.2
188.40.137.224:443 => 192.168.0.123:58858,188.40.137.224,443,192.168.0.123,58858,6,1679066936.193734,shqiperia,1.132181,113,113,148474,0,131139.8089174787423565666620,99.80736295698302656554031555,1313.929203539823
188.40.137.224:443 => 192.168.0.123:58859,188.40.137.224,443,192.168.0.123,58859,6,1679066936.193739,shqiperia,1.133499,92,92,117674,0,103814.8247153283769990092625,81.16460623255953467978357281,1279.0652173913043
188.40.137.224:443 => 192.168.0.123:58861,188.40.137.224,443,192.168.0.123,58861,6,1679066936.215448,shqiperia,1.110467,204,204,277223,0,249645.4194496549649832007615,183.7064946549514753702721468,1358.936274509804
188.40.137.224:443 => 192.168.0.123:58860,188.40.137.224,443,192.168.0.123,58860,6,1679066936.216670,shqiperia,1.110563,113,113,146605,0,132009.6203457165419701538769,101.7501933703896131961896804,1297.3893805309735
