FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:64016 => 188.40.137.224:443,192.168.0.123,64016,188.40.137.224,443,6,1679067675.656534,shqiperia,1.794141,83,83,12291,0,6850.632140952132524701235856,46.26169292157082414369885087,148.0843373493976
192.168.0.123:64017 => 188.40.137.224:443,192.168.0.123,64017,188.40.137.224,443,6,1679067675.656717,shqiperia,1.802300,57,57,8649,0,4798.868112966764689563335738,31.62625534039837984797203573,151.73684210526315
188.40.137.224:443 => 192.168.0.123:64016,188.40.137.224,443,192.168.0.123,64016,6,1679067675.700721,shqiperia,1.749881,245,245,342160,0,195533.2962641459619254109279,140.0095206474040234735962045,1396.5714285714287
188.40.137.224:443 => 192.168.0.123:64017,188.40.137.224,443,192.168.0.123,64017,6,1679067675.703081,shqiperia,1.755701,94,94,120632,0,68708.73799126388832722656079,53.53986812105250267556947339,1283.3191489361702
192.168.0.123:64019 => 188.40.137.224:443,192.168.0.123,64019,188.40.137.224,443,6,1679067676.280963,shqiperia,1.173767,50,50,9541,0,8128.529767832968553384104341,42.59789208590802092749242396,190.82
192.168.0.123:64020 => 188.40.137.224:443,192.168.0.123,64020,188.40.137.224,443,6,1679067676.281823,shqiperia,1.172915,52,52,5769,0,4918.514981904059543956723207,44.33398839643111393408729533,110.9423076923077
192.168.0.123:64021 => 188.40.137.224:443,192.168.0.123,64021,188.40.137.224,443,6,1679067676.303146,shqiperia,1.084158,51,51,5167,0,4765.910503819553976449927040,47.04111393357794712578793866,101.31372549019608
192.168.0.123:64022 => 188.40.137.224:443,192.168.0.123,64022,188.40.137.224,443,6,1679067676.303638,shqiperia,1.153028,40,40,3894,0,3377.194656157526096504161217,34.69126508636390443250294008,97.35
188.40.137.224:443 => 192.168.0.123:64019,188.40.137.224,443,192.168.0.123,64019,6,1679067676.335974,shqiperia,1.122799,108,108,140661,0,125277.0976817756339291360252,96.18818684377168130716183395,1302.4166666666667
188.40.137.224:443 => 192.168.0.123:64020,188.40.137.224,443,192.168.0.123,64020,6,1679067676.335979,shqiperia,1.122802,109,109,147328,0,131214.5863651828194107242417,97.07855881980972602471317294,1351.633027522936
188.40.137.224:443 => 192.168.0.123:64021,188.40.137.224,443,192.168.0.123,64021,6,1679067676.361118,shqiperia,1.119494,124,124,171533,0,153223.6885592955388773856760,110.7643274550823854348482439,1383.3306451612902
188.40.137.224:443 => 192.168.0.123:64022,188.40.137.224,443,192.168.0.123,64022,6,1679067676.364204,shqiperia,1.092431,95,95,126743,0,116019.2268436175831700125683,86.96201407686160498923959500,1334.1368421052632
