FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63516 => 188.40.137.224:443,192.168.0.123,63516,188.40.137.224,443,6,1679094359.495842,shqiperia,1.481050,58,58,9007,0,6081.496235778670537794132541,39.16140575942743323993112994,155.29310344827587
192.168.0.123:63517 => 188.40.137.224:443,192.168.0.123,63517,188.40.137.224,443,6,1679094359.496033,shqiperia,1.577595,80,80,12000,0,7606.514980080438895914350641,50.71009986720292597276233761,150.0
188.40.137.224:443 => 192.168.0.123:63517,188.40.137.224,443,192.168.0.123,63517,6,1679094359.540356,shqiperia,1.533121,230,230,313451,0,204452.8774962967697918168233,150.0207746159631235890709213,1362.8304347826088
188.40.137.224:443 => 192.168.0.123:63516,188.40.137.224,443,192.168.0.123,63516,6,1679094359.540365,shqiperia,1.436450,150,150,204628,0,142453.9663754394514253889798,104.4241010825298478888927564,1364.1866666666667
192.168.0.123:63519 => 188.40.137.224:443,192.168.0.123,63519,188.40.137.224,443,6,1679094359.815878,shqiperia,2.566900,45,45,4783,0,1863.337099224745802329658343,17.53087381666601737504382718,106.28888888888889
192.168.0.123:63520 => 188.40.137.224:443,192.168.0.123,63520,188.40.137.224,443,6,1679094359.816171,shqiperia,1.162131,43,43,7298,0,6279.842806017566005897786050,37.00099214288234286840295974,169.72093023255815
192.168.0.123:63521 => 188.40.137.224:443,192.168.0.123,63521,188.40.137.224,443,6,1679094359.831325,shqiperia,1.141752,49,49,6986,0,6118.666750747973290171595933,42.91650025574730764649415985,142.57142857142858
192.168.0.123:63522 => 188.40.137.224:443,192.168.0.123,63522,188.40.137.224,443,6,1679094359.831960,shqiperia,1.144984,33,33,5508,0,4810.547570970424040859959615,28.82136344263325950406293887,166.9090909090909
188.40.137.224:443 => 192.168.0.123:63519,188.40.137.224,443,192.168.0.123,63519,6,1679094359.864371,shqiperia,2.518026,104,104,139315,0,55327.06969665920844343942437,41.30219465565486615308976158,1339.5673076923076
188.40.137.224:443 => 192.168.0.123:63520,188.40.137.224,443,192.168.0.123,63520,6,1679094359.878630,shqiperia,1.099605,91,91,120251,0,109358.3605021803283906493695,82.75699001004906307264881480,1321.4395604395604
188.40.137.224:443 => 192.168.0.123:63521,188.40.137.224,443,192.168.0.123,63521,6,1679094359.896294,shqiperia,1.081933,151,151,208016,0,192263.2917195427073580341851,139.5650192756852781087183772,1377.58940397351
188.40.137.224:443 => 192.168.0.123:63522,188.40.137.224,443,192.168.0.123,63522,6,1679094359.896301,shqiperia,1.080523,53,53,64925,0,60086.64322740006459834728183,49.05032100195923640681410761,1225.0
