FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56728 => 65.254.227.240:443,192.168.0.123,56728,65.254.227.240,443,6,1679066530.221328,tribuna-news,4.068316,64,64,10690,0,2627.622829691695532008821340,15.73132470535720430762998744,167.03125
192.168.0.123:56729 => 65.254.227.240:443,192.168.0.123,56729,65.254.227.240,443,6,1679066530.221862,tribuna-news,4.067741,72,72,11949,0,2937.502658109255235276778930,17.70024197705802803079153761,165.95833333333334
65.254.227.240:443 => 192.168.0.123:56728,65.254.227.240,443,192.168.0.123,56728,6,1679066530.340238,tribuna-news,3.949098,342,342,481027,0,121806.8024647653717380525882,86.60205444382489368458316304,1406.5116959064328
65.254.227.240:443 => 192.168.0.123:56729,65.254.227.240,443,192.168.0.123,56729,6,1679066530.346022,tribuna-news,3.943313,460,460,653149,0,165634.5818858406624074731070,116.6531796994050434241461431,1419.8891304347826
192.168.0.123:56731 => 65.254.227.240:443,192.168.0.123,56731,65.254.227.240,443,6,1679066532.296637,tribuna-news,1.992899,45,45,7927,0,3977.622548859726458791940786,22.58017089676897825730255271,176.15555555555557
192.168.0.123:56732 => 65.254.227.240:443,192.168.0.123,56732,65.254.227.240,443,6,1679066532.297450,tribuna-news,2.562891,76,76,13106,0,5113.756300989780681269706749,29.65401181712370912379808583,172.44736842105263
192.168.0.123:56733 => 65.254.227.240:443,192.168.0.123,56733,65.254.227.240,443,6,1679066532.297963,tribuna-news,1.979642,81,81,11406,0,5761.647813089437383122807053,40.91648894092972365710567870,140.8148148148148
192.168.0.123:56734 => 65.254.227.240:443,192.168.0.123,56734,65.254.227.240,443,6,1679066532.298114,tribuna-news,1.979435,51,51,9003,0,4548.267561198018626527266619,25.76492787083182827422976759,176.52941176470588
65.254.227.240:443 => 192.168.0.123:56732,65.254.227.240,443,192.168.0.123,56732,6,1679066532.412446,tribuna-news,2.447716,419,419,587875,0,240172.8795334099217392867473,171.1799898354220832809035035,1403.0429594272077
65.254.227.240:443 => 192.168.0.123:56734,65.254.227.240,443,192.168.0.123,56734,6,1679066532.412452,tribuna-news,1.864908,250,250,348170,0,186695.5367235273804391423062,134.0548702670587503512237601,1392.68
65.254.227.240:443 => 192.168.0.123:56733,65.254.227.240,443,192.168.0.123,56733,6,1679066532.413601,tribuna-news,1.863772,430,430,609232,0,326881.1850376548204394099707,230.7149157729593533973039621,1416.8186046511628
65.254.227.240:443 => 192.168.0.123:56731,65.254.227.240,443,192.168.0.123,56731,6,1679066532.427564,tribuna-news,1.861756,240,240,337381,0,181216.5503965073833520611724,128.9105554111279888449399384,1405.7541666666666
