FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56115 => 65.254.227.240:443,192.168.0.123,56115,65.254.227.240,443,6,1679092007.824975,tribuna-news,4.006044,94,94,14295,0,3568.358210743566471062224978,23.46454507239561023293803064,152.0744680851064
192.168.0.123:56116 => 65.254.227.240:443,192.168.0.123,56116,65.254.227.240,443,6,1679092007.826466,tribuna-news,4.004623,87,87,12592,0,3144.365899112101189050754590,21.72489145669892022295232285,144.73563218390805
65.254.227.240:443 => 192.168.0.123:56115,65.254.227.240,443,192.168.0.123,56115,6,1679092007.942870,tribuna-news,3.887992,443,443,620940,0,159707.1187389274463527702732,113.9405636637112422042020663,1401.6704288939052
65.254.227.240:443 => 192.168.0.123:56116,65.254.227.240,443,192.168.0.123,56116,6,1679092007.951453,tribuna-news,3.879410,458,458,649409,0,167398.9085969258211944599823,118.0591894128230839225552339,1417.9235807860262
192.168.0.123:56118 => 65.254.227.240:443,192.168.0.123,56118,65.254.227.240,443,6,1679092009.746266,tribuna-news,2.066688,89,89,14623,0,7075.572123126470952557909080,43.06407159668029233246624551,164.30337078651687
192.168.0.123:56119 => 65.254.227.240:443,192.168.0.123,56119,65.254.227.240,443,6,1679092009.747141,tribuna-news,2.083914,58,58,10005,0,4801.061848041713813525894063,27.83224259734326848420808152,172.5
192.168.0.123:56120 => 65.254.227.240:443,192.168.0.123,56120,65.254.227.240,443,6,1679092009.747275,tribuna-news,2.076491,56,56,9992,0,4811.964029702030974369742031,26.96857342507143060095131643,178.42857142857142
192.168.0.123:56121 => 65.254.227.240:443,192.168.0.123,56121,65.254.227.240,443,6,1679092009.747916,tribuna-news,2.083046,52,52,9047,0,4343.159008490451003002334082,24.96344295805277463867816649,173.98076923076923
65.254.227.240:443 => 192.168.0.123:56119,65.254.227.240,443,192.168.0.123,56119,6,1679092009.865591,tribuna-news,1.965272,208,208,287885,0,146486.0843689830211797654472,105.8377669859439304075975234,1384.0625
65.254.227.240:443 => 192.168.0.123:56118,65.254.227.240,443,192.168.0.123,56118,6,1679092009.865598,tribuna-news,1.947134,599,599,852004,0,437568.2413228878957483152161,307.6316267909655935338810785,1422.3772954924875
65.254.227.240:443 => 192.168.0.123:56120,65.254.227.240,443,192.168.0.123,56120,6,1679092009.865598,tribuna-news,1.958025,295,295,412567,0,210705.6855760268638040883033,150.6620191264156484212407911,1398.5322033898306
65.254.227.240:443 => 192.168.0.123:56121,65.254.227.240,443,192.168.0.123,56121,6,1679092009.866802,tribuna-news,1.964048,282,282,395691,0,201467.0720878512134122994957,143.5810122766857021824313866,1403.159574468085
