FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50578 => 65.254.227.240:443,192.168.0.123,50578,65.254.227.240,443,6,1679068010.982114,tribuna-news,3.855496,69,69,11013,0,2856.441817083975706368259752,17.89653004438339451007081838,159.6086956521739
192.168.0.123:50579 => 65.254.227.240:443,192.168.0.123,50579,65.254.227.240,443,6,1679068010.983212,tribuna-news,3.852712,71,71,13421,0,3483.520180070558089989596938,18.42857706467548054461376817,189.0281690140845
65.254.227.240:443 => 192.168.0.123:50578,65.254.227.240,443,192.168.0.123,50578,6,1679068011.100188,tribuna-news,3.737346,343,343,484592,0,129662.0650054878515395684531,91.77635680506969384156564578,1412.8046647230321
65.254.227.240:443 => 192.168.0.123:50579,65.254.227.240,443,192.168.0.123,50579,6,1679068011.100193,tribuna-news,3.735421,341,341,475090,0,127185.1285303584254626185375,91.28823765781688329106679006,1393.225806451613
192.168.0.123:50581 => 65.254.227.240:443,192.168.0.123,50581,65.254.227.240,443,6,1679068012.898570,tribuna-news,1.929047,60,60,9718,0,5037.720698355198188535582596,31.10344123289893921713675198,161.96666666666667
192.168.0.123:50582 => 65.254.227.240:443,192.168.0.123,50582,65.254.227.240,443,6,1679068012.899074,tribuna-news,1.936740,77,77,12325,0,6363.786569183266726561128494,39.75753069591168664869832812,160.06493506493507
192.168.0.123:50583 => 65.254.227.240:443,192.168.0.123,50583,65.254.227.240,443,6,1679068012.899458,tribuna-news,1.936502,86,86,12460,0,6434.282019848159206651994163,44.40997220761971844077620369,144.88372093023256
192.168.0.123:50584 => 65.254.227.240:443,192.168.0.123,50584,65.254.227.240,443,6,1679068012.900273,tribuna-news,1.935609,57,57,9101,0,4701.879356832914085437709785,29.44809618058192537852427841,159.66666666666666
65.254.227.240:443 => 192.168.0.123:50583,65.254.227.240,443,192.168.0.123,50583,6,1679068013.017037,tribuna-news,1.818578,418,418,592915,0,326032.2075819678891969439859,229.8499157033682360613622292,1418.456937799043
65.254.227.240:443 => 192.168.0.123:50584,65.254.227.240,443,192.168.0.123,50584,6,1679068013.017049,tribuna-news,1.818565,303,303,425341,0,233888.2580496160434188494775,166.6148859127938786900660686,1403.7656765676568
65.254.227.240:443 => 192.168.0.123:50582,65.254.227.240,443,192.168.0.123,50582,6,1679068013.017050,tribuna-news,1.818550,466,466,661815,0,363924.5552775562948502928157,256.2481097577740507547221688,1420.2038626609442
65.254.227.240:443 => 192.168.0.123:50581,65.254.227.240,443,192.168.0.123,50581,6,1679068013.023404,tribuna-news,1.803963,342,342,483300,0,267910.1511505502052980022318,189.5826023039275195777296984,1413.157894736842
