FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51381 => 173.231.244.176:443,192.168.0.123,51381,173.231.244.176,443,6,1679101085.112455,bulevardionline,3.677467,83,83,7711,0,2096.823710450698809805771201,22.56988302002438091218765525,92.90361445783132
192.168.0.123:51382 => 173.231.244.176:443,192.168.0.123,51382,173.231.244.176,443,6,1679101085.112806,bulevardionline,3.698750,13,13,1662,0,449.3409935789117945251774248,3.514700912470429199053734370,127.84615384615384
173.231.244.176:443 => 192.168.0.123:51381,173.231.244.176,443,192.168.0.123,51381,6,1679101085.212212,bulevardionline,3.577504,213,213,296601,0,82907.24482767873914326860291,59.53871749689168761236884711,1392.4929577464789
173.231.244.176:443 => 192.168.0.123:51382,173.231.244.176,443,192.168.0.123,51382,6,1679101085.225858,bulevardionline,3.585549,10,10,6573,0,1833.192071841717962855897381,2.788973180954994618676247347,657.3
192.168.0.123:51392 => 173.231.244.176:443,192.168.0.123,51392,173.231.244.176,443,6,1679101086.219815,bulevardionline,0.533191,10,10,1412,0,2648.206740173783878572594061,18.75500524202396514569825822,141.2
192.168.0.123:51393 => 173.231.244.176:443,192.168.0.123,51393,173.231.244.176,443,6,1679101086.219868,bulevardionline,0.533913,10,10,1412,0,2644.625622526516492387336514,18.72964321902632076761569769,141.2
192.168.0.123:51394 => 173.231.244.176:443,192.168.0.123,51394,173.231.244.176,443,6,1679101086.219907,bulevardionline,0.533886,10,10,1412,0,2644.759368104801399549716606,18.73059042567139801380819126,141.2
192.168.0.123:51395 => 173.231.244.176:443,192.168.0.123,51395,173.231.244.176,443,6,1679101086.219945,bulevardionline,2.569916,109,109,8169,0,3178.703117144684884642143946,42.41383765072477077071779778,74.94495412844037
192.168.0.123:51396 => 173.231.244.176:443,192.168.0.123,51396,173.231.244.176,443,6,1679101086.219979,bulevardionline,0.532998,10,10,1412,0,2649.165662910555011463457649,18.76179647953650857976953009,141.2
192.168.0.123:51397 => 173.231.244.176:443,192.168.0.123,51397,173.231.244.176,443,6,1679101086.220017,bulevardionline,0.527038,10,10,1412,0,2679.123706450009297242324083,18.97396392669978255837340002,141.2
173.231.244.176:443 => 192.168.0.123:51395,173.231.244.176,443,192.168.0.123,51395,6,1679101086.324808,bulevardionline,2.464900,713,713,1024709,0,415720.3131972899509107874559,289.2612276360095744249259605,1437.179523141655
173.231.244.176:443 => 192.168.0.123:51393,173.231.244.176,443,192.168.0.123,51393,6,1679101086.336578,bulevardionline,0.417179,8,8,5640,0,13519.37657456391620862986871,19.17642067314030667890761520,705.0
173.231.244.176:443 => 192.168.0.123:51392,173.231.244.176,443,192.168.0.123,51392,6,1679101086.336589,bulevardionline,0.416327,8,8,5640,0,13547.04354990188001258626032,19.21566460978990072707270967,705.0
173.231.244.176:443 => 192.168.0.123:51394,173.231.244.176,443,192.168.0.123,51394,6,1679101086.336626,bulevardionline,0.417135,8,8,5640,0,13520.80261785752813837246934,19.17844342958514629556378630,705.0
173.231.244.176:443 => 192.168.0.123:51397,173.231.244.176,443,192.168.0.123,51397,6,1679101086.336627,bulevardionline,0.410344,8,8,5640,0,13744.56553525822236952410660,19.49583763866414520499873277,705.0
173.231.244.176:443 => 192.168.0.123:51396,173.231.244.176,443,192.168.0.123,51396,6,1679101086.338032,bulevardionline,0.414878,8,8,5640,0,13594.35785941891351192398729,19.28277710555874257010494651,705.0
