FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57776 => 173.231.244.176:443,192.168.0.123,57776,173.231.244.176,443,6,1679099196.821278,bulevardionline,4.063241,81,81,7607,0,1872.150827381393326164999812,19.93482542630378065194754631,93.91358024691358
192.168.0.123:57777 => 173.231.244.176:443,192.168.0.123,57777,173.231.244.176,443,6,1679099196.821475,bulevardionline,4.104157,13,13,1662,0,404.9552685240842394674472736,3.167520150910406205220706713,127.84615384615384
173.231.244.176:443 => 192.168.0.123:57776,173.231.244.176,443,192.168.0.123,57776,6,1679099196.922191,bulevardionline,3.962103,215,215,296614,0,74862.76858526898467808635969,54.26411176085023534219075072,1379.6
173.231.244.176:443 => 192.168.0.123:57777,173.231.244.176,443,192.168.0.123,57777,6,1679099196.929853,bulevardionline,3.995613,10,10,6573,0,1645.054213208336242774262673,2.502744885453120710138844778,657.3
192.168.0.123:57785 => 173.231.244.176:443,192.168.0.123,57785,173.231.244.176,443,6,1679099197.983715,bulevardionline,2.908355,92,92,7634,0,2624.851505404257733323476673,31.63300216101541936936859496,82.97826086956522
192.168.0.123:57786 => 173.231.244.176:443,192.168.0.123,57786,173.231.244.176,443,6,1679099197.983773,bulevardionline,0.538782,10,10,1412,0,2620.726007921571247740273432,18.56038249236240260439287133,141.2
192.168.0.123:57787 => 173.231.244.176:443,192.168.0.123,57787,173.231.244.176,443,6,1679099197.983819,bulevardionline,0.538696,10,10,1412,0,2621.144393127106939721104296,18.56334556039027577706164516,141.2
192.168.0.123:57788 => 173.231.244.176:443,192.168.0.123,57788,173.231.244.176,443,6,1679099197.983863,bulevardionline,0.546056,10,10,1412,0,2585.815374247329944181549145,18.31314004424454634689482397,141.2
192.168.0.123:57789 => 173.231.244.176:443,192.168.0.123,57789,173.231.244.176,443,6,1679099197.983904,bulevardionline,0.546000,10,10,1412,0,2586.080586080586080586080586,18.31501831501831501831501832,141.2
192.168.0.123:57790 => 173.231.244.176:443,192.168.0.123,57790,173.231.244.176,443,6,1679099197.983943,bulevardionline,0.538595,10,10,1412,0,2621.635923096204012291239243,18.56682665082297459129772835,141.2
173.231.244.176:443 => 192.168.0.123:57785,173.231.244.176,443,192.168.0.123,57785,6,1679099198.090891,bulevardionline,2.918520,680,680,972231,0,333124.6659265655195098885737,232.9948055863931033537546428,1429.7514705882354
173.231.244.176:443 => 192.168.0.123:57787,173.231.244.176,443,192.168.0.123,57787,6,1679099198.096037,bulevardionline,0.426229,8,8,5640,0,13232.32346930875186812722738,18.76925314795567640869110267,705.0
173.231.244.176:443 => 192.168.0.123:57790,173.231.244.176,443,192.168.0.123,57790,6,1679099198.096044,bulevardionline,0.426229,8,8,5640,0,13232.32346930875186812722738,18.76925314795567640869110267,705.0
173.231.244.176:443 => 192.168.0.123:57786,173.231.244.176,443,192.168.0.123,57786,6,1679099198.096044,bulevardionline,0.426230,8,8,5640,0,13232.29242427797198695539967,18.76920911245102409497219811,705.0
173.231.244.176:443 => 192.168.0.123:57789,173.231.244.176,443,192.168.0.123,57789,6,1679099198.106942,bulevardionline,0.422866,8,8,5640,0,13337.55847005907308698263753,18.91852265256606111628742911,705.0
173.231.244.176:443 => 192.168.0.123:57788,173.231.244.176,443,192.168.0.123,57788,6,1679099198.106949,bulevardionline,0.422864,8,8,5640,0,13337.62155208293919558061221,18.91861213061409814975973363,705.0
