FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:62903 => 173.231.244.176:443,192.168.0.123,62903,173.231.244.176,443,6,1679100322.131165,bulevardionline,3.717099,13,13,1662,0,447.1228772760693218017599208,3.497351025625090964755041499,127.84615384615384
192.168.0.123:62904 => 173.231.244.176:443,192.168.0.123,62904,173.231.244.176,443,6,1679100322.131379,bulevardionline,3.702128,68,68,6931,0,1872.166494513425791868892702,18.36781440295959513015217194,101.92647058823529
173.231.244.176:443 => 192.168.0.123:62903,173.231.244.176,443,192.168.0.123,62903,6,1679100322.230591,bulevardionline,3.617510,10,10,6573,0,1816.995668291172657435639432,2.764332372267111908467426489,657.3
173.231.244.176:443 => 192.168.0.123:62904,173.231.244.176,443,192.168.0.123,62904,6,1679100322.238523,bulevardionline,3.594885,212,212,296519,0,82483.58431493636096843153536,58.97267923730522673187042145,1398.6745283018868
192.168.0.123:62913 => 173.231.244.176:443,192.168.0.123,62913,173.231.244.176,443,6,1679100323.180096,bulevardionline,2.653477,102,102,7869,0,2965.542946104300131487855369,38.44012968644536960373125525,77.1470588235294
192.168.0.123:62914 => 173.231.244.176:443,192.168.0.123,62914,173.231.244.176,443,6,1679100323.180163,bulevardionline,0.512926,10,10,1412,0,2752.833742099250184237102428,19.49598967492386816031942229,141.2
192.168.0.123:62915 => 173.231.244.176:443,192.168.0.123,62915,173.231.244.176,443,6,1679100323.180197,bulevardionline,0.507774,10,10,1412,0,2780.764670896895075368175606,19.69380078538877532130435981,141.2
192.168.0.123:62916 => 173.231.244.176:443,192.168.0.123,62916,173.231.244.176,443,6,1679100323.180228,bulevardionline,0.511620,10,10,1412,0,2759.860834212892381064070990,19.54575661623861459677104101,141.2
192.168.0.123:62917 => 173.231.244.176:443,192.168.0.123,62917,173.231.244.176,443,6,1679100323.180258,bulevardionline,0.511506,10,10,1412,0,2760.475927946104249021516854,19.55011280415087995057731483,141.2
192.168.0.123:62918 => 173.231.244.176:443,192.168.0.123,62918,173.231.244.176,443,6,1679100323.180288,bulevardionline,0.506168,10,10,1412,0,2789.587646789208326089361635,19.75628645034850089298414756,141.2
173.231.244.176:443 => 192.168.0.123:62913,173.231.244.176,443,192.168.0.123,62913,6,1679100323.281508,bulevardionline,2.551888,712,712,1027325,0,402574.4860275999573649000270,279.0091101176854156608753989,1442.872191011236
173.231.244.176:443 => 192.168.0.123:62918,173.231.244.176,443,192.168.0.123,62918,6,1679100323.291660,bulevardionline,0.394722,8,8,5640,0,14288.53724900056242114703513,20.26742872198661336332912784,705.0
173.231.244.176:443 => 192.168.0.123:62915,173.231.244.176,443,192.168.0.123,62915,6,1679100323.291668,bulevardionline,0.396245,8,8,5640,0,14233.61808981816805259372358,20.18952920541584120935279940,705.0
173.231.244.176:443 => 192.168.0.123:62914,173.231.244.176,443,192.168.0.123,62914,6,1679100323.291669,bulevardionline,0.401400,8,8,5640,0,14050.82212257100149476831091,19.93024414549078226208271051,705.0
173.231.244.176:443 => 192.168.0.123:62917,173.231.244.176,443,192.168.0.123,62917,6,1679100323.296978,bulevardionline,0.394632,8,8,5640,0,14291.79590099130329015386487,20.27205092339191956050193598,705.0
173.231.244.176:443 => 192.168.0.123:62916,173.231.244.176,443,192.168.0.123,62916,6,1679100323.296985,bulevardionline,0.394812,8,8,5640,0,14285.28008267225920184796815,20.26280862790391376148647964,705.0
