FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55283 => 173.231.244.176:443,192.168.0.123,55283,173.231.244.176,443,6,1679104460.224974,bulevardionline,3.699685,13,13,1662,0,449.2274342275085581610326285,3.513812662429368986819148117,127.84615384615384
192.168.0.123:55284 => 173.231.244.176:443,192.168.0.123,55284,173.231.244.176,443,6,1679104460.225338,bulevardionline,3.683508,71,71,7087,0,1923.981161436326458365232273,19.27510405841388154987039529,99.8169014084507
173.231.244.176:443 => 192.168.0.123:55283,173.231.244.176,443,192.168.0.123,55283,6,1679104460.324583,bulevardionline,3.599929,10,10,6573,0,1825.869343534275259317614320,2.777832562808877619530829636,657.3
173.231.244.176:443 => 192.168.0.123:55284,173.231.244.176,443,192.168.0.123,55284,6,1679104460.324590,bulevardionline,3.584000,213,213,296601,0,82756.97544642857142857142857,59.43080357142857142857142857,1392.4929577464789
192.168.0.123:55293 => 173.231.244.176:443,192.168.0.123,55293,173.231.244.176,443,6,1679104461.251122,bulevardionline,0.518944,10,10,1412,0,2720.910156009126225565764321,19.26990195473885428870937905,141.2
192.168.0.123:55294 => 173.231.244.176:443,192.168.0.123,55294,173.231.244.176,443,6,1679104461.251180,bulevardionline,2.665139,103,103,8010,0,3005.471759634300499898879571,38.64713998031622365662729036,77.76699029126213
192.168.0.123:55295 => 173.231.244.176:443,192.168.0.123,55295,173.231.244.176,443,6,1679104461.251219,bulevardionline,0.518836,10,10,1412,0,2721.476535938138448372896252,19.27391314403780770802334456,141.2
192.168.0.123:55296 => 173.231.244.176:443,192.168.0.123,55296,173.231.244.176,443,6,1679104461.251254,bulevardionline,0.518725,10,10,1412,0,2722.058894404549616849004771,19.27803749578292929779748422,141.2
192.168.0.123:55297 => 173.231.244.176:443,192.168.0.123,55297,173.231.244.176,443,6,1679104461.251286,bulevardionline,0.518732,10,10,1412,0,2722.022161732840850381314436,19.27777734938272556927276513,141.2
192.168.0.123:55298 => 173.231.244.176:443,192.168.0.123,55298,173.231.244.176,443,6,1679104461.251319,bulevardionline,0.508281,10,10,1412,0,2777.990914474473765495857606,19.67415661809117397659955812,141.2
173.231.244.176:443 => 192.168.0.123:55294,173.231.244.176,443,192.168.0.123,55294,6,1679104461.357055,bulevardionline,2.559195,711,711,1027894,0,401647.3930278857218773872253,277.8217369133653355840410754,1445.7018284106891
173.231.244.176:443 => 192.168.0.123:55295,173.231.244.176,443,192.168.0.123,55295,6,1679104461.371454,bulevardionline,0.398457,8,8,5640,0,14154.60137480330374419322537,20.07744875858624644566414946,705.0
173.231.244.176:443 => 192.168.0.123:55298,173.231.244.176,443,192.168.0.123,55298,6,1679104461.371467,bulevardionline,0.387917,8,8,5640,0,14539.19266234787338528602768,20.62296831538705444721422366,705.0
173.231.244.176:443 => 192.168.0.123:55296,173.231.244.176,443,192.168.0.123,55296,6,1679104461.372746,bulevardionline,0.397158,8,8,5640,0,14200.89737585545299351895216,20.14311684518503970711908107,705.0
173.231.244.176:443 => 192.168.0.123:55293,173.231.244.176,443,192.168.0.123,55293,6,1679104461.372758,bulevardionline,0.397154,8,8,5640,0,14201.04040246352800173232550,20.14331971980642269749266028,705.0
173.231.244.176:443 => 192.168.0.123:55297,173.231.244.176,443,192.168.0.123,55297,6,1679104461.376418,bulevardionline,0.393493,8,8,5640,0,14333.16475769581669813694272,20.33073015276002368530062797,705.0
