FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49892 => 144.91.119.216:443,192.168.0.123,49892,144.91.119.216,443,6,1679103430.766854,gazetaolle,4.005354,5,5,320,0,79.89306313499381078426526095,1.248329111484278293504144702,64.0
192.168.0.123:49893 => 144.91.119.216:443,192.168.0.123,49893,144.91.119.216,443,6,1679103430.767207,gazetaolle,19.008616,9,9,576,0,30.30204829220601857599732669,0.4734695045657190402499582295,64.0
192.168.0.123:49895 => 144.91.119.216:443,192.168.0.123,49895,144.91.119.216,443,6,1679103430.983957,gazetaolle,19.010922,9,9,576,0,30.29837269333912368900361592,0.4734120733334238076406814988,64.0
192.168.0.123:49898 => 144.91.119.216:443,192.168.0.123,49898,144.91.119.216,443,6,1679103450.871042,gazetaolle,5.005970,6,6,384,0,76.70841015827102439687013706,1.198568908722984756201095892,64.0
192.168.0.123:49902 => 144.91.119.216:443,192.168.0.123,49902,144.91.119.216,443,6,1679103465.424579,gazetaolle,4.003816,5,5,320,0,79.92375273988614861422203218,1.248808636560721072097219253,64.0
192.168.0.123:49903 => 144.91.119.216:443,192.168.0.123,49903,144.91.119.216,443,6,1679103465.527746,gazetaolle,5.005539,6,6,384,0,76.71501510626527932356535430,1.198672111035394989430708661,64.0
192.168.0.123:49904 => 144.91.119.216:443,192.168.0.123,49904,144.91.119.216,443,6,1679103465.651952,gazetaolle,5.004721,6,6,384,0,76.72755384366081545804451437,1.198868028807200241531945537,64.0
192.168.0.123:49905 => 144.91.119.216:80,192.168.0.123,49905,144.91.119.216,80,6,1679103468.586090,gazetaolle,3.003276,4,4,256,0,85.24025097926397707037248658,1.331878921550999641724570103,64.0
192.168.0.123:49906 => 144.91.119.216:80,192.168.0.123,49906,144.91.119.216,80,6,1679103468.586303,gazetaolle,3.002875,4,4,256,0,85.25163385089289430961994755,1.332056778920201473587811680,64.0
192.168.0.123:49907 => 144.91.119.216:80,192.168.0.123,49907,144.91.119.216,80,6,1679103468.820121,gazetaolle,2.001816,3,3,192,0,95.91291107674231797527844717,1.498639235574098718363725737,64.0
