FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51424 => 95.217.115.180:443,192.168.0.123,51424,95.217.115.180,443,6,1679101128.718292,kohajone,2.273860,163,163,29629,0,13030.26571556736122716438127,71.68427255855681528326282181,181.77300613496934
192.168.0.123:51425 => 95.217.115.180:443,192.168.0.123,51425,95.217.115.180,443,6,1679101128.718475,kohajone,2.264027,178,178,25342,0,11193.32940817401912609699443,78.62097050962731451524208854,142.37078651685394
95.217.115.180:443 => 192.168.0.123:51425,95.217.115.180,443,192.168.0.123,51425,6,1679101128.778013,kohajone,2.204255,1303,1303,1876753,0,851422.8163256973444542487144,591.1294292175814504220246750,1440.3323100537223
95.217.115.180:443 => 192.168.0.123:51424,95.217.115.180,443,192.168.0.123,51424,6,1679101128.778019,kohajone,2.214017,684,684,972261,0,439138.9045341566934671233328,308.9407172573652325162814920,1421.4342105263158
192.168.0.123:51427 => 95.217.115.180:443,192.168.0.123,51427,95.217.115.180,443,6,1679101128.982601,kohajone,2.002785,116,116,25997,0,12980.42475852375567022920583,57.91934730887239518969834505,224.11206896551724
192.168.0.123:51428 => 95.217.115.180:443,192.168.0.123,51428,95.217.115.180,443,6,1679101128.982802,kohajone,1.999704,154,154,22632,0,11317.67501590235354832515212,77.01139768685765493293007365,146.96103896103895
192.168.0.123:51429 => 95.217.115.180:443,192.168.0.123,51429,95.217.115.180,443,6,1679101128.983374,kohajone,1.993416,167,167,29713,0,14905.56913358777094194086934,83.77578990035195864786878404,177.92215568862275
192.168.0.123:51430 => 95.217.115.180:443,192.168.0.123,51430,95.217.115.180,443,6,1679101128.984590,kohajone,1.997914,142,142,27373,0,13700.78992389061791448480765,71.07413031792159222068617568,192.76760563380282
95.217.115.180:443 => 192.168.0.123:51427,95.217.115.180,443,192.168.0.123,51427,6,1679101129.036629,kohajone,1.948662,484,484,679590,0,348746.9863937409360884545396,248.3755520454547787148309969,1404.111570247934
95.217.115.180:443 => 192.168.0.123:51429,95.217.115.180,443,192.168.0.123,51429,6,1679101129.044946,kohajone,1.931775,687,687,974088,0,504245.0595954497806421555305,355.6314788212912994525759988,1417.886462882096
95.217.115.180:443 => 192.168.0.123:51430,95.217.115.180,443,192.168.0.123,51430,6,1679101129.046743,kohajone,1.935533,746,746,1061984,0,548677.8060616894674490179191,385.4235499988891948626037376,1423.5710455764074
95.217.115.180:443 => 192.168.0.123:51428,95.217.115.180,443,192.168.0.123,51428,6,1679101129.046744,kohajone,1.935532,1209,1209,1735325,0,896562.2888177513985818885970,624.6344674229100836359202534,1435.3391232423492
192.168.0.123:51436 => 95.217.115.180:443,192.168.0.123,51436,95.217.115.180,443,6,1679101129.371609,kohajone,0.236208,10,10,1796,0,7603.468129783919257603468130,42.33556865135812504233556865,179.6
95.217.115.180:443 => 192.168.0.123:51436,95.217.115.180,443,192.168.0.123,51436,6,1679101129.429065,kohajone,0.178646,11,11,6119,0,34252.09632457485753949150835,61.57428657792505849557224903,556.2727272727273
