FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50199 => 95.217.115.180:443,192.168.0.123,50199,95.217.115.180,443,6,1679103549.878181,kohajone,2.238420,138,138,28362,0,12670.54440185487978127429169,61.65062856836518615809365535,205.52173913043478
192.168.0.123:50200 => 95.217.115.180:443,192.168.0.123,50200,95.217.115.180,443,6,1679103549.878427,kohajone,2.238148,148,148,30190,0,13488.83094415561437402709740,66.12610068681785118767838409,203.98648648648648
95.217.115.180:443 => 192.168.0.123:50199,95.217.115.180,443,192.168.0.123,50199,6,1679103549.938884,kohajone,2.177513,727,727,1028234,0,472205.6768432610964894354247,333.8671227221146326106893506,1414.3521320495186
95.217.115.180:443 => 192.168.0.123:50200,95.217.115.180,443,192.168.0.123,50200,6,1679103549.938889,kohajone,2.177508,541,541,759931,0,348991.1403310573371027798750,248.4491446185272338838709203,1404.6783733826248
192.168.0.123:50202 => 95.217.115.180:443,192.168.0.123,50202,95.217.115.180,443,6,1679103550.113365,kohajone,2.004773,182,182,24431,0,12186.41711555373102091857781,90.78334554585481747808854170,134.23626373626374
192.168.0.123:50203 => 95.217.115.180:443,192.168.0.123,50203,95.217.115.180,443,6,1679103550.113528,kohajone,1.995510,196,196,25936,0,12997.17866610540663790209019,98.22050503380088298229525284,132.3265306122449
192.168.0.123:50204 => 95.217.115.180:443,192.168.0.123,50204,95.217.115.180,443,6,1679103550.114051,kohajone,2.002571,150,150,28698,0,14330.57804192710270946698020,74.90371127915065183706345493,191.32
192.168.0.123:50205 => 95.217.115.180:443,192.168.0.123,50205,95.217.115.180,443,6,1679103550.114681,kohajone,2.001841,132,132,26893,0,13434.13387976367753482918973,65.93930287170659408014922264,203.7348484848485
95.217.115.180:443 => 192.168.0.123:50205,95.217.115.180,443,192.168.0.123,50205,6,1679103550.172410,kohajone,1.943981,518,518,733125,0,377125.5994785957270158504636,266.4635096742200669656750760,1415.2992277992278
95.217.115.180:443 => 192.168.0.123:50204,95.217.115.180,443,192.168.0.123,50204,6,1679103550.172418,kohajone,1.943979,552,552,778111,0,400267.1839562052882258501764,283.9536846848654229289513930,1409.6213768115942
95.217.115.180:443 => 192.168.0.123:50202,95.217.115.180,443,192.168.0.123,50202,6,1679103550.172419,kohajone,1.945545,1310,1310,1887441,0,970134.8465340046105332952977,673.3331791348953635099676440,1440.7946564885497
95.217.115.180:443 => 192.168.0.123:50203,95.217.115.180,443,192.168.0.123,50203,6,1679103550.173728,kohajone,1.935234,1506,1506,2173695,0,1123220.757799831958305817281,778.2004656801193034020692071,1443.3565737051792
192.168.0.123:50211 => 95.217.115.180:443,192.168.0.123,50211,95.217.115.180,443,6,1679103550.462676,kohajone,0.243763,11,11,1848,0,7581.134134384627691651317058,45.12579841895611721221022058,168.0
95.217.115.180:443 => 192.168.0.123:50211,95.217.115.180,443,192.168.0.123,50211,6,1679103550.520780,kohajone,0.185514,11,11,6119,0,32984.03355002856927239992669,59.29471630173463997326347338,556.2727272727273
