FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:52574 => 95.217.115.180:443,192.168.0.123,52574,95.217.115.180,443,6,1679098387.161784,kohajone,2.187247,216,216,30367,0,13883.66288763911894724281254,98.75427878058582318320701777,140.58796296296296
192.168.0.123:52575 => 95.217.115.180:443,192.168.0.123,52575,95.217.115.180,443,6,1679098387.162063,kohajone,2.186994,178,178,28973,0,13247.86442029562038121732387,81.39025530019743995639677109,162.76966292134833
95.217.115.180:443 => 192.168.0.123:52574,95.217.115.180,443,192.168.0.123,52574,6,1679098387.212916,kohajone,2.135886,1378,1378,1980364,0,927186.1887759927262035520622,645.1655191335118072781037939,1437.1291727140783
95.217.115.180:443 => 192.168.0.123:52575,95.217.115.180,443,192.168.0.123,52575,6,1679098387.216581,kohajone,2.132221,1321,1321,1899725,0,890960.6461994324228117066664,619.5417829577703249334848498,1438.0961392884178
192.168.0.123:52577 => 95.217.115.180:443,192.168.0.123,52577,95.217.115.180,443,6,1679098387.385693,kohajone,1.963285,120,120,24767,0,12615.08135599263479321647137,61.12204799608818892825035591,206.39166666666668
192.168.0.123:52578 => 95.217.115.180:443,192.168.0.123,52578,95.217.115.180,443,6,1679098387.386291,kohajone,1.955403,142,142,27656,0,14143.37607132647336635977341,72.61930149437225983595197512,194.7605633802817
192.168.0.123:52579 => 95.217.115.180:443,192.168.0.123,52579,95.217.115.180,443,6,1679098387.386593,kohajone,1.962412,146,146,25971,0,13234.22400596816570628389961,74.39824053256910373560699792,177.8835616438356
192.168.0.123:52580 => 95.217.115.180:443,192.168.0.123,52580,95.217.115.180,443,6,1679098387.387286,kohajone,1.961641,128,128,26034,0,13271.54153078978263606847532,65.25149097107982551343492515,203.390625
95.217.115.180:443 => 192.168.0.123:52577,95.217.115.180,443,192.168.0.123,52577,6,1679098387.443384,kohajone,1.905417,433,433,606668,0,318391.1973074660297457197034,227.2468441291328879715044003,1401.080831408776
95.217.115.180:443 => 192.168.0.123:52580,95.217.115.180,443,192.168.0.123,52580,6,1679098387.447127,kohajone,1.901668,553,553,782847,0,411663.3397627766781583325796,290.7973421228100804136158362,1415.636528028933
95.217.115.180:443 => 192.168.0.123:52578,95.217.115.180,443,192.168.0.123,52578,6,1679098387.447133,kohajone,1.894417,597,597,838823,0,442786.8837747972067395932363,315.1365301303778418373568227,1405.0636515912897
95.217.115.180:443 => 192.168.0.123:52579,95.217.115.180,443,192.168.0.123,52579,6,1679098387.447134,kohajone,1.901668,812,812,1154619,0,607161.1869159075085661640202,426.9935656486831560503726202,1421.9445812807883
192.168.0.123:52585 => 95.217.115.180:443,192.168.0.123,52585,95.217.115.180,443,6,1679098387.743658,kohajone,0.226084,10,10,1796,0,7943.950036269705065373931813,44.23134764069991684506643548,179.6
95.217.115.180:443 => 192.168.0.123:52585,95.217.115.180,443,192.168.0.123,52585,6,1679098387.799716,kohajone,0.169819,11,11,6119,0,36032.48164221906853767835166,64.77484851518381335421831479,556.2727272727273
