FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57816 => 95.217.115.180:443,192.168.0.123,57816,95.217.115.180,443,6,1679099222.918715,kohajone,2.497668,256,256,34518,0,13820.09138124042106476921673,102.4956079030519668747007208,134.8359375
192.168.0.123:57817 => 95.217.115.180:443,192.168.0.123,57817,95.217.115.180,443,6,1679099222.918970,kohajone,2.497477,279,279,35020,0,14022.15115494557107032417115,111.7127404977102892238847445,125.51971326164875
95.217.115.180:443 => 192.168.0.123:57816,95.217.115.180,443,192.168.0.123,57816,6,1679099222.972128,kohajone,2.444144,761,761,1081843,0,442626.5391891803428930537644,311.3564503564438101846699703,1421.6070959264125
95.217.115.180:443 => 192.168.0.123:57817,95.217.115.180,443,192.168.0.123,57817,6,1679099222.981719,kohajone,2.434558,644,644,913597,0,375261.9572012661025122424687,264.5244023761191969959228739,1418.6288819875776
192.168.0.123:57819 => 95.217.115.180:443,192.168.0.123,57819,95.217.115.180,443,6,1679099223.159436,kohajone,2.248368,176,176,28282,0,12578.90167445898536182688955,78.27900059065064082036392619,160.6931818181818
192.168.0.123:57820 => 95.217.115.180:443,192.168.0.123,57820,95.217.115.180,443,6,1679099223.159659,kohajone,2.240678,213,213,29714,0,13261.16470104138122478999660,95.06051293403157437168571299,139.50234741784038
192.168.0.123:57821 => 95.217.115.180:443,192.168.0.123,57821,95.217.115.180,443,6,1679099223.159922,kohajone,2.256511,291,291,30553,0,13539.92956382663324043179936,128.9601513132442075398701801,104.99312714776632
192.168.0.123:57822 => 95.217.115.180:443,192.168.0.123,57822,95.217.115.180,443,6,1679099223.160751,kohajone,2.247116,330,330,33922,0,15095.79389760030189807735782,146.8549020166293150865375886,102.7939393939394
95.217.115.180:443 => 192.168.0.123:57820,95.217.115.180,443,192.168.0.123,57820,6,1679099223.217704,kohajone,2.182536,625,625,887438,0,406608.6424233093978747658687,286.3641195380053295799015457,1419.9008
95.217.115.180:443 => 192.168.0.123:57821,95.217.115.180,443,192.168.0.123,57821,6,1679099223.219293,kohajone,2.196984,1382,1382,1992844,0,907081.7083783951089311528896,629.0441805675416844182752355,1442.0
95.217.115.180:443 => 192.168.0.123:57819,95.217.115.180,443,192.168.0.123,57819,6,1679099223.219299,kohajone,2.188360,473,473,661724,0,302383.5200789632418797638414,216.1435961176406075782777971,1398.9936575052855
95.217.115.180:443 => 192.168.0.123:57822,95.217.115.180,443,192.168.0.123,57822,6,1679099223.219780,kohajone,2.187886,1099,1099,1576892,0,720737.7349642531649272402675,502.3113635719594165326712635,1434.842584167425
192.168.0.123:57828 => 95.217.115.180:443,192.168.0.123,57828,95.217.115.180,443,6,1679099223.526568,kohajone,0.270365,11,11,1848,0,6835.204260906552253435170973,40.68573964825328722282839865,168.0
95.217.115.180:443 => 192.168.0.123:57828,95.217.115.180,443,192.168.0.123,57828,6,1679099223.574599,kohajone,0.222195,11,11,6119,0,27538.87351200522063952834222,49.50606449290038029658633183,556.2727272727273
