FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:62944 => 95.217.115.180:443,192.168.0.123,62944,95.217.115.180,443,6,1679100350.326717,kohajone,2.927228,195,195,32179,0,10992.99405444331633887076784,66.61592469052632729667794924,165.02051282051283
192.168.0.123:62945 => 95.217.115.180:443,192.168.0.123,62945,95.217.115.180,443,6,1679100350.326987,kohajone,2.927039,145,145,28702,0,9805.813998378566189244489055,49.53811684777688305485509418,197.94482758620688
95.217.115.180:443 => 192.168.0.123:62944,95.217.115.180,443,192.168.0.123,62944,6,1679100350.378626,kohajone,2.874759,989,989,1413385,0,491653.3872926391394896059113,344.0288385913393087907542858,1429.1051567239635
95.217.115.180:443 => 192.168.0.123:62945,95.217.115.180,443,192.168.0.123,62945,6,1679100350.388045,kohajone,2.865341,684,684,969242,0,338264.1018992154860451164451,238.7150429913926475068761449,1417.0204678362572
192.168.0.123:62947 => 95.217.115.180:443,192.168.0.123,62947,95.217.115.180,443,6,1679100350.551358,kohajone,2.702705,134,134,27517,0,10181.28134591085597577242059,49.57995785703582151955170838,205.3507462686567
192.168.0.123:62948 => 95.217.115.180:443,192.168.0.123,62948,95.217.115.180,443,6,1679100350.552269,kohajone,2.701866,183,183,24186,0,8951.591233614102253775723889,67.73096815312084315062256974,132.1639344262295
192.168.0.123:62949 => 95.217.115.180:443,192.168.0.123,62949,95.217.115.180,443,6,1679100350.552733,kohajone,2.701368,147,147,22384,0,8286.172043201814784213035766,54.41687322867524898495873202,152.2721088435374
192.168.0.123:62950 => 95.217.115.180:443,192.168.0.123,62950,95.217.115.180,443,6,1679100350.553462,kohajone,2.700709,142,142,26681,0,9879.257631977380754461143352,52.57878579291586024262517731,187.8943661971831
95.217.115.180:443 => 192.168.0.123:62947,95.217.115.180,443,192.168.0.123,62947,6,1679100350.607279,kohajone,2.646107,666,666,936932,0,354079.4079755656139377583749,251.6905023115089450275442376,1406.804804804805
95.217.115.180:443 => 192.168.0.123:62950,95.217.115.180,443,192.168.0.123,62950,6,1679100350.613250,kohajone,2.640138,692,692,982511,0,372143.8046041532677458526789,262.1075110467710399986667364,1419.813583815029
95.217.115.180:443 => 192.168.0.123:62948,95.217.115.180,443,192.168.0.123,62948,6,1679100350.613259,kohajone,2.640128,1078,1078,1545373,0,585340.1804760981285755842141,408.3135363133908658974110346,1433.5556586270873
95.217.115.180:443 => 192.168.0.123:62949,95.217.115.180,443,192.168.0.123,62949,6,1679100350.613260,kohajone,2.640127,1009,1009,1449607,0,549067.1471486030785640236246,382.1785845908170326654740473,1436.6769078295342
192.168.0.123:62955 => 95.217.115.180:443,192.168.0.123,62955,95.217.115.180,443,6,1679100350.922829,kohajone,0.232466,10,10,1796,0,7725.860986122701814458888612,43.01704335257629072638579405,179.6
95.217.115.180:443 => 192.168.0.123:62955,95.217.115.180,443,192.168.0.123,62955,6,1679100350.980593,kohajone,0.174485,11,11,6119,0,35068.91709889102215090122360,63.04266842421984697825027939,556.2727272727273
