FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:56546 => 95.217.115.180:443,192.168.0.123,56546,95.217.115.180,443,6,1679101917.358100,kohajone,2.356243,172,172,28480,0,12087.03856096336413519318678,72.99756434289672160299256061,165.58139534883722
192.168.0.123:56547 => 95.217.115.180:443,192.168.0.123,56547,95.217.115.180,443,6,1679101917.358759,kohajone,2.355531,158,158,28895,0,12266.87315938529359197565220,67.07617093555550744184644566,182.87974683544303
95.217.115.180:443 => 192.168.0.123:56546,95.217.115.180,443,192.168.0.123,56546,6,1679101917.411197,kohajone,2.302923,650,650,921018,0,399934.3443093842043350993498,282.2499927266348028136416198,1416.9507692307693
95.217.115.180:443 => 192.168.0.123:56547,95.217.115.180,443,192.168.0.123,56547,6,1679101917.416458,kohajone,2.297656,772,772,1094625,0,476409.4363995306521080614330,335.9945962319859891994275906,1417.908031088083
192.168.0.123:56549 => 95.217.115.180:443,192.168.0.123,56549,95.217.115.180,443,6,1679101917.586611,kohajone,2.120597,207,207,24865,0,11725.47164784256508898201780,97.61402095730589074680384816,120.1207729468599
192.168.0.123:56550 => 95.217.115.180:443,192.168.0.123,56550,95.217.115.180,443,6,1679101917.586998,kohajone,2.128814,176,176,28456,0,13367.06729662619655827141310,82.67514212138777741972760420,161.6818181818182
192.168.0.123:56551 => 95.217.115.180:443,192.168.0.123,56551,95.217.115.180,443,6,1679101917.587167,kohajone,2.127219,137,137,27095,0,12737.28751012472152608640671,64.40333599878526846554115961,197.77372262773721
192.168.0.123:56552 => 95.217.115.180:443,192.168.0.123,56552,95.217.115.180,443,6,1679101917.587551,kohajone,2.126815,156,156,26255,0,12344.75024861118621036620487,73.34911593156903632897078495,168.30128205128204
95.217.115.180:443 => 192.168.0.123:56549,95.217.115.180,443,192.168.0.123,56549,6,1679101917.643513,kohajone,2.063628,1612,1612,2331293,0,1129706.032288765223189450812,781.1485403376965228229118814,1446.2115384615386
95.217.115.180:443 => 192.168.0.123:56551,95.217.115.180,443,192.168.0.123,56551,6,1679101917.643520,kohajone,2.070601,599,599,845937,0,408546.6007212398719019260591,289.2879893325657623076585011,1412.2487479131887
95.217.115.180:443 => 192.168.0.123:56550,95.217.115.180,443,192.168.0.123,56550,6,1679101917.643521,kohajone,2.072177,555,555,777083,0,375008.0229632893329093026320,267.8342631927677992758340624,1400.1495495495496
95.217.115.180:443 => 192.168.0.123:56552,95.217.115.180,443,192.168.0.123,56552,6,1679101917.654884,kohajone,2.059237,826,826,1179686,0,572875.2931304167514472593490,401.1194437551384323416877222,1428.1912832929781
192.168.0.123:56558 => 95.217.115.180:443,192.168.0.123,56558,95.217.115.180,443,6,1679101917.949405,kohajone,0.236031,11,11,1848,0,7829.480025928797488465498176,46.60404777338569933610415581,168.0
95.217.115.180:443 => 192.168.0.123:56558,95.217.115.180,443,192.168.0.123,56558,6,1679101918.009170,kohajone,0.176217,10,10,6067,0,34429.14134277623611796818695,56.74821384996907222345176686,606.7
