FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55301 => 178.33.109.222:443,192.168.0.123,55301,178.33.109.222,443,6,1679098678.404157,lecanton27,3.227002,36,36,5852,0,1813.447899939324487558421098,11.15586541316057442790552965,162.55555555555554
192.168.0.123:55302 => 178.33.109.222:443,192.168.0.123,55302,178.33.109.222,443,6,1679098678.404448,lecanton27,0.427565,26,26,5073,0,11864.86265246219873001765813,60.80946756633494322500672412,195.1153846153846
178.33.109.222:443 => 192.168.0.123:55302,178.33.109.222,443,192.168.0.123,55302,6,1679098678.447938,lecanton27,0.383969,67,67,85480,0,222622.1387664108300409668489,174.4932533615995041266352232,1275.8208955223881
178.33.109.222:443 => 192.168.0.123:55301,178.33.109.222,443,192.168.0.123,55301,6,1679098678.447943,lecanton27,3.182995,86,86,113087,0,35528.48810632753114598043666,27.01857841435503354545011852,1314.9651162790697
192.168.0.123:55304 => 178.33.109.222:443,192.168.0.123,55304,178.33.109.222,443,6,1679098678.543305,lecanton27,3.087807,40,40,4672,0,1513.047933371483386105413972,12.95417751174215227829977716,116.8
192.168.0.123:55305 => 178.33.109.222:443,192.168.0.123,55305,178.33.109.222,443,6,1679098678.543658,lecanton27,3.088442,36,36,4455,0,1442.474878919532890693754327,11.65636265793561931873740870,123.75
192.168.0.123:55306 => 178.33.109.222:443,192.168.0.123,55306,178.33.109.222,443,6,1679098678.544184,lecanton27,3.125661,43,43,5403,0,1728.594367719340005202099652,13.75709010030198412431802425,125.65116279069767
192.168.0.123:55307 => 178.33.109.222:443,192.168.0.123,55307,178.33.109.222,443,6,1679098678.544439,lecanton27,3.076157,49,49,6310,0,2051.260712635928530305832895,15.92896591428850998177271186,128.77551020408163
178.33.109.222:443 => 192.168.0.123:55304,178.33.109.222,443,192.168.0.123,55304,6,1679098678.564977,lecanton27,3.065956,155,155,212202,0,69212.34355613713960670016139,50.55519387753770765138182022,1369.0451612903225
178.33.109.222:443 => 192.168.0.123:55305,178.33.109.222,443,192.168.0.123,55305,6,1679098678.564982,lecanton27,3.067033,133,133,179425,0,58501.16382836441603334558187,43.36438505878482559529030173,1349.0601503759399
178.33.109.222:443 => 192.168.0.123:55306,178.33.109.222,443,192.168.0.123,55306,6,1679098678.574821,lecanton27,3.094941,122,122,166677,0,53854.66152666561333479378121,39.41916824908778551836690909,1366.204918032787
178.33.109.222:443 => 192.168.0.123:55307,178.33.109.222,443,192.168.0.123,55307,6,1679098678.574826,lecanton27,3.045624,277,277,388207,0,127463.8629062550071840778770,90.95016325061793576620094930,1401.4693140794225
