FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59147 => 178.33.109.222:443,192.168.0.123,59147,178.33.109.222,443,6,1679102185.908872,lecanton27,1.875173,32,32,5321,0,2837.604850325809938602998230,17.06509212749970269409809122,166.28125
192.168.0.123:59148 => 178.33.109.222:443,192.168.0.123,59148,178.33.109.222,443,6,1679102185.909218,lecanton27,4.292236,51,51,8984,0,2093.081554695501365721735711,11.88191888796422191137672765,176.15686274509804
178.33.109.222:443 => 192.168.0.123:59147,178.33.109.222,443,192.168.0.123,59147,6,1679102185.935190,lecanton27,1.848828,80,80,103942,0,56220.48129950433463794360535,43.27065578842380145692298040,1299.275
178.33.109.222:443 => 192.168.0.123:59148,178.33.109.222,443,192.168.0.123,59148,6,1679102185.935196,lecanton27,4.299533,201,201,271608,0,63171.51188280215548991018327,46.74926323393726714040803966,1351.2835820895523
192.168.0.123:59150 => 178.33.109.222:443,192.168.0.123,59150,178.33.109.222,443,6,1679102187.434393,lecanton27,2.814922,64,64,6421,0,2281.057876559279440069742607,22.73597634321661488311221412,100.328125
192.168.0.123:59151 => 178.33.109.222:443,192.168.0.123,59151,178.33.109.222,443,6,1679102187.435845,lecanton27,2.766337,25,25,4608,0,1665.740652711509841353385361,9.037221423131021274703696621,184.32
192.168.0.123:59152 => 178.33.109.222:443,192.168.0.123,59152,178.33.109.222,443,6,1679102187.435959,lecanton27,2.766234,36,36,4519,0,1633.628969928068268989535954,13.01408340726055713291066482,125.52777777777777
192.168.0.123:59153 => 178.33.109.222:443,192.168.0.123,59153,178.33.109.222,443,6,1679102187.436418,lecanton27,2.811454,43,43,4727,0,1681.336418806781117528510159,15.29457711205660843108227985,109.93023255813954
178.33.109.222:443 => 192.168.0.123:59151,178.33.109.222,443,192.168.0.123,59151,6,1679102187.463368,lecanton27,2.738791,54,54,68534,0,25023.45012817699488569956598,19.71672902386490973571915491,1269.148148148148
178.33.109.222:443 => 192.168.0.123:59152,178.33.109.222,443,192.168.0.123,59152,6,1679102187.463374,lecanton27,2.738786,130,130,173886,0,63490.17411364013106536983905,47.46628615744348043257121951,1337.5846153846153
178.33.109.222:443 => 192.168.0.123:59150,178.33.109.222,443,192.168.0.123,59150,6,1679102187.463375,lecanton27,2.785910,276,276,385779,0,138475.0404715155909559174561,99.06996277697413053544443288,1397.75
178.33.109.222:443 => 192.168.0.123:59153,178.33.109.222,443,192.168.0.123,59153,6,1679102187.479657,lecanton27,2.768117,115,115,158111,0,57118.61167717983018781359314,41.54448673954171734793001885,1374.878260869565
