FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:61611 => 5.9.72.90:443,192.168.0.123,61611,5.9.72.90,443,6,1679099804.676538,rtv21,2.359999,83,83,8543,0,3619.916788100333940819466449,35.16950642775696091396648897,102.92771084337349
192.168.0.123:61612 => 5.9.72.90:443,192.168.0.123,61612,5.9.72.90,443,6,1679099804.676796,rtv21,2.357957,101,101,7088,0,3005.992051593816172220273737,42.83369035143558597548640624,70.17821782178218
5.9.72.90:443 => 192.168.0.123:61611,5.9.72.90,443,192.168.0.123,61611,6,1679099804.724505,rtv21,2.311878,393,393,560822,0,242582.8698573194606289778267,169.9916691105672531162976593,1427.027989821883
5.9.72.90:443 => 192.168.0.123:61612,5.9.72.90,443,192.168.0.123,61612,6,1679099804.729117,rtv21,2.305583,577,577,367405,0,159354.4886477736867421385394,250.2620812176356262168831051,636.7504332755633
192.168.0.123:61614 => 5.9.72.90:443,192.168.0.123,61614,5.9.72.90,443,6,1679099805.475115,rtv21,1.558791,32,32,4104,0,2632.809658254377912112656540,20.52873027878657241413377419,128.25
192.168.0.123:61615 => 5.9.72.90:443,192.168.0.123,61615,5.9.72.90,443,6,1679099805.475924,rtv21,1.557868,51,51,7608,0,4883.597326602767371818408235,32.73704832501855099405084385,149.1764705882353
192.168.0.123:61616 => 5.9.72.90:443,192.168.0.123,61616,5.9.72.90,443,6,1679099805.476006,rtv21,1.560456,34,34,4139,0,2652.429802570530665395243442,21.78850284788548988244461875,121.73529411764706
192.168.0.123:61617 => 5.9.72.90:443,192.168.0.123,61617,5.9.72.90,443,6,1679099805.476156,rtv21,1.563680,22,22,2922,0,1868.668781336334799959070910,14.06937480814488897984242300,132.8181818181818
5.9.72.90:443 => 192.168.0.123:61614,5.9.72.90,443,192.168.0.123,61614,6,1679099805.517211,rtv21,1.516423,60,60,77875,0,51354.40441090645552065617575,39.56679633585088065796944520,1297.9166666666667
5.9.72.90:443 => 192.168.0.123:61615,5.9.72.90,443,192.168.0.123,61615,6,1679099805.526518,rtv21,1.507118,162,162,221339,0,146862.4221859204123366584435,107.4899244783752831563288342,1366.29012345679
5.9.72.90:443 => 192.168.0.123:61616,5.9.72.90,443,192.168.0.123,61616,6,1679099805.526522,rtv21,1.509854,60,60,75729,0,50156.50519851588299266021748,39.73894164601345560564134016,1262.15
5.9.72.90:443 => 192.168.0.123:61617,5.9.72.90,443,192.168.0.123,61617,6,1679099805.544561,rtv21,1.495150,42,42,50297,0,33640.10299969902685349296057,28.09082700732367989833795940,1197.547619047619
