FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:60318 => 5.9.72.90:443,192.168.0.123,60318,5.9.72.90,443,6,1679102404.059722,rtv21,2.267816,98,98,6932,0,3056.685374827587423318293900,43.21338239081124747333998878,70.73469387755102
192.168.0.123:60319 => 5.9.72.90:443,192.168.0.123,60319,5.9.72.90,443,6,1679102404.059917,rtv21,2.266027,54,54,7557,0,3334.911719939788890423635729,23.83025444974839223010140656,139.94444444444446
5.9.72.90:443 => 192.168.0.123:60318,5.9.72.90,443,192.168.0.123,60318,6,1679102404.096014,rtv21,2.231320,582,582,367871,0,164866.9845651901116827707366,260.8321531649427244859545023,632.0807560137457
5.9.72.90:443 => 192.168.0.123:60319,5.9.72.90,443,192.168.0.123,60319,6,1679102404.103488,rtv21,2.222252,135,135,183249,0,82460.94502333668728839033557,60.74918596090812383114066272,1357.4
192.168.0.123:60321 => 5.9.72.90:443,192.168.0.123,60321,5.9.72.90,443,6,1679102404.889012,rtv21,1.440882,50,50,5652,0,3922.597409086934252770178266,34.70096787939609211580129393,113.04
192.168.0.123:60322 => 5.9.72.90:443,192.168.0.123,60322,5.9.72.90,443,6,1679102404.889624,rtv21,1.436341,79,79,8467,0,5894.839735132534683616216483,55.00086678581200425247208010,107.17721518987342
192.168.0.123:60323 => 5.9.72.90:443,192.168.0.123,60323,5.9.72.90,443,6,1679102404.889715,rtv21,1.436302,47,47,6074,0,4228.915645873917880779947393,32.72292317353871261057911219,129.2340425531915
192.168.0.123:60324 => 5.9.72.90:443,192.168.0.123,60324,5.9.72.90,443,6,1679102404.889887,rtv21,1.438027,28,28,3851,0,2677.974752907977388463498947,19.47112258671081975512281758,137.53571428571428
5.9.72.90:443 => 192.168.0.123:60322,5.9.72.90,443,192.168.0.123,60322,6,1679102404.937041,rtv21,1.388699,317,317,449381,0,323598.5623954507060205271265,228.2712092397272555103733782,1417.6056782334385
5.9.72.90:443 => 192.168.0.123:60323,5.9.72.90,443,192.168.0.123,60323,6,1679102404.937049,rtv21,1.388692,135,135,184182,0,132629.8416063461156253510498,97.21378102559818879924418086,1364.3111111111111
5.9.72.90:443 => 192.168.0.123:60324,5.9.72.90,443,192.168.0.123,60324,6,1679102404.952215,rtv21,1.375608,49,49,60053,0,43655.60537595012532640112590,35.62061284900931079202796145,1225.5714285714287
5.9.72.90:443 => 192.168.0.123:60321,5.9.72.90,443,192.168.0.123,60321,6,1679102404.955424,rtv21,1.374423,163,163,222629,0,161979.9726867201727561311183,118.5952214129129096355343297,1365.8220858895706
