FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:54019 => 5.9.72.90:443,192.168.0.123,54019,5.9.72.90,443,6,1679104121.458384,rtv21,2.440553,86,86,6308,0,2584.660115965520929068125134,35.23791534131813568482225135,73.34883720930233
192.168.0.123:54020 => 5.9.72.90:443,192.168.0.123,54020,5.9.72.90,443,6,1679104121.458641,rtv21,2.443444,74,74,8153,0,3336.683795495210858116658291,30.28512214726427124992428719,110.17567567567568
5.9.72.90:443 => 192.168.0.123:54019,5.9.72.90,443,192.168.0.123,54019,6,1679104121.496000,rtv21,2.402891,567,567,366286,0,152435.5453493312846899838569,235.9657595787740684034356948,646.0070546737213
5.9.72.90:443 => 192.168.0.123:54020,5.9.72.90,443,192.168.0.123,54020,6,1679104121.500563,rtv21,2.401432,216,216,304420,0,126766.0296023372720943170575,89.94633202189360348325499119,1409.351851851852
192.168.0.123:54022 => 5.9.72.90:443,192.168.0.123,54022,5.9.72.90,443,6,1679104122.147889,rtv21,1.751070,64,64,8387,0,4789.642904052950481705471512,36.54908141878965432564089385,131.046875
192.168.0.123:54023 => 5.9.72.90:443,192.168.0.123,54023,5.9.72.90,443,6,1679104122.148596,rtv21,1.753548,27,27,3799,0,2166.464790242411385374110090,15.39735439235196299160330940,140.7037037037037
192.168.0.123:54024 => 5.9.72.90:443,192.168.0.123,54024,5.9.72.90,443,6,1679104122.148752,rtv21,1.753363,26,26,3727,0,2125.629433266243213755508700,14.82864643545004656765313287,143.34615384615384
192.168.0.123:54025 => 5.9.72.90:443,192.168.0.123,54025,5.9.72.90,443,6,1679104122.148952,rtv21,1.749208,46,46,6683,0,3820.586231025698487544077091,26.29761583528088140461283049,145.2826086956522
5.9.72.90:443 => 192.168.0.123:54025,5.9.72.90,443,192.168.0.123,54025,6,1679104122.191559,rtv21,1.706542,183,183,252743,0,148102.4199814595831804901374,107.2343956374938325573000840,1381.1092896174864
5.9.72.90:443 => 192.168.0.123:54022,5.9.72.90,443,192.168.0.123,54022,6,1679104122.194627,rtv21,1.704272,278,278,393419,0,230842.8466817503309330904926,163.1195020513157524151074476,1415.1762589928057
5.9.72.90:443 => 192.168.0.123:54023,5.9.72.90,443,192.168.0.123,54023,6,1679104122.194631,rtv21,1.707364,47,47,56846,0,33294.59915987452002033544107,27.52781480691873554789722637,1209.4893617021276
5.9.72.90:443 => 192.168.0.123:54024,5.9.72.90,443,192.168.0.123,54024,6,1679104122.194631,rtv21,1.707364,53,53,64170,0,37584.25268425479276826734077,31.04200393120623370294793612,1210.754716981132
