FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55816 => 138.201.56.69:443,192.168.0.123,55816,138.201.56.69,443,6,1679098742.945455,telesport,2.380797,52,52,7243,0,3042.258537792176317426475252,21.84142537141973885215749180,139.28846153846155
192.168.0.123:55817 => 138.201.56.69:443,192.168.0.123,55817,138.201.56.69,443,6,1679098742.946143,telesport,2.466087,70,70,8147,0,3303.614187171823216293666850,28.38504886486162085928030925,116.38571428571429
138.201.56.69:443 => 192.168.0.123:55817,138.201.56.69,443,192.168.0.123,55817,6,1679098742.996015,telesport,2.415995,350,350,499407,0,206708.6231552631524485770873,144.8678494781653107725802413,1426.8771428571429
138.201.56.69:443 => 192.168.0.123:55816,138.201.56.69,443,192.168.0.123,55816,6,1679098742.996026,telesport,2.330111,288,288,409075,0,175560.3059253400374488597324,123.5992620094064188358408677,1420.3993055555557
192.168.0.123:55819 => 138.201.56.69:443,192.168.0.123,55819,138.201.56.69,443,6,1679098743.478913,telesport,1.848580,45,45,6761,0,3657.401897672808317735775568,24.34300922870527648248926203,150.24444444444444
192.168.0.123:55820 => 138.201.56.69:443,192.168.0.123,55820,138.201.56.69,443,6,1679098743.478983,telesport,1.846124,66,66,7398,0,4007.314784922356244759290275,35.75057796767714411382984025,112.0909090909091
192.168.0.123:55821 => 138.201.56.69:443,192.168.0.123,55821,138.201.56.69,443,6,1679098743.479043,telesport,1.836150,46,46,6973,0,3797.620020150859134602292841,25.05241946464068839691746317,151.58695652173913
138.201.56.69:443 => 192.168.0.123:55821,138.201.56.69,443,192.168.0.123,55821,6,1679098743.529484,telesport,1.785653,162,162,228306,0,127855.7480092716782039959611,90.72311361725934434069777275,1409.2962962962963
138.201.56.69:443 => 192.168.0.123:55820,138.201.56.69,443,192.168.0.123,55820,6,1679098743.529491,telesport,1.795546,509,509,730005,0,406564.3542409941043003075388,283.4792313869987179387217036,1434.1944990176817
138.201.56.69:443 => 192.168.0.123:55819,138.201.56.69,443,192.168.0.123,55819,6,1679098743.529492,telesport,1.797954,87,87,116071,0,64557.26898463475706275021497,48.38833474048835509696021144,1334.1494252873563
192.168.0.123:55829 => 138.201.56.69:443,192.168.0.123,55829,138.201.56.69,443,6,1679098743.787430,telesport,1.620842,17,17,2286,0,1410.378062759972902972652486,10.48837579480294809734693449,134.47058823529412
138.201.56.69:443 => 192.168.0.123:55829,138.201.56.69,443,192.168.0.123,55829,6,1679098743.860894,telesport,1.547233,16,16,16875,0,10906.56675497484864916919430,10.34104107138356020069375459,1054.6875
