FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:60914 => 138.201.56.69:443,192.168.0.123,60914,138.201.56.69,443,6,1679099550.320920,telesport,2.194882,66,66,7131,0,3248.921809919622102691625336,30.06995364671084823694394505,108.04545454545455
192.168.0.123:60915 => 138.201.56.69:443,192.168.0.123,60915,138.201.56.69,443,6,1679099550.321325,telesport,2.194439,62,62,7024,0,3200.818067852421507273612983,28.25323465359483676693678886,113.29032258064517
138.201.56.69:443 => 192.168.0.123:60914,138.201.56.69,443,192.168.0.123,60914,6,1679099550.363106,telesport,2.152499,327,327,466319,0,216640.7510526137294372726770,151.9164468833667286256578981,1426.051987767584
138.201.56.69:443 => 192.168.0.123:60915,138.201.56.69,443,192.168.0.123,60915,6,1679099550.364389,telesport,2.151215,287,287,408179,0,189743.4705503633992883091648,133.4129782471765955518160667,1422.226480836237
192.168.0.123:60917 => 138.201.56.69:443,192.168.0.123,60917,138.201.56.69,443,6,1679099550.960136,telesport,1.538284,57,57,7511,0,4882.713465133876449342254096,37.05427606345772302123665071,131.7719298245614
192.168.0.123:60918 => 138.201.56.69:443,192.168.0.123,60918,138.201.56.69,443,6,1679099550.960237,telesport,1.555490,78,78,7216,0,4639.052645790072581630225845,50.14497039518093976817594456,92.51282051282051
192.168.0.123:60919 => 138.201.56.69:443,192.168.0.123,60919,138.201.56.69,443,6,1679099550.960513,telesport,1.555309,28,28,5186,0,3334.385642981555433679095279,18.00285345227218514134490317,185.21428571428572
138.201.56.69:443 => 192.168.0.123:60917,138.201.56.69,443,192.168.0.123,60917,6,1679099551.003017,telesport,1.495320,180,180,250813,0,167731.9904769547655351362919,120.3755717839659738383757323,1393.4055555555556
138.201.56.69:443 => 192.168.0.123:60918,138.201.56.69,443,192.168.0.123,60918,6,1679099551.007120,telesport,1.508479,509,509,730005,0,483934.4796977617852154388626,337.4259767620232035049874741,1434.1944990176817
138.201.56.69:443 => 192.168.0.123:60919,138.201.56.69,443,192.168.0.123,60919,6,1679099551.013922,telesport,1.501683,64,64,82003,0,54607.39716704524190524897731,42.61884831885291369749807383,1281.296875
192.168.0.123:60927 => 138.201.56.69:443,192.168.0.123,60927,138.201.56.69,443,6,1679099551.219223,telesport,1.296561,8,8,1121,0,864.5948782972802667980912583,6.170168622995755695258456795,140.125
138.201.56.69:443 => 192.168.0.123:60927,138.201.56.69,443,192.168.0.123,60927,6,1679099551.266098,telesport,1.249507,5,5,815,0,652.2572502595023477259431120,4.001578222450934648625417865,163.0
