FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:64573 => 138.201.56.69:443,192.168.0.123,64573,138.201.56.69,443,6,1679103100.319828,telesport,2.309390,54,54,6556,0,2838.844889776088057885415629,23.38279805489761365555406406,121.4074074074074
192.168.0.123:64574 => 138.201.56.69:443,192.168.0.123,64574,138.201.56.69,443,6,1679103100.320674,telesport,2.309392,54,54,6514,0,2820.655826295405890381537651,23.38277780472089623589239072,120.62962962962963
138.201.56.69:443 => 192.168.0.123:64573,138.201.56.69,443,192.168.0.123,64573,6,1679103100.359676,telesport,2.269441,287,287,408024,0,179790.5299146353661540441016,126.4628602373888547884699360,1421.6864111498257
138.201.56.69:443 => 192.168.0.123:64574,138.201.56.69,443,192.168.0.123,64574,6,1679103100.368852,telesport,2.261136,319,319,456448,0,201866.6723275380162891573085,141.0795281663730089654050000,1430.871473354232
192.168.0.123:64576 => 138.201.56.69:443,192.168.0.123,64576,138.201.56.69,443,6,1679103101.059387,telesport,1.570741,65,65,6540,0,4163.639963558600685918302254,41.38174275708089366738373799,100.61538461538461
192.168.0.123:64577 => 138.201.56.69:443,192.168.0.123,64577,138.201.56.69,443,6,1679103101.059458,telesport,1.568547,40,40,6502,0,4145.237598873352217051832046,25.50130789832883554015276558,162.55
192.168.0.123:64578 => 138.201.56.69:443,192.168.0.123,64578,138.201.56.69,443,6,1679103101.059534,telesport,1.569714,52,52,6519,0,4152.985830539830822684896739,33.12705371806583874514720516,125.36538461538461
138.201.56.69:443 => 192.168.0.123:64576,138.201.56.69,443,192.168.0.123,64576,6,1679103101.108358,telesport,1.521636,508,508,729953,0,479715.9110325991235748891325,333.8511970011224760718069236,1436.9153543307086
138.201.56.69:443 => 192.168.0.123:64578,138.201.56.69,443,192.168.0.123,64578,6,1679103101.108365,telesport,1.520758,162,162,226624,0,149020.4227102537024299724216,106.5258246216689308884122260,1398.9135802469136
138.201.56.69:443 => 192.168.0.123:64577,138.201.56.69,443,192.168.0.123,64577,6,1679103101.108365,telesport,1.519433,88,88,116123,0,76425.21914424657092481208451,57.91634116147273357890739506,1319.5795454545455
192.168.0.123:64586 => 138.201.56.69:443,192.168.0.123,64586,138.201.56.69,443,6,1679103101.311832,telesport,1.318270,8,8,1121,0,850.3569071586245609776449438,6.068559551533449141678108430,140.125
138.201.56.69:443 => 192.168.0.123:64586,138.201.56.69,443,192.168.0.123,64586,6,1679103101.350484,telesport,1.279510,5,5,815,0,636.9625872404279763346906238,3.907745933990355683034911802,163.0
