FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49425 => 138.201.56.69:443,192.168.0.123,49425,138.201.56.69,443,6,1679100683.747680,telesport,3.003064,51,51,6412,0,2135.152630779763601441727516,16.98265504831065871390020326,125.72549019607843
192.168.0.123:49426 => 138.201.56.69:443,192.168.0.123,49426,138.201.56.69,443,6,1679100683.747938,telesport,3.002861,64,64,7034,0,2342.432766618235076482061607,21.31300782820117214882740160,109.90625
138.201.56.69:443 => 192.168.0.123:49425,138.201.56.69,443,192.168.0.123,49425,6,1679100683.787324,telesport,2.963357,284,284,403827,0,136273.4898292713297790310111,95.83725484307155702131062845,1421.9260563380283
138.201.56.69:443 => 192.168.0.123:49426,138.201.56.69,443,192.168.0.123,49426,6,1679100683.796595,telesport,2.954091,314,314,447558,0,151504.4729495469164626275900,106.2932726175327706560156745,1425.343949044586
192.168.0.123:49428 => 138.201.56.69:443,192.168.0.123,49428,138.201.56.69,443,6,1679100684.418242,telesport,2.330824,56,56,6717,0,2881.813470257728597268605437,24.02583807271591505836562520,119.94642857142857
192.168.0.123:49429 => 138.201.56.69:443,192.168.0.123,49429,138.201.56.69,443,6,1679100684.418325,telesport,2.310749,44,44,6708,0,2902.954842780414488981711125,19.04144500333008907501420535,152.45454545454547
192.168.0.123:49430 => 138.201.56.69:443,192.168.0.123,49430,138.201.56.69,443,6,1679100684.418380,telesport,2.332386,66,66,6592,0,2826.290331017250146416587992,28.29720295011203119895248900,99.87878787878788
138.201.56.69:443 => 192.168.0.123:49428,138.201.56.69,443,192.168.0.123,49428,6,1679100684.463793,telesport,2.285152,172,172,240300,0,105157.1186511881922953046449,75.26851605494951758132500595,1397.093023255814
138.201.56.69:443 => 192.168.0.123:49430,138.201.56.69,443,192.168.0.123,49430,6,1679100684.465561,telesport,2.285125,508,508,729953,0,319436.7922980143318199223237,222.3073136042886056561457251,1436.9153543307086
138.201.56.69:443 => 192.168.0.123:49429,138.201.56.69,443,192.168.0.123,49429,6,1679100684.465570,telesport,2.263413,86,86,115533,0,51043.71142164509967911291488,37.99571708742505234351839457,1343.406976744186
192.168.0.123:49438 => 138.201.56.69:443,192.168.0.123,49438,138.201.56.69,443,6,1679100684.701152,telesport,2.031702,8,8,1121,0,551.7541450468621874664689999,3.937585334857178857923061551,140.125
138.201.56.69:443 => 192.168.0.123:49438,138.201.56.69,443,192.168.0.123,49438,6,1679100684.746461,telesport,1.986292,5,5,815,0,410.3122803696536058142508755,2.517253253801555863891109666,163.0
