FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49906 => 51.178.75.191:443,192.168.0.123,49906,51.178.75.191,443,6,1679100816.148380,balkanweb,2.114605,32,32,7074,0,3345.305624454685390415704115,15.13284987030674759588670224,221.0625
192.168.0.123:49907 => 51.178.75.191:443,192.168.0.123,49907,51.178.75.191,443,6,1679100816.148583,balkanweb,2.116531,45,45,10914,0,5156.550978936760198645802967,21.26120524575354672338841245,242.53333333333333
51.178.75.191:443 => 192.168.0.123:49906,51.178.75.191,443,192.168.0.123,49906,6,1679100816.172366,balkanweb,2.090563,71,71,90385,0,43234.76498914407267324639344,33.96214321213950500415438329,1273.0281690140846
51.178.75.191:443 => 192.168.0.123:49907,51.178.75.191,443,192.168.0.123,49907,6,1679100816.180120,balkanweb,2.084926,91,91,117738,0,56471.06899717304115349897311,43.64663302198735110982356208,1293.8241758241759
192.168.0.123:49909 => 51.178.75.191:443,192.168.0.123,49909,51.178.75.191,443,6,1679100816.261387,balkanweb,2.008563,38,38,9206,0,4583.376274480810410228606222,18.91899830874112487385260009,242.26315789473685
192.168.0.123:49910 => 51.178.75.191:443,192.168.0.123,49910,51.178.75.191,443,6,1679100816.261953,balkanweb,2.001053,18,18,4048,0,2022.934924762112747638368399,8.995263993507418344241756715,224.88888888888889
192.168.0.123:49911 => 51.178.75.191:443,192.168.0.123,49911,51.178.75.191,443,6,1679100816.262567,balkanweb,2.001540,27,27,5364,0,2679.936448934320573158667826,13.48961299799154650918792530,198.66666666666666
192.168.0.123:49912 => 51.178.75.191:443,192.168.0.123,49912,51.178.75.191,443,6,1679100816.262711,balkanweb,2.001421,19,19,4181,0,2089.015754306565185435747901,9.493255042292451213412870156,220.05263157894737
51.178.75.191:443 => 192.168.0.123:49909,51.178.75.191,443,192.168.0.123,49909,6,1679100816.286914,balkanweb,1.983005,77,77,96888,0,48859.18088960945635537984019,38.82995756440351890186862867,1258.2857142857142
51.178.75.191:443 => 192.168.0.123:49910,51.178.75.191,443,192.168.0.123,49910,6,1679100816.290140,balkanweb,1.972799,27,27,29403,0,14904.20463514022462501248227,13.68613832427936145547519033,1089.0
51.178.75.191:443 => 192.168.0.123:49911,51.178.75.191,443,192.168.0.123,49911,6,1679100816.290508,balkanweb,1.973522,63,63,81302,0,41196.39912805633785688733138,31.92262361402609142436719733,1290.5079365079366
51.178.75.191:443 => 192.168.0.123:49912,51.178.75.191,443,192.168.0.123,49912,6,1679100816.290509,balkanweb,1.973525,25,25,26620,0,13488.55474341596888815697800,12.66768852687450120976425432,1064.8
192.168.0.123:49925 => 51.178.75.191:443,192.168.0.123,49925,51.178.75.191,443,6,1679100816.513664,balkanweb,1.747307,12,12,1894,0,1083.953764278400990781814529,6.867711283706870057751728803,157.83333333333334
192.168.0.123:49926 => 51.178.75.191:443,192.168.0.123,49926,51.178.75.191,443,6,1679100816.513701,balkanweb,1.747293,11,11,1839,0,1052.485187086539006337231363,6.295452451306106073795293634,167.1818181818182
192.168.0.123:49927 => 51.178.75.191:443,192.168.0.123,49927,51.178.75.191,443,6,1679100816.513729,balkanweb,1.747213,12,12,1897,0,1085.729101145653105831973549,6.868080766340451908267623925,158.08333333333334
51.178.75.191:443 => 192.168.0.123:49927,51.178.75.191,443,192.168.0.123,49927,6,1679100816.564614,balkanweb,1.696263,12,12,8814,0,5196.128194743385901832439899,7.074374669494058409574458678,734.5
51.178.75.191:443 => 192.168.0.123:49925,51.178.75.191,443,192.168.0.123,49925,6,1679100816.564615,balkanweb,1.696273,12,12,10405,0,6134.036207615165719197322601,7.074332964092454457507724287,867.0833333333334
51.178.75.191:443 => 192.168.0.123:49926,51.178.75.191,443,192.168.0.123,49926,6,1679100816.565430,balkanweb,1.695458,12,12,9101,0,5367.871100316256728270473229,7.077733568156804827957991292,758.4166666666666
