FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:65065 => 51.178.75.191:443,192.168.0.123,65065,51.178.75.191,443,6,1679103214.747946,balkanweb,2.668555,28,28,5340,0,2001.082983112583401878544755,10.49256994890493169524330583,190.71428571428572
192.168.0.123:65066 => 51.178.75.191:443,192.168.0.123,65066,51.178.75.191,443,6,1679103214.748121,balkanweb,2.665987,40,40,7451,0,2794.837334165545443394885271,15.00382409966740272927062285,186.275
51.178.75.191:443 => 192.168.0.123:65065,51.178.75.191,443,192.168.0.123,65065,6,1679103214.774260,balkanweb,2.642121,55,55,67875,0,25689.58802416694769088925148,20.81660908035627437199129033,1234.090909090909
51.178.75.191:443 => 192.168.0.123:65066,51.178.75.191,443,192.168.0.123,65066,6,1679103214.782420,balkanweb,2.631626,79,79,104294,0,39631.01139751621241012210702,30.01946325199705429266924707,1320.1772151898733
192.168.0.123:65068 => 51.178.75.191:443,192.168.0.123,65068,51.178.75.191,443,6,1679103214.865719,balkanweb,2.547857,37,37,8026,0,3150.098298295390989368712608,14.52200810328052163053106984,216.9189189189189
192.168.0.123:65069 => 51.178.75.191:443,192.168.0.123,65069,51.178.75.191,443,6,1679103214.865987,balkanweb,2.548145,19,19,4141,0,1625.103751945042373962235273,7.456404560964937238657925667,217.94736842105263
192.168.0.123:65070 => 51.178.75.191:443,192.168.0.123,65070,51.178.75.191,443,6,1679103214.866699,balkanweb,2.543350,37,37,8176,0,3214.657833172783926710834136,14.54774215109992726128924450,220.97297297297297
192.168.0.123:65071 => 51.178.75.191:443,192.168.0.123,65071,51.178.75.191,443,6,1679103214.867048,balkanweb,2.545104,30,30,8017,0,3149.969510086817670319169669,11.78733757048827867151990646,267.23333333333335
51.178.75.191:443 => 192.168.0.123:65068,51.178.75.191,443,192.168.0.123,65068,6,1679103214.887636,balkanweb,2.525801,59,59,73368,0,29047.41901677923161800949481,23.35892653459239267068149866,1243.5254237288136
51.178.75.191:443 => 192.168.0.123:65069,51.178.75.191,443,192.168.0.123,65069,6,1679103214.892525,balkanweb,2.521525,33,33,37921,0,15038.91494234639751737539782,13.08731819038082113007009647,1149.121212121212
51.178.75.191:443 => 192.168.0.123:65070,51.178.75.191,443,192.168.0.123,65070,6,1679103214.892525,balkanweb,2.517331,76,76,99049,0,39346.83202169281671738837682,30.19070595007172278893796644,1303.2763157894738
51.178.75.191:443 => 192.168.0.123:65071,51.178.75.191,443,192.168.0.123,65071,6,1679103214.901221,balkanweb,2.510872,52,52,59682,0,23769.43149630885206414345295,20.70993662759391956260613843,1147.7307692307693
192.168.0.123:65083 => 51.178.75.191:443,192.168.0.123,65083,51.178.75.191,443,6,1679103215.111899,balkanweb,2.288016,11,11,1842,0,805.0643002496486038559170915,4.807658687701484605002762218,167.45454545454547
192.168.0.123:65084 => 51.178.75.191:443,192.168.0.123,65084,51.178.75.191,443,6,1679103215.111930,balkanweb,2.285756,12,12,1897,0,829.9223539170410140014944727,5.249904189248546214031593923,158.08333333333334
192.168.0.123:65085 => 51.178.75.191:443,192.168.0.123,65085,51.178.75.191,443,6,1679103215.111956,balkanweb,2.285669,11,11,1839,0,804.5784407103565739396211787,4.812595349545362867501812380,167.1818181818182
51.178.75.191:443 => 192.168.0.123:65085,51.178.75.191,443,192.168.0.123,65085,6,1679103215.162462,balkanweb,2.234983,12,12,9101,0,4072.066767398230769540528944,5.369168356090404267057064864,758.4166666666666
51.178.75.191:443 => 192.168.0.123:65084,51.178.75.191,443,192.168.0.123,65084,6,1679103215.162468,balkanweb,2.234983,11,11,8762,0,3920.387761338676848996166861,4.921737659749537244802309458,796.5454545454545
51.178.75.191:443 => 192.168.0.123:65083,51.178.75.191,443,192.168.0.123,65083,6,1679103215.162469,balkanweb,2.237281,12,12,10405,0,4650.734529994220663385600646,5.363653470440235267720058410,867.0833333333334
