FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:60142 => 51.178.75.191:443,192.168.0.123,60142,51.178.75.191,443,6,1679102378.480071,balkanweb,1.828441,63,63,16033,0,8768.672327955892478893221056,34.45558265210635727376491776,254.4920634920635
192.168.0.123:60143 => 51.178.75.191:443,192.168.0.123,60143,51.178.75.191,443,6,1679102378.480323,balkanweb,1.847061,30,30,7010,0,3795.218457863600606585272495,16.24201907787560887269018186,233.66666666666666
51.178.75.191:443 => 192.168.0.123:60143,51.178.75.191,443,192.168.0.123,60143,6,1679102378.509273,balkanweb,1.817845,53,53,64844,0,35670.80801718518355525361073,29.15540103804229733558141646,1223.4716981132076
51.178.75.191:443 => 192.168.0.123:60142,51.178.75.191,443,192.168.0.123,60142,6,1679102378.509297,balkanweb,1.824208,147,147,191232,0,104830.1509476989466113513371,80.58291598326506626437336093,1300.8979591836735
192.168.0.123:60145 => 51.178.75.191:443,192.168.0.123,60145,51.178.75.191,443,6,1679102378.601874,balkanweb,1.725431,16,16,4081,0,2365.206142697100028920310346,9.273045401409850640216850167,255.0625
192.168.0.123:60146 => 51.178.75.191:443,192.168.0.123,60146,51.178.75.191,443,6,1679102378.602376,balkanweb,1.725033,25,25,4452,0,2580.820193005003382543986115,14.49247637581425978517512419,178.08
192.168.0.123:60147 => 51.178.75.191:443,192.168.0.123,60147,51.178.75.191,443,6,1679102378.602490,balkanweb,1.724866,21,21,4248,0,2462.800008812278750929057678,12.17485880062567179131596310,202.28571428571428
192.168.0.123:60148 => 51.178.75.191:443,192.168.0.123,60148,51.178.75.191,443,6,1679102378.602709,balkanweb,1.726380,25,25,5337,0,3091.439891565008862475237202,14.48116868823781554466571670,213.48
51.178.75.191:443 => 192.168.0.123:60145,51.178.75.191,443,192.168.0.123,60145,6,1679102378.627606,balkanweb,1.699502,19,19,18028,0,10607.81334767478943831781310,11.17974559606284664566443582,948.8421052631579
51.178.75.191:443 => 192.168.0.123:60147,51.178.75.191,443,192.168.0.123,60147,6,1679102378.628799,balkanweb,1.698318,34,34,39768,0,23416.10935054565752703557284,20.01980783339751448197569595,1169.6470588235295
51.178.75.191:443 => 192.168.0.123:60148,51.178.75.191,443,192.168.0.123,60148,6,1679102378.629960,balkanweb,1.699069,44,44,54255,0,31932.19345417990676070247883,25.89653510245905257526327654,1233.0681818181818
51.178.75.191:443 => 192.168.0.123:60146,51.178.75.191,443,192.168.0.123,60146,6,1679102378.629972,balkanweb,1.697146,57,57,73932,0,43562.54559124553809748837165,33.58579638993934523016876568,1297.0526315789473
192.168.0.123:60160 => 51.178.75.191:443,192.168.0.123,60160,51.178.75.191,443,6,1679102378.924271,balkanweb,1.363106,12,12,1894,0,1389.473745988939965050406938,8.803423945019682988703739841,157.83333333333334
192.168.0.123:60161 => 51.178.75.191:443,192.168.0.123,60161,51.178.75.191,443,6,1679102378.924338,balkanweb,1.365441,11,11,1839,0,1346.817621559627988320256972,8.056005349187551860534435395,167.1818181818182
192.168.0.123:60162 => 51.178.75.191:443,192.168.0.123,60162,51.178.75.191,443,6,1679102378.924373,balkanweb,1.362984,13,13,1949,0,1429.950755107910290949857078,9.537896262905507328039067223,149.92307692307693
51.178.75.191:443 => 192.168.0.123:60160,51.178.75.191,443,192.168.0.123,60160,6,1679102379.016594,balkanweb,1.270629,13,13,10457,0,8229.782257448869811723170178,10.23115323198195539374593213,804.3846153846154
51.178.75.191:443 => 192.168.0.123:60161,51.178.75.191,443,192.168.0.123,60161,6,1679102379.016599,balkanweb,1.273121,12,12,9101,0,7148.574251779681585646611752,9.425655534705656414433506320,758.4166666666666
51.178.75.191:443 => 192.168.0.123:60162,51.178.75.191,443,192.168.0.123,60162,6,1679102379.023326,balkanweb,1.263892,11,11,8762,0,6932.554363822225316720099502,8.703275279849860589354153678,796.5454545454545
