FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50033 => 188.40.137.224:443,192.168.0.123,50033,188.40.137.224,443,6,1679103495.298835,shqiperia,9.084232,71,71,8773,0,965.7393162129721037507628603,7.815740505086175694323967067,123.56338028169014
192.168.0.123:50034 => 188.40.137.224:443,192.168.0.123,50034,188.40.137.224,443,6,1679103495.299123,shqiperia,9.088029,81,81,10791,0,1187.386175814359747311545771,8.912823671667420955632954076,133.22222222222223
188.40.137.224:443 => 192.168.0.123:50033,188.40.137.224,443,192.168.0.123,50033,6,1679103495.343193,shqiperia,9.039799,205,205,284315,0,31451.47364449143172320535003,22.67749537351438898143642353,1386.9024390243903
188.40.137.224:443 => 192.168.0.123:50034,188.40.137.224,443,192.168.0.123,50034,6,1679103495.351650,shqiperia,9.035453,221,221,305916,0,33857.29525680671461630092039,24.45920531045870085318356479,1384.235294117647
192.168.0.123:50036 => 188.40.137.224:443,192.168.0.123,50036,188.40.137.224,443,6,1679103503.263816,shqiperia,1.119263,59,59,8258,0,7378.069318828550573010990268,52.71325863536988178828389753,139.96610169491527
192.168.0.123:50037 => 188.40.137.224:443,192.168.0.123,50037,188.40.137.224,443,6,1679103503.264090,shqiperia,2.244398,28,28,4505,0,2007.219753359252681565390809,12.47550568125617648919665763,160.89285714285714
192.168.0.123:50038 => 188.40.137.224:443,192.168.0.123,50038,188.40.137.224,443,6,1679103503.284202,shqiperia,1.098846,46,46,7665,0,6975.499751557543095210793869,41.86209896564213729676405975,166.6304347826087
192.168.0.123:50039 => 188.40.137.224:443,192.168.0.123,50039,188.40.137.224,443,6,1679103503.284481,shqiperia,1.099263,30,30,6188,0,5629.226126959608392168207244,27.29101225093539944490081082,206.26666666666668
188.40.137.224:443 => 192.168.0.123:50037,188.40.137.224,443,192.168.0.123,50037,6,1679103503.314393,shqiperia,2.193921,54,54,66907,0,30496.54021270592696819985770,24.61346602726351586953222108,1239.0185185185185
188.40.137.224:443 => 192.168.0.123:50036,188.40.137.224,443,192.168.0.123,50036,6,1679103503.316577,shqiperia,1.066415,140,140,189500,0,177698.1756633205646957328995,131.2809741048278578227050445,1353.5714285714287
188.40.137.224:443 => 192.168.0.123:50038,188.40.137.224,443,192.168.0.123,50038,6,1679103503.340944,shqiperia,1.042043,107,107,140056,0,134405.2020885894344091366671,102.6829027209049914446908621,1308.9345794392523
188.40.137.224:443 => 192.168.0.123:50039,188.40.137.224,443,192.168.0.123,50039,6,1679103503.342855,shqiperia,1.040856,56,56,65135,0,62578.30093692114951539886401,53.80187076790641548878999593,1163.125
