FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55178 => 188.40.137.224:443,192.168.0.123,55178,188.40.137.224,443,6,1679104441.571070,shqiperia,1.934339,51,51,8172,0,4224.698979858235810786010105,26.36559568927680204969242723,160.23529411764707
192.168.0.123:55179 => 188.40.137.224:443,192.168.0.123,55179,188.40.137.224,443,6,1679104441.571252,shqiperia,1.934130,66,66,8919,0,4611.375657272261947232088846,34.12386964681794915543422624,135.13636363636363
188.40.137.224:443 => 192.168.0.123:55178,188.40.137.224,443,192.168.0.123,55178,6,1679104441.616081,shqiperia,1.889174,132,132,173271,0,91717.86188037735010115531973,69.87180640851504414098436671,1312.659090909091
188.40.137.224:443 => 192.168.0.123:55179,188.40.137.224,443,192.168.0.123,55179,6,1679104441.624152,shqiperia,1.881102,144,144,191853,0,101989.6847698848866249677051,76.55087283943135459959109075,1332.3125
192.168.0.123:55181 => 188.40.137.224:443,192.168.0.123,55181,188.40.137.224,443,6,1679104442.290963,shqiperia,1.214376,67,67,8855,0,7291.810773598951230920242166,55.17236836037602851176241955,132.16417910447763
192.168.0.123:55182 => 188.40.137.224:443,192.168.0.123,55182,188.40.137.224,443,6,1679104442.291119,shqiperia,2.518123,66,66,7223,0,2868.406348697025522581700735,26.20999847902584583834864302,109.43939393939394
192.168.0.123:55183 => 188.40.137.224:443,192.168.0.123,55183,188.40.137.224,443,6,1679104442.300544,shqiperia,1.204851,43,43,6425,0,5332.609592389432386245270162,35.68906030704211558109674972,149.41860465116278
192.168.0.123:55184 => 188.40.137.224:443,192.168.0.123,55184,188.40.137.224,443,6,1679104442.300918,shqiperia,1.204451,51,51,6833,0,5673.124103844822246816184303,42.34294296737683807809533140,133.98039215686273
188.40.137.224:443 => 192.168.0.123:55181,188.40.137.224,443,192.168.0.123,55181,6,1679104442.342141,shqiperia,1.163105,135,135,182478,0,156888.6729916903460994493188,116.0686266502164464945125333,1351.6888888888889
188.40.137.224:443 => 192.168.0.123:55182,188.40.137.224,443,192.168.0.123,55182,6,1679104442.342146,shqiperia,2.466743,176,176,243368,0,98659.64958651955230034097593,71.34914338461688145056051644,1382.7727272727273
188.40.137.224:443 => 192.168.0.123:55184,188.40.137.224,443,192.168.0.123,55184,6,1679104442.344656,shqiperia,1.160598,117,117,156861,0,135155.3250996469061638913732,100.8100996210574203987944146,1340.6923076923076
188.40.137.224:443 => 192.168.0.123:55183,188.40.137.224,443,192.168.0.123,55183,6,1679104442.345576,shqiperia,1.159678,80,80,103015,0,88830.69265778948984114555937,68.98466643326854523410808862,1287.6875
