FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:55537 => 65.254.227.240:443,192.168.0.123,55537,65.254.227.240,443,6,1679098704.315845,tribuna-news,3.978387,84,84,14821,0,3725.379154918815087622194623,21.11408467803660126578937645,176.4404761904762
192.168.0.123:55538 => 65.254.227.240:443,192.168.0.123,55538,65.254.227.240,443,6,1679098704.316008,tribuna-news,3.982582,82,82,12504,0,3139.671700419476610902173515,20.58965766429919082645379304,152.4878048780488
65.254.227.240:443 => 192.168.0.123:55537,65.254.227.240,443,192.168.0.123,55537,6,1679098704.427772,tribuna-news,3.866204,441,441,617289,0,159662.8113777752027570195468,114.0653726497618853014481388,1399.748299319728
65.254.227.240:443 => 192.168.0.123:55538,65.254.227.240,443,192.168.0.123,55538,6,1679098704.431509,tribuna-news,3.866895,495,495,706277,0,182647.0592038314978813751085,128.0096821868708615051611176,1426.8222222222223
192.168.0.123:55540 => 65.254.227.240:443,192.168.0.123,55540,65.254.227.240,443,6,1679098706.317968,tribuna-news,1.980576,60,60,9326,0,4708.731197389042379590583749,30.29421743977509572972710969,155.43333333333334
192.168.0.123:55541 => 65.254.227.240:443,192.168.0.123,55541,65.254.227.240,443,6,1679098706.318491,tribuna-news,1.979998,93,93,12869,0,6499.501514647994593933933267,46.96974441388324634671348153,138.3763440860215
192.168.0.123:55542 => 65.254.227.240:443,192.168.0.123,55542,65.254.227.240,443,6,1679098706.319535,tribuna-news,1.976658,69,69,11749,0,5943.870917477884388700523813,34.90740431576934401398724514,170.2753623188406
192.168.0.123:55543 => 65.254.227.240:443,192.168.0.123,55543,65.254.227.240,443,6,1679098706.320002,tribuna-news,1.978624,54,54,9123,0,4610.780016819769698537973865,27.29169362142579893906068055,168.94444444444446
65.254.227.240:443 => 192.168.0.123:55541,65.254.227.240,443,192.168.0.123,55541,6,1679098706.433379,tribuna-news,1.865016,360,360,507092,0,271896.8630832121547482702561,193.0278346137513029378836428,1408.588888888889
65.254.227.240:443 => 192.168.0.123:55540,65.254.227.240,443,192.168.0.123,55540,6,1679098706.433383,tribuna-news,1.865021,244,244,338828,0,181675.1661241347952650399111,130.8296260471061719948461706,1388.639344262295
65.254.227.240:443 => 192.168.0.123:55542,65.254.227.240,443,192.168.0.123,55542,6,1679098706.433383,tribuna-news,1.862681,455,455,646562,0,347113.6496265329382755286600,244.2715634077976851645558203,1421.0153846153846
65.254.227.240:443 => 192.168.0.123:55543,65.254.227.240,443,192.168.0.123,55543,6,1679098706.438629,tribuna-news,1.859776,303,303,424252,0,228119.9456278605595512577859,162.9228466223889328607316150,1400.171617161716
