FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:60636 => 65.254.227.240:443,192.168.0.123,60636,65.254.227.240,443,6,1679099513.022624,tribuna-news,4.609257,115,115,14902,0,3233.059037497800621662016243,24.94979125702906129990148087,129.58260869565217
192.168.0.123:60637 => 65.254.227.240:443,192.168.0.123,60637,65.254.227.240,443,6,1679099513.022932,tribuna-news,3.861428,79,79,13608,0,3524.084872228615942081530460,20.45875256511321718286602780,172.25316455696202
65.254.227.240:443 => 192.168.0.123:60637,65.254.227.240,443,192.168.0.123,60637,6,1679099513.137584,tribuna-news,3.746646,415,415,585368,0,156237.8724864852457371206140,110.7657355405341203839380609,1410.5253012048192
65.254.227.240:443 => 192.168.0.123:60636,65.254.227.240,443,192.168.0.123,60636,6,1679099513.145407,tribuna-news,4.486299,573,573,814148,0,181474.3065497863606505050154,127.7222048731036428913899854,1420.8516579406632
192.168.0.123:60639 => 65.254.227.240:443,192.168.0.123,60639,65.254.227.240,443,6,1679099514.889634,tribuna-news,2.012941,76,76,12311,0,6115.926895025735975371359618,37.75570173194345984308531646,161.98684210526315
192.168.0.123:60640 => 65.254.227.240:443,192.168.0.123,60640,65.254.227.240,443,6,1679099514.890725,tribuna-news,2.003520,70,70,11820,0,5899.616674652611403929084811,34.93850822552307938029068839,168.85714285714286
192.168.0.123:60641 => 65.254.227.240:443,192.168.0.123,60641,65.254.227.240,443,6,1679099514.890912,tribuna-news,2.013383,62,62,9419,0,4678.195852453308684934759060,30.79394233486624253805659430,151.91935483870967
192.168.0.123:60642 => 65.254.227.240:443,192.168.0.123,60642,65.254.227.240,443,6,1679099514.891040,tribuna-news,2.003267,65,65,9559,0,4771.705419197740490908101616,32.44699782904625294581301444,147.06153846153848
65.254.227.240:443 => 192.168.0.123:60639,65.254.227.240,443,192.168.0.123,60639,6,1679099515.010249,tribuna-news,1.892157,397,397,560461,0,296202.1650423299969294302745,209.8134562829617204069218358,1411.7405541561714
65.254.227.240:443 => 192.168.0.123:60642,65.254.227.240,443,192.168.0.123,60642,6,1679099515.010437,tribuna-news,1.883719,252,252,350154,0,185884.4126963735036913679800,133.7779148588510282053745808,1389.5
65.254.227.240:443 => 192.168.0.123:60640,65.254.227.240,443,192.168.0.123,60640,6,1679099515.012600,tribuna-news,1.881543,428,428,605624,0,321876.2473140395940990984527,227.4728773139917610174202769,1415.0093457943926
65.254.227.240:443 => 192.168.0.123:60641,65.254.227.240,443,192.168.0.123,60641,6,1679099515.013025,tribuna-news,1.891187,199,199,274198,0,144987.2487490660627426055699,105.2249195875394659544508290,1377.8793969849246
