FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:49229 => 173.231.244.176:443,192.168.0.123,49229,173.231.244.176,443,6,1679306693.096372,bulevardionline,3.322367,73,73,7282,0,2191.810838477507150775335777,21.97228662577012112147754899,99.75342465753425
192.168.0.123:49230 => 173.231.244.176:443,192.168.0.123,49230,173.231.244.176,443,6,1679306693.096760,bulevardionline,3.335523,13,13,1662,0,498.2726846734380185656042546,3.897439771813895452077530270,127.84615384615384
173.231.244.176:443 => 192.168.0.123:49229,173.231.244.176,443,192.168.0.123,49229,6,1679306693.195489,bulevardionline,3.223182,216,216,297224,0,92214.46384349378967740574377,67.01452167454397548757718304,1376.037037037037
173.231.244.176:443 => 192.168.0.123:49230,173.231.244.176,443,192.168.0.123,49230,6,1679306693.202987,bulevardionline,3.229193,10,10,6573,0,2035.493078301606624317592662,3.096748940060256540875692472,657.3
192.168.0.123:49239 => 173.231.244.176:443,192.168.0.123,49239,173.231.244.176,443,6,1679306694.135198,bulevardionline,0.537100,10,10,1412,0,2628.933159560603239620182461,18.61850679575498045056786446,141.2
192.168.0.123:49240 => 173.231.244.176:443,192.168.0.123,49240,173.231.244.176,443,6,1679306694.135250,bulevardionline,0.525607,10,10,1412,0,2686.417798849710905676674778,19.02562180488463814218608200,141.2
192.168.0.123:49241 => 173.231.244.176:443,192.168.0.123,49241,173.231.244.176,443,6,1679306694.135287,bulevardionline,2.282304,103,103,7864,0,3445.640896217155996747146743,45.12983371189815204284792911,76.3495145631068
192.168.0.123:49242 => 173.231.244.176:443,192.168.0.123,49242,173.231.244.176,443,6,1679306694.135323,bulevardionline,0.527330,9,9,1360,0,2579.030208787666167295621338,17.06711167580073198945631768,151.11111111111111
192.168.0.123:49243 => 173.231.244.176:443,192.168.0.123,49243,173.231.244.176,443,6,1679306694.135357,bulevardionline,0.535915,10,10,1412,0,2634.746181763899125794202439,18.65967550824291165576630622,141.2
192.168.0.123:49244 => 173.231.244.176:443,192.168.0.123,49244,173.231.244.176,443,6,1679306694.135390,bulevardionline,0.527307,12,12,1590,0,3015.321245498352951885713636,22.75714147545926756140161234,132.5
173.231.244.176:443 => 192.168.0.123:49241,173.231.244.176,443,192.168.0.123,49241,6,1679306694.238863,bulevardionline,2.178671,754,754,1089491,0,500071.3737870472411851078020,346.0825429814781580146795914,1444.948275862069
173.231.244.176:443 => 192.168.0.123:49244,173.231.244.176,443,192.168.0.123,49244,6,1679306694.241079,bulevardionline,0.421513,9,9,6298,0,14941.41343208869002854004503,21.35165463461387904999371312,699.7777777777778
173.231.244.176:443 => 192.168.0.123:49242,173.231.244.176,443,192.168.0.123,49242,6,1679306694.241085,bulevardionline,0.421499,8,8,5640,0,13380.81466385448126804571304,18.97987895582195924545491211,705.0
173.231.244.176:443 => 192.168.0.123:49240,173.231.244.176,443,192.168.0.123,49240,6,1679306694.244158,bulevardionline,0.416545,8,8,5640,0,13539.95366647060941795004141,19.20560803754696371340431406,705.0
173.231.244.176:443 => 192.168.0.123:49239,173.231.244.176,443,192.168.0.123,49239,6,1679306694.244162,bulevardionline,0.428099,8,8,5640,0,13174.52271554009703363007155,18.68726626317744260089371851,705.0
173.231.244.176:443 => 192.168.0.123:49243,173.231.244.176,443,192.168.0.123,49243,6,1679306694.245648,bulevardionline,0.425583,8,8,5640,0,13252.40904829375233503217939,18.79774333091312387947826863,705.0
