FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:54430 => 173.231.244.176:443,192.168.0.123,54430,173.231.244.176,443,6,1679307501.361734,bulevardionline,3.718865,81,81,7698,0,2069.986407143039610203650845,21.78083904632192886808206267,95.03703703703704
192.168.0.123:54431 => 173.231.244.176:443,192.168.0.123,54431,173.231.244.176,443,6,1679307501.362364,bulevardionline,0.594234,12,12,1586,0,2668.982252782573868206800688,20.19406496430699017558739486,132.16666666666666
173.231.244.176:443 => 192.168.0.123:54430,173.231.244.176,443,192.168.0.123,54430,6,1679307501.487543,bulevardionline,3.592892,216,216,297236,0,82728.89917091858035254051611,60.11870103526629801285426893,1376.0925925925926
173.231.244.176:443 => 192.168.0.123:54431,173.231.244.176,443,192.168.0.123,54431,6,1679307501.487553,bulevardionline,0.468978,10,10,6511,0,13883.38045707901010281932202,21.32296184469207510800080174,651.1
192.168.0.123:54439 => 173.231.244.176:443,192.168.0.123,54439,173.231.244.176,443,6,1679307502.531337,bulevardionline,0.730185,10,10,1436,0,1966.624896430356690427768305,13.69515944589384881913487678,143.6
192.168.0.123:54440 => 173.231.244.176:443,192.168.0.123,54440,173.231.244.176,443,6,1679307502.531399,bulevardionline,0.730147,10,10,1436,0,1966.727248074702765333556120,13.69587220107731730733674178,143.6
192.168.0.123:54441 => 173.231.244.176:443,192.168.0.123,54441,173.231.244.176,443,6,1679307502.531439,bulevardionline,0.600607,10,10,1412,0,2350.954950575001623357703124,16.64982259614023812576277000,141.2
192.168.0.123:54442 => 173.231.244.176:443,192.168.0.123,54442,173.231.244.176,443,6,1679307502.531477,bulevardionline,0.600579,10,10,1412,0,2351.064556036757861996506704,16.65059883878723698297809281,141.2
192.168.0.123:54443 => 173.231.244.176:443,192.168.0.123,54443,173.231.244.176,443,6,1679307502.531512,bulevardionline,0.600519,10,10,1412,0,2351.299459301037935519109304,16.65226245963907886344978260,141.2
192.168.0.123:54444 => 173.231.244.176:443,192.168.0.123,54444,173.231.244.176,443,6,1679307502.531545,bulevardionline,2.556861,117,117,8590,0,3359.588182541014157594018603,45.75923368536654906152504966,73.41880341880342
173.231.244.176:443 => 192.168.0.123:54439,173.231.244.176,443,192.168.0.123,54439,6,1679307502.627031,bulevardionline,0.634394,8,8,5640,0,8890.374120814509594983559113,12.61045974583618382267171505,705.0
173.231.244.176:443 => 192.168.0.123:54440,173.231.244.176,443,192.168.0.123,54440,6,1679307502.638525,bulevardionline,0.622905,8,8,5640,0,9054.350181809425193247766513,12.84304990327578041595427874,705.0
173.231.244.176:443 => 192.168.0.123:54443,173.231.244.176,443,192.168.0.123,54443,6,1679307502.641192,bulevardionline,0.490733,8,8,5640,0,11493.01147467156274389535654,16.30214393570434431758206601,705.0
173.231.244.176:443 => 192.168.0.123:54444,173.231.244.176,443,192.168.0.123,54444,6,1679307502.643020,bulevardionline,2.445293,735,735,1060211,0,433572.1731506203960016243452,300.5774768095275290118607463,1442.4639455782312
173.231.244.176:443 => 192.168.0.123:54442,173.231.244.176,443,192.168.0.123,54442,6,1679307502.648658,bulevardionline,0.483268,8,8,5640,0,11670.54305271609127854523784,16.55396177690225713268828062,705.0
173.231.244.176:443 => 192.168.0.123:54441,173.231.244.176,443,192.168.0.123,54441,6,1679307502.648665,bulevardionline,0.483261,8,8,5640,0,11670.71209967284759167406433,16.55420155981964197400576500,705.0
