FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59564 => 173.231.244.176:443,192.168.0.123,59564,173.231.244.176,443,6,1679308498.310528,bulevardionline,3.429550,87,87,8010,0,2335.583385575367030659999125,25.36775961860885538919100173,92.06896551724138
192.168.0.123:59565 => 173.231.244.176:443,192.168.0.123,59565,173.231.244.176,443,6,1679308498.310873,bulevardionline,3.440746,13,13,1662,0,483.0347837358526319583020659,3.778250414299689660323662369,127.84615384615384
173.231.244.176:443 => 192.168.0.123:59564,173.231.244.176,443,192.168.0.123,59564,6,1679308498.416547,bulevardionline,3.323415,214,214,297140,0,89408.03360398866828247450288,64.39159719746104534041039112,1388.5046728971963
173.231.244.176:443 => 192.168.0.123:59565,173.231.244.176,443,192.168.0.123,59565,6,1679308498.424706,bulevardionline,3.326828,10,10,6573,0,1975.755885185528076594281400,3.005866248570710598804627110,657.3
192.168.0.123:59575 => 173.231.244.176:443,192.168.0.123,59575,173.231.244.176,443,6,1679308499.491436,bulevardionline,2.249701,101,101,7827,0,3479.129004254343132709635636,44.89485491627554061628634205,77.4950495049505
192.168.0.123:59576 => 173.231.244.176:443,192.168.0.123,59576,173.231.244.176,443,6,1679308499.491480,bulevardionline,0.496716,9,9,1372,0,2762.141746994258288438463830,18.11900562897108206701616215,152.44444444444446
192.168.0.123:59577 => 173.231.244.176:443,192.168.0.123,59577,173.231.244.176,443,6,1679308499.491517,bulevardionline,0.502447,10,10,1412,0,2810.246652880801358153198248,19.90259669179037789060338702,141.2
192.168.0.123:59578 => 173.231.244.176:443,192.168.0.123,59578,173.231.244.176,443,6,1679308499.491550,bulevardionline,0.502390,9,9,1360,0,2707.060251995461693106948785,17.91436931467584943967833755,151.11111111111111
192.168.0.123:59579 => 173.231.244.176:443,192.168.0.123,59579,173.231.244.176,443,6,1679308499.491587,bulevardionline,0.496642,10,10,1412,0,2843.094220786804176851736261,20.13522819254110606835507267,141.2
192.168.0.123:59580 => 173.231.244.176:443,192.168.0.123,59580,173.231.244.176,443,6,1679308499.491618,bulevardionline,0.521081,10,10,1412,0,2709.751458986222871300239310,19.19087435542650758711217642,141.2
173.231.244.176:443 => 192.168.0.123:59575,173.231.244.176,443,192.168.0.123,59575,6,1679308499.586623,bulevardionline,2.154473,753,753,1080871,0,501686.9554642829128051268222,349.5054242963360413428249043,1435.4196547144754
173.231.244.176:443 => 192.168.0.123:59579,173.231.244.176,443,192.168.0.123,59579,6,1679308499.596486,bulevardionline,0.391657,8,8,5640,0,14400.35541302721513977791792,20.42603604684711367344385521,705.0
173.231.244.176:443 => 192.168.0.123:59576,173.231.244.176,443,192.168.0.123,59576,6,1679308499.596492,bulevardionline,0.391645,8,8,5640,0,14400.79663981411737670594544,20.42666190044555656270346870,705.0
173.231.244.176:443 => 192.168.0.123:59578,173.231.244.176,443,192.168.0.123,59578,6,1679308499.600586,bulevardionline,0.393302,8,8,5640,0,14340.12539981998565987460018,20.34060340399997965939659600,705.0
173.231.244.176:443 => 192.168.0.123:59577,173.231.244.176,443,192.168.0.123,59577,6,1679308499.600591,bulevardionline,0.393303,8,8,5640,0,14340.08893906224971586791863,20.34055168661312016435165763,705.0
173.231.244.176:443 => 192.168.0.123:59580,173.231.244.176,443,192.168.0.123,59580,6,1679308499.612510,bulevardionline,0.400072,8,8,5640,0,14097.46245675778359895218861,19.99640064788338099142154412,705.0
