FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59281 => 144.91.119.216:443,192.168.0.123,59281,144.91.119.216,443,6,1679308438.410074,gazetaolle,1.920462,93,93,19640,0,10226.70586556776442335229752,48.42584753043798835905110333,211.18279569892474
192.168.0.123:59282 => 144.91.119.216:443,192.168.0.123,59282,144.91.119.216,443,6,1679308438.410282,gazetaolle,1.917547,79,79,17615,0,9186.215513883101691901163309,41.19846866856457755663876818,222.9746835443038
144.91.119.216:443 => 192.168.0.123:59282,144.91.119.216,443,192.168.0.123,59282,6,1679308438.450997,gazetaolle,1.876797,269,269,368030,0,196094.7294779350137494891563,143.3292998656754033600863599,1368.1412639405205
144.91.119.216:443 => 192.168.0.123:59281,144.91.119.216,443,192.168.0.123,59281,6,1679308438.451008,gazetaolle,1.879464,211,211,282059,0,150074.1700825341693163582809,112.2660503207297399684165273,1336.7725118483413
192.168.0.123:59284 => 144.91.119.216:443,192.168.0.123,59284,144.91.119.216,443,6,1679308438.561814,gazetaolle,1.766005,91,91,16333,0,9248.558186415100749997876563,51.52873293110721657073451094,179.4835164835165
192.168.0.123:59285 => 144.91.119.216:443,192.168.0.123,59285,144.91.119.216,443,6,1679308438.561909,gazetaolle,1.773748,82,82,15296,0,8623.547426128176043045573554,46.22979137960973035628510927,186.53658536585365
192.168.0.123:59286 => 144.91.119.216:443,192.168.0.123,59286,144.91.119.216,443,6,1679308438.562282,gazetaolle,1.756382,90,90,17154,0,9766.668071068822158277641197,51.24170026793715717879140187,190.6
192.168.0.123:59287 => 144.91.119.216:443,192.168.0.123,59287,144.91.119.216,443,6,1679308438.562330,gazetaolle,1.764345,80,80,17206,0,9752.060963133627493489085185,45.34260589623911423219381697,215.075
144.91.119.216:443 => 192.168.0.123:59287,144.91.119.216,443,192.168.0.123,59287,6,1679308438.603561,gazetaolle,1.722980,183,183,241967,0,140435.1762643791570418693194,106.2113315302557197413783097,1322.224043715847
144.91.119.216:443 => 192.168.0.123:59285,144.91.119.216,443,192.168.0.123,59285,6,1679308438.607618,gazetaolle,1.727976,441,441,622275,0,360117.8488590119307212600175,255.2118779427492048500673620,1411.0544217687075
144.91.119.216:443 => 192.168.0.123:59286,144.91.119.216,443,192.168.0.123,59286,6,1679308438.607623,gazetaolle,1.710871,232,232,311768,0,182227.6489577530976911760150,135.6034440936809379549948535,1343.8275862068965
144.91.119.216:443 => 192.168.0.123:59284,144.91.119.216,443,192.168.0.123,59284,6,1679308438.607623,gazetaolle,1.720171,497,497,697493,0,405478.8739026527013884084780,288.9247638752193822590893580,1403.4064386317907
