FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:65340 => 144.91.119.216:443,192.168.0.123,65340,144.91.119.216,443,6,1679306647.427219,gazetaolle,1.129181,105,105,16140,0,14293.54549890584414721820505,92.98774952819787084621508864,153.71428571428572
192.168.0.123:65341 => 144.91.119.216:443,192.168.0.123,65341,144.91.119.216,443,6,1679306647.427389,gazetaolle,1.126095,80,80,14128,0,12546.01077173773083088016553,71.04196359987390051461022383,176.6
144.91.119.216:443 => 192.168.0.123:65340,144.91.119.216,443,192.168.0.123,65340,6,1679306647.464501,gazetaolle,1.091852,564,564,795497,0,728575.8509395046215054787645,516.5535255693995156852760264,1410.4556737588653
144.91.119.216:443 => 192.168.0.123:65341,144.91.119.216,443,192.168.0.123,65341,6,1679306647.473620,gazetaolle,1.079712,267,267,372054,0,344586.3341335467235707299724,247.2881657330843780563705877,1393.4606741573034
192.168.0.123:65343 => 144.91.119.216:443,192.168.0.123,65343,144.91.119.216,443,6,1679306647.579527,gazetaolle,0.976900,78,78,12886,0,13190.70529225099805507216706,79.84440577336472515098781861,165.2051282051282
192.168.0.123:65344 => 144.91.119.216:443,192.168.0.123,65344,144.91.119.216,443,6,1679306647.580279,gazetaolle,0.959358,82,82,14801,0,15428.02582560420614619360030,85.47382728866596202877340888,180.5
192.168.0.123:65345 => 144.91.119.216:443,192.168.0.123,65345,144.91.119.216,443,6,1679306647.580555,gazetaolle,0.972938,70,70,11760,0,12087.10113080175715204874309,71.94703054048664971457585170,168.0
192.168.0.123:65346 => 144.91.119.216:443,192.168.0.123,65346,144.91.119.216,443,6,1679306647.580681,gazetaolle,0.975733,70,70,11726,0,12017.63187265368702298682119,71.74093732609228139255308573,167.5142857142857
144.91.119.216:443 => 192.168.0.123:65343,144.91.119.216,443,192.168.0.123,65343,6,1679306647.618089,gazetaolle,0.938274,212,212,292176,0,311397.3103805498180702012419,225.9467916621370729658926923,1378.188679245283
144.91.119.216:443 => 192.168.0.123:65344,144.91.119.216,443,192.168.0.123,65344,6,1679306647.625814,gazetaolle,0.913701,369,369,518813,0,567814.8540934069241469583595,403.8520259909970548352250900,1405.9972899728998
144.91.119.216:443 => 192.168.0.123:65346,144.91.119.216,443,192.168.0.123,65346,6,1679306647.625821,gazetaolle,0.930542,210,210,288906,0,310470.6719309821587848802096,225.6749292347900470908352337,1375.7428571428572
144.91.119.216:443 => 192.168.0.123:65345,144.91.119.216,443,192.168.0.123,65345,6,1679306647.625822,gazetaolle,0.927520,218,218,298453,0,321775.2716922546144557529757,235.0353631188545799551492151,1369.0504587155963
