FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:53146 => 144.91.119.216:443,192.168.0.123,53146,144.91.119.216,443,6,1679309957.291561,gazetaolle,1.099772,83,83,16958,0,15419.55969055404211054654965,75.47018836631592730129517755,204.3132530120482
192.168.0.123:53147 => 144.91.119.216:443,192.168.0.123,53147,144.91.119.216,443,6,1679309957.292188,gazetaolle,1.071247,102,102,19035,0,17769.01125510736552821151424,95.21613596117422032453766498,186.61764705882354
144.91.119.216:443 => 192.168.0.123:53146,144.91.119.216,443,192.168.0.123,53146,6,1679309957.329028,gazetaolle,1.062206,206,206,276465,0,260274.3723910427920761132963,193.9360161776529223145039663,1342.0631067961165
144.91.119.216:443 => 192.168.0.123:53147,144.91.119.216,443,192.168.0.123,53147,6,1679309957.341052,gazetaolle,1.022124,248,248,339675,0,332322.6927456942601876093312,242.6320094235141724487439880,1369.657258064516
192.168.0.123:53149 => 144.91.119.216:443,192.168.0.123,53149,144.91.119.216,443,6,1679309957.431178,gazetaolle,0.960132,82,82,14475,0,15076.05204284410893502143455,85.40492348968683472689171906,176.52439024390245
192.168.0.123:53150 => 144.91.119.216:443,192.168.0.123,53150,144.91.119.216,443,6,1679309957.431683,gazetaolle,0.959638,82,82,14305,0,14906.66272073427688357484802,85.44888801819019255177473172,174.4512195121951
192.168.0.123:53151 => 144.91.119.216:443,192.168.0.123,53151,144.91.119.216,443,6,1679309957.431763,gazetaolle,0.959522,90,90,14691,0,15310.74847684576278605388933,93.79670294167304136851473963,163.23333333333332
192.168.0.123:53152 => 144.91.119.216:443,192.168.0.123,53152,144.91.119.216,443,6,1679309957.431841,gazetaolle,0.937073,91,91,14291,0,15250.67950949392416599347116,97.11089744342223071201496575,157.04395604395606
144.91.119.216:443 => 192.168.0.123:53152,144.91.119.216,443,192.168.0.123,53152,6,1679309957.471681,gazetaolle,0.897059,531,531,757436,0,844354.7191433339390162742919,591.9343097834144688364979338,1426.4331450094162
144.91.119.216:443 => 192.168.0.123:53149,144.91.119.216,443,192.168.0.123,53149,6,1679309957.471682,gazetaolle,0.919551,366,366,514396,0,559399.0980380642291727158146,398.0203381867889872339870219,1405.4535519125684
144.91.119.216:443 => 192.168.0.123:53151,144.91.119.216,443,192.168.0.123,53151,6,1679309957.471682,gazetaolle,0.919547,314,314,438570,0,476941.3635192110898083512860,341.4724859088224962943710327,1396.71974522293
144.91.119.216:443 => 192.168.0.123:53150,144.91.119.216,443,192.168.0.123,53150,6,1679309957.471682,gazetaolle,0.919552,205,205,276996,0,301229.2942650334075723830735,222.9346464365256124721603563,1351.2
