FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:64416 => 144.91.119.216:443,192.168.0.123,64416,144.91.119.216,443,6,1679309259.344092,gazetaolle,1.065153,102,102,18772,0,17623.75921581218848372017917,95.76089068894327857124751092,184.0392156862745
192.168.0.123:64417 => 144.91.119.216:443,192.168.0.123,64417,144.91.119.216,443,6,1679309259.344249,gazetaolle,1.074307,131,131,18127,0,16873.20291127210378411385200,121.9390732816597117956040499,138.3740458015267
144.91.119.216:443 => 192.168.0.123:64416,144.91.119.216,443,192.168.0.123,64416,6,1679309259.384730,gazetaolle,1.024243,238,238,322594,0,314958.4620055982808767060161,232.3667332849724137729035004,1355.436974789916
144.91.119.216:443 => 192.168.0.123:64417,144.91.119.216,443,192.168.0.123,64417,6,1679309259.384743,gazetaolle,1.033779,668,668,950552,0,919492.4640566310594430724555,646.1729247740571243950592922,1422.9820359281437
192.168.0.123:64419 => 144.91.119.216:443,192.168.0.123,64419,144.91.119.216,443,6,1679309259.501602,gazetaolle,0.915121,84,84,13883,0,15170.67141940792529075390030,91.79114018801885215179194882,165.27380952380952
192.168.0.123:64420 => 144.91.119.216:443,192.168.0.123,64420,144.91.119.216,443,6,1679309259.502074,gazetaolle,0.916496,95,95,16204,0,17680.38267488346921317714425,103.6556624360608229604930082,170.56842105263158
192.168.0.123:64421 => 144.91.119.216:443,192.168.0.123,64421,144.91.119.216,443,6,1679309259.502153,gazetaolle,0.915543,87,87,14455,0,15788.44467163202602171607450,95.02557498664726834239353040,166.1494252873563
192.168.0.123:64422 => 144.91.119.216:443,192.168.0.123,64422,144.91.119.216,443,6,1679309259.502216,gazetaolle,0.914531,76,76,13772,0,15059.08492987115800339190252,83.10270510239674762255188725,181.21052631578948
144.91.119.216:443 => 192.168.0.123:64419,144.91.119.216,443,192.168.0.123,64419,6,1679309259.544222,gazetaolle,0.872447,328,328,459391,0,526554.6216561005998072089193,375.9540694162510731310899115,1400.5823170731708
144.91.119.216:443 => 192.168.0.123:64421,144.91.119.216,443,192.168.0.123,64421,6,1679309259.544227,gazetaolle,0.873437,218,218,300110,0,343596.6188746297672299204178,249.5886938611485430546221422,1376.651376146789
144.91.119.216:443 => 192.168.0.123:64420,144.91.119.216,443,192.168.0.123,64420,6,1679309259.544227,gazetaolle,0.874299,240,240,327844,0,374979.2691058779662335196540,274.5056325124471147742362739,1366.0166666666667
144.91.119.216:443 => 192.168.0.123:64422,144.91.119.216,443,192.168.0.123,64422,6,1679309259.545518,gazetaolle,0.871158,179,179,243100,0,279053.8570500414390960078424,205.4736339447034866235516405,1358.1005586592178
