FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:59604 => 95.217.115.180:443,192.168.0.123,59604,95.217.115.180,443,6,1679308521.251666,kohajone,2.139282,132,132,26987,0,12614.98016624269264173680702,61.70294519376127130504533764,204.4469696969697
192.168.0.123:59605 => 95.217.115.180:443,192.168.0.123,59605,95.217.115.180,443,6,1679308521.251912,kohajone,2.137702,183,183,26321,0,12312.75453734898503158999711,85.60594507559987313479615026,143.8306010928962
95.217.115.180:443 => 192.168.0.123:59604,95.217.115.180,443,192.168.0.123,59604,6,1679308521.304187,kohajone,2.086630,420,420,584062,0,279906.8354236256547639016021,201.2814921667952631755510081,1390.6238095238095
95.217.115.180:443 => 192.168.0.123:59605,95.217.115.180,443,192.168.0.123,59605,6,1679308521.313424,kohajone,2.076003,1300,1300,1874120,0,902753.9940934574757358250446,626.2033340028892058441148688,1441.6307692307691
192.168.0.123:59607 => 95.217.115.180:443,192.168.0.123,59607,95.217.115.180,443,6,1679308521.483150,kohajone,1.906501,137,137,26145,0,13713.60413658319612735582095,71.85939057991577240190275274,190.83941605839416
192.168.0.123:59608 => 95.217.115.180:443,192.168.0.123,59608,95.217.115.180,443,6,1679308521.483598,kohajone,1.907304,129,129,24269,0,12724.24322499192577585953786,67.63473468309194548954964704,188.13178294573643
192.168.0.123:59609 => 95.217.115.180:443,192.168.0.123,59609,95.217.115.180,443,6,1679308521.483929,kohajone,1.899008,117,117,25411,0,13381.19691965489350229172284,61.61111485575626853599352925,217.18803418803418
192.168.0.123:59610 => 95.217.115.180:443,192.168.0.123,59610,95.217.115.180,443,6,1679308521.484207,kohajone,1.905345,155,155,25858,0,13571.29548716899039281599920,81.35009670164720824837496621,166.8258064516129
95.217.115.180:443 => 192.168.0.123:59607,95.217.115.180,443,192.168.0.123,59607,6,1679308521.537521,kohajone,1.851906,654,654,927352,0,500755.4379109954824920919312,353.1496739035350606348270377,1417.9694189602446
95.217.115.180:443 => 192.168.0.123:59609,95.217.115.180,443,192.168.0.123,59609,6,1679308521.541667,kohajone,1.841200,327,327,451672,0,245313.9257006300238974581794,177.6015641972626547903541169,1381.2599388379206
95.217.115.180:443 => 192.168.0.123:59608,95.217.115.180,443,192.168.0.123,59608,6,1679308521.541671,kohajone,1.849140,652,652,925157,0,500317.4448662621542987550970,352.5963420833468531317260997,1418.95245398773
95.217.115.180:443 => 192.168.0.123:59610,95.217.115.180,443,192.168.0.123,59610,6,1679308521.542445,kohajone,1.846975,933,933,1328745,0,719416.8843649751620893623357,505.1503133502077721680044397,1424.1639871382636
192.168.0.123:59616 => 95.217.115.180:443,192.168.0.123,59616,95.217.115.180,443,6,1679308521.845838,kohajone,0.227959,12,12,1900,0,8334.832140867436688176382595,52.64104510021538960953504797,158.33333333333334
95.217.115.180:443 => 192.168.0.123:59616,95.217.115.180,443,192.168.0.123,59616,6,1679308521.900199,kohajone,0.173550,10,10,6067,0,34958.22529530394698934024777,57.62028233938346297896859695,606.7
