FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:64721 => 95.217.115.180:443,192.168.0.123,64721,95.217.115.180,443,6,1679309338.886204,kohajone,3.079882,197,197,28143,0,9137.687742582345687269836961,63.96348951031240807277681418,142.85786802030458
192.168.0.123:64722 => 95.217.115.180:443,192.168.0.123,64722,95.217.115.180,443,6,1679309338.886437,kohajone,3.079580,146,146,27223,0,8839.841796608628449334000091,47.40906227472577429389721975,186.45890410958904
95.217.115.180:443 => 192.168.0.123:64721,95.217.115.180,443,192.168.0.123,64721,6,1679309338.935169,kohajone,3.030667,1061,1061,1515023,0,499897.5473055931252097310592,350.0879509362130514503902936,1427.9198868991518
95.217.115.180:443 => 192.168.0.123:64722,95.217.115.180,443,192.168.0.123,64722,6,1679309338.944868,kohajone,3.020966,706,706,998576,0,330548.5728737099325182739561,233.7000813647025487873746345,1414.413597733711
192.168.0.123:64724 => 95.217.115.180:443,192.168.0.123,64724,95.217.115.180,443,6,1679309339.120836,kohajone,2.838163,140,140,25909,0,9128.792109544095952205704887,49.32768132062887156234508025,185.06428571428572
192.168.0.123:64725 => 95.217.115.180:443,192.168.0.123,64725,95.217.115.180,443,6,1679309339.121243,kohajone,2.844810,141,141,25761,0,9055.437797251837556813987577,49.56394275891887331667141215,182.70212765957447
192.168.0.123:64726 => 95.217.115.180:443,192.168.0.123,64726,95.217.115.180,443,6,1679309339.121475,kohajone,2.844486,115,115,23701,0,8332.261083373235094143546497,40.42909685616311699196269554,206.09565217391304
192.168.0.123:64727 => 95.217.115.180:443,192.168.0.123,64727,95.217.115.180,443,6,1679309339.122487,kohajone,2.870270,118,118,24699,0,8605.113804624652036219589098,41.11111498221421678099969689,209.3135593220339
95.217.115.180:443 => 192.168.0.123:64724,95.217.115.180,443,192.168.0.123,64724,6,1679309339.178443,kohajone,2.780489,733,733,1041514,0,374579.4354877865008636969972,263.6226937060351614410270999,1420.8922237380627
95.217.115.180:443 => 192.168.0.123:64726,95.217.115.180,443,192.168.0.123,64726,6,1679309339.180652,kohajone,2.785176,548,548,769509,0,276287.3872243621228963627433,196.7559680250009335137169069,1404.213503649635
95.217.115.180:443 => 192.168.0.123:64727,95.217.115.180,443,192.168.0.123,64727,6,1679309339.180658,kohajone,2.811970,470,470,658543,0,234192.7545457455093759890753,167.1426082070576855371856741,1401.155319148936
95.217.115.180:443 => 192.168.0.123:64725,95.217.115.180,443,192.168.0.123,64725,6,1679309339.180659,kohajone,2.785176,533,533,739877,0,265648.2032015211965060735839,191.3703119659224408080494734,1388.1369606003752
192.168.0.123:64733 => 95.217.115.180:443,192.168.0.123,64733,95.217.115.180,443,6,1679309339.495662,kohajone,0.269934,12,12,1900,0,7038.757622233583023998458883,44.45531129831736646735868768,158.33333333333334
95.217.115.180:443 => 192.168.0.123:64733,95.217.115.180,443,192.168.0.123,64733,6,1679309339.554190,kohajone,0.211315,10,10,6067,0,28710.69256796725267964886544,47.32271727042566784184747888,606.7
