FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:50861 => 178.33.109.222:443,192.168.0.123,50861,178.33.109.222,443,6,1679309602.118357,lecanton27,4.181224,30,30,6073,0,1452.445503995959078011606171,7.174932507801543280149544727,202.43333333333334
192.168.0.123:50862 => 178.33.109.222:443,192.168.0.123,50862,178.33.109.222,443,6,1679309602.118559,lecanton27,4.168195,66,66,7714,0,1850.681170146790157370276583,15.83419201836766274130648878,116.87878787878788
178.33.109.222:443 => 192.168.0.123:50861,178.33.109.222,443,192.168.0.123,50861,6,1679309602.146336,lecanton27,4.153211,72,72,92810,0,22346.56510348258251266309369,17.33598413372207672569489005,1289.0277777777778
178.33.109.222:443 => 192.168.0.123:50862,178.33.109.222,443,192.168.0.123,50862,6,1679309602.146343,lecanton27,4.140387,297,297,420963,0,101672.3799007194255029783448,71.73242501244448888473468784,1417.3838383838383
192.168.0.123:50864 => 178.33.109.222:443,192.168.0.123,50864,178.33.109.222,443,6,1679309603.928514,lecanton27,2.358227,37,37,5014,0,2126.173604152611262613819620,15.68975336131763396823121778,135.51351351351352
192.168.0.123:50865 => 178.33.109.222:443,192.168.0.123,50865,178.33.109.222,443,6,1679309603.929545,lecanton27,0.277961,20,20,3567,0,12832.73552764596472166958674,71.95254010454704077190685024,178.35
192.168.0.123:50866 => 178.33.109.222:443,192.168.0.123,50866,178.33.109.222,443,6,1679309603.929700,lecanton27,2.357046,50,50,6458,0,2739.870159513221209938202309,21.21299287328291429187211450,129.16
192.168.0.123:50867 => 178.33.109.222:443,192.168.0.123,50867,178.33.109.222,443,6,1679309603.930134,lecanton27,2.365580,33,33,4363,0,1844.367977409345699574734315,13.95006721396021271738854742,132.21212121212122
178.33.109.222:443 => 192.168.0.123:50867,178.33.109.222,443,192.168.0.123,50867,6,1679309603.959380,lecanton27,2.336291,129,129,173834,0,74405.97083154452934159314914,55.21572441104297367066003336,1347.5503875968993
178.33.109.222:443 => 192.168.0.123:50865,178.33.109.222,443,192.168.0.123,50865,6,1679309603.962667,lecanton27,0.244787,50,50,63418,0,259074.2155424920441036492951,204.2592131118074080731411390,1268.36
178.33.109.222:443 => 192.168.0.123:50866,178.33.109.222,443,192.168.0.123,50866,6,1679309603.963316,lecanton27,2.323413,186,186,254070,0,109352.0609551551962565415619,80.05464375037929115486570834,1365.967741935484
178.33.109.222:443 => 192.168.0.123:50864,178.33.109.222,443,192.168.0.123,50864,6,1679309603.964920,lecanton27,2.321808,114,114,153869,0,66271.19899664399468000799377,49.09966715594054288726716421,1349.7280701754387
