FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57013 => 178.33.109.222:443,192.168.0.123,57013,178.33.109.222,443,6,1679307878.723918,lecanton27,2.356976,32,32,5551,0,2355.136412080564248426797727,13.57671864287120445859440232,173.46875
192.168.0.123:57014 => 178.33.109.222:443,192.168.0.123,57014,178.33.109.222,443,6,1679307878.724151,lecanton27,2.356732,49,49,6380,0,2707.138529115741628662062551,20.79150280982309401323527665,130.20408163265307
178.33.109.222:443 => 192.168.0.123:57013,178.33.109.222,443,192.168.0.123,57013,6,1679307878.747071,lecanton27,2.333783,75,75,97372,0,41722.81656006578160865855994,32.13666394861904470124257482,1298.2933333333333
178.33.109.222:443 => 192.168.0.123:57014,178.33.109.222,443,192.168.0.123,57014,6,1679307878.755606,lecanton27,2.325246,175,175,240084,0,103251.0108607863426063306850,75.26085412038124138263220322,1371.9085714285713
192.168.0.123:57016 => 178.33.109.222:443,192.168.0.123,57016,178.33.109.222,443,6,1679307878.838263,lecanton27,2.232565,14,14,2732,0,1223.704572991155912593810259,6.270814063644283593086875410,195.14285714285714
192.168.0.123:57017 => 178.33.109.222:443,192.168.0.123,57017,178.33.109.222,443,6,1679307878.838414,lecanton27,0.295124,20,20,3437,0,11645.95220991854271424892588,67.76812458492023691736354888,171.85
192.168.0.123:57018 => 178.33.109.222:443,192.168.0.123,57018,178.33.109.222,443,6,1679307878.838826,lecanton27,2.228656,51,51,7292,0,3271.927116611984981082769167,22.88374697575579183148947168,142.98039215686273
192.168.0.123:57019 => 178.33.109.222:443,192.168.0.123,57019,178.33.109.222,443,6,1679307878.838965,lecanton27,2.271130,60,60,6165,0,2714.507756050952609493952350,26.41856696886571882719175036,102.75
178.33.109.222:443 => 192.168.0.123:57018,178.33.109.222,443,192.168.0.123,57018,6,1679307878.863551,lecanton27,2.203829,232,232,317262,0,143959.4451293634850979817400,105.2713254975771713685589944,1367.5086206896551
178.33.109.222:443 => 192.168.0.123:57016,178.33.109.222,443,192.168.0.123,57016,6,1679307878.863559,lecanton27,2.207203,20,20,20799,0,9423.238370009464467020024891,9.061241761632255845973388039,1039.95
178.33.109.222:443 => 192.168.0.123:57019,178.33.109.222,443,192.168.0.123,57019,6,1679307878.864763,lecanton27,2.245255,286,286,404149,0,180001.3806894985202126261828,127.3797408312196164800880078,1413.1083916083917
178.33.109.222:443 => 192.168.0.123:57017,178.33.109.222,443,192.168.0.123,57017,6,1679307878.864763,lecanton27,0.268666,52,52,65278,0,242970.8262303380405410435262,193.5488673669165432172288269,1255.3461538461538
