FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:62137 => 178.33.109.222:443,192.168.0.123,62137,178.33.109.222,443,6,1679308896.145963,lecanton27,0.518328,31,31,5819,0,11226.48207312744053958111466,59.80768933956876726705869642,187.70967741935485
192.168.0.123:62138 => 178.33.109.222:443,192.168.0.123,62138,178.33.109.222,443,6,1679308896.146154,lecanton27,2.594393,46,46,7475,0,2881.213447615685056196189243,17.73054429301960034582270304,162.5
178.33.109.222:443 => 192.168.0.123:62137,178.33.109.222,443,192.168.0.123,62137,6,1679308896.172141,lecanton27,0.492015,58,58,71355,0,145026.0662784671199048809488,117.8825848805422598904504944,1230.2586206896551
178.33.109.222:443 => 192.168.0.123:62138,178.33.109.222,443,192.168.0.123,62138,6,1679308896.173904,lecanton27,2.566594,161,161,220355,0,85855.02810339305710213613840,62.72904869254739939390491835,1368.6645962732919
192.168.0.123:62140 => 178.33.109.222:443,192.168.0.123,62140,178.33.109.222,443,6,1679308896.280001,lecanton27,2.515146,47,47,5588,0,2221.739811525851779578601004,18.68678796380011339301972927,118.8936170212766
192.168.0.123:62141 => 178.33.109.222:443,192.168.0.123,62141,178.33.109.222,443,6,1679308896.280093,lecanton27,2.503156,58,58,6230,0,2488.858065578014314729086002,23.17074924615165814675553581,107.41379310344827
192.168.0.123:62142 => 178.33.109.222:443,192.168.0.123,62142,178.33.109.222,443,6,1679308896.280861,lecanton27,2.463526,41,41,4779,0,1939.902400055854900658649432,16.64281196951036847185700496,116.5609756097561
192.168.0.123:62143 => 178.33.109.222:443,192.168.0.123,62143,178.33.109.222,443,6,1679308896.281006,lecanton27,2.463389,32,32,4885,0,1983.040437381185025994676440,12.99023418550622739648508620,152.65625
178.33.109.222:443 => 192.168.0.123:62142,178.33.109.222,443,192.168.0.123,62142,6,1679308896.316983,lecanton27,2.427324,129,129,173834,0,71615.49096865519395021019032,53.14494480341314138532804026,1347.5503875968993
178.33.109.222:443 => 192.168.0.123:62141,178.33.109.222,443,192.168.0.123,62141,6,1679308896.319285,lecanton27,2.463872,274,274,386182,0,156737.8500181827627409216063,111.2070756922437529222297262,1409.4233576642337
178.33.109.222:443 => 192.168.0.123:62140,178.33.109.222,443,192.168.0.123,62140,6,1679308896.319289,lecanton27,2.475811,173,173,237929,0,96101.43908400116163955972407,69.87609312665627545882945023,1375.3121387283236
178.33.109.222:443 => 192.168.0.123:62143,178.33.109.222,443,192.168.0.123,62143,6,1679308896.321356,lecanton27,2.422952,56,56,69836,0,28822.69231912146835760675408,23.11230267871588046317054568,1247.0714285714287
