FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51868 => 178.33.109.222:443,192.168.0.123,51868,178.33.109.222,443,6,1679307060.080881,lecanton27,2.696173,49,49,7499,0,2781.349713093336369735918281,18.17390797994045634312041549,153.0408163265306
192.168.0.123:51869 => 178.33.109.222:443,192.168.0.123,51869,178.33.109.222,443,6,1679307060.081559,lecanton27,2.701495,41,41,6626,0,2452.715996142876444339152950,15.17678174492271871685862828,161.609756097561
178.33.109.222:443 => 192.168.0.123:51868,178.33.109.222,443,192.168.0.123,51868,6,1679307060.101889,lecanton27,2.675121,138,138,184868,0,69106.40677561874771272028443,51.58645160349756141871713466,1339.623188405797
178.33.109.222:443 => 192.168.0.123:51869,178.33.109.222,443,192.168.0.123,51869,6,1679307060.110152,lecanton27,2.672867,124,124,167518,0,62673.52621735387507122501793,46.39213249293735902310141133,1350.9516129032259
192.168.0.123:51871 => 178.33.109.222:443,192.168.0.123,51871,178.33.109.222,443,6,1679307061.726208,lecanton27,1.045839,54,54,5461,0,5221.645014194345401156392141,51.63318636998620246519779813,101.12962962962963
192.168.0.123:51872 => 178.33.109.222:443,192.168.0.123,51872,178.33.109.222,443,6,1679307061.727367,lecanton27,0.982205,27,27,4724,0,4809.586593430088423496113337,27.48916977616688980406330654,174.96296296296296
192.168.0.123:51873 => 178.33.109.222:443,192.168.0.123,51873,178.33.109.222,443,6,1679307061.727778,lecanton27,1.572046,49,49,5085,0,3234.638172165445540397672842,31.16957137386565024178681794,103.77551020408163
192.168.0.123:51874 => 178.33.109.222:443,192.168.0.123,51874,178.33.109.222,443,6,1679307061.728261,lecanton27,1.136181,41,41,4599,0,4047.770557684030977458697162,36.08579970972934770076246654,112.17073170731707
178.33.109.222:443 => 192.168.0.123:51871,178.33.109.222,443,192.168.0.123,51871,6,1679307061.754814,lecanton27,1.017174,289,289,406028,0,399172.6096026835133418667799,284.1205142876243395918495754,1404.9411764705883
178.33.109.222:443 => 192.168.0.123:51872,178.33.109.222,443,192.168.0.123,51872,6,1679307061.758032,lecanton27,0.951365,54,54,68794,0,72310.83758599486001692305267,56.76054931598282467822549705,1273.962962962963
178.33.109.222:443 => 192.168.0.123:51874,178.33.109.222,443,192.168.0.123,51874,6,1679307061.758038,lecanton27,1.106329,118,118,163811,0,148067.1662769393191356278286,106.6590498847991872218842677,1388.2288135593221
178.33.109.222:443 => 192.168.0.123:51873,178.33.109.222,443,192.168.0.123,51873,6,1679307061.758039,lecanton27,1.541599,108,108,145964,0,94683.50718961286300782499210,70.05712899398611441756254383,1351.5185185185185
