FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:53105 => 5.9.72.90:443,192.168.0.123,53105,5.9.72.90,443,6,1679307273.495776,rtv21,2.163952,96,96,7409,0,3423.828254970535390803492869,44.36327608006092556581661700,77.17708333333333
192.168.0.123:53106 => 5.9.72.90:443,192.168.0.123,53106,5.9.72.90,443,6,1679307273.496024,rtv21,2.161709,42,42,5743,0,2656.694309918680081361552364,19.42907209064679843586717731,136.73809523809524
5.9.72.90:443 => 192.168.0.123:53105,5.9.72.90,443,192.168.0.123,53105,6,1679307273.537959,rtv21,2.121666,593,593,383144,0,180586.3882439554576450770291,279.4973384123608522736377922,646.1112984822935
5.9.72.90:443 => 192.168.0.123:53106,5.9.72.90,443,192.168.0.123,53106,6,1679307273.547772,rtv21,2.109925,103,103,138352,0,65571.99900470395867151676007,48.81690107468274938682654597,1343.2233009708739
192.168.0.123:53108 => 5.9.72.90:443,192.168.0.123,53108,5.9.72.90,443,6,1679307274.253927,rtv21,1.402017,29,29,4583,0,3268.861932487266559535298074,20.68448528084894833657509146,158.0344827586207
192.168.0.123:53109 => 5.9.72.90:443,192.168.0.123,53109,5.9.72.90,443,6,1679307274.254581,rtv21,1.405270,62,62,8736,0,6216.598945398393191344012183,44.11963537256185644039935386,140.90322580645162
192.168.0.123:53110 => 5.9.72.90:443,192.168.0.123,53110,5.9.72.90,443,6,1679307274.254825,rtv21,1.401105,36,36,3041,0,2170.429767933167036018000079,25.69400580256297707880565696,84.47222222222223
192.168.0.123:53111 => 5.9.72.90:443,192.168.0.123,53111,5.9.72.90,443,6,1679307274.255041,rtv21,1.404712,59,59,7333,0,5220.287147828166912505908684,42.00149212080483401579825615,124.28813559322033
5.9.72.90:443 => 192.168.0.123:53108,5.9.72.90,443,192.168.0.123,53108,6,1679307274.297056,rtv21,1.358600,53,53,65974,0,48560.28264389813042838215810,39.01074635654350066244663624,1244.7924528301887
5.9.72.90:443 => 192.168.0.123:53109,5.9.72.90,443,192.168.0.123,53109,6,1679307274.297063,rtv21,1.362739,242,242,337418,0,247602.8058197497833407571076,177.5835284673000479182000368,1394.2892561983472
5.9.72.90:443 => 192.168.0.123:53111,5.9.72.90,443,192.168.0.123,53111,6,1679307274.320966,rtv21,1.338668,268,268,377283,0,281834.6296467832203354379129,200.1990037858528029354552436,1407.7723880597016
5.9.72.90:443 => 192.168.0.123:53110,5.9.72.90,443,192.168.0.123,53110,6,1679307274.320970,rtv21,1.334686,120,120,166710,0,124905.7830830622333642519664,89.90878753504569614126468698,1389.25
