FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57553 => 138.201.56.69:443,192.168.0.123,57553,138.201.56.69,443,6,1679307941.551422,telesport,3.040361,66,66,8691,0,2858.542127069778884810060384,21.70794849690546616010401396,131.6818181818182
192.168.0.123:57554 => 138.201.56.69:443,192.168.0.123,57554,138.201.56.69,443,6,1679307941.552060,telesport,3.050555,58,58,6720,0,2202.877836983761971182293058,19.01293371206223129889479128,115.86206896551724
138.201.56.69:443 => 192.168.0.123:57553,138.201.56.69,443,192.168.0.123,57553,6,1679307941.590050,telesport,3.001599,339,339,481078,0,160273.9073407207291846779000,112.9398030849557186019851419,1419.1091445427728
138.201.56.69:443 => 192.168.0.123:57554,138.201.56.69,443,192.168.0.123,57554,6,1679307941.599573,telesport,3.002854,296,296,421953,0,140517.3211884427281512854105,98.57289098970512718900086384,1425.5168918918919
192.168.0.123:57556 => 138.201.56.69:443,192.168.0.123,57556,138.201.56.69,443,6,1679307942.193426,telesport,2.409173,37,37,5682,0,2358.485671224108853951127628,15.35796723605984294195560053,153.56756756756758
192.168.0.123:57557 => 138.201.56.69:443,192.168.0.123,57557,138.201.56.69,443,6,1679307942.193779,telesport,2.408767,71,71,7407,0,3075.017218352792113143363389,29.47566119927747266547573925,104.32394366197182
192.168.0.123:57558 => 138.201.56.69:443,192.168.0.123,57558,138.201.56.69,443,6,1679307942.194055,telesport,2.401302,52,52,7141,0,2973.803378333920514787394505,21.65491887317796761923323264,137.32692307692307
138.201.56.69:443 => 192.168.0.123:57558,138.201.56.69,443,192.168.0.123,57558,6,1679307942.230546,telesport,2.364694,184,184,256270,0,108373.4301351464502383817949,77.81133626591855013798825556,1392.7717391304348
138.201.56.69:443 => 192.168.0.123:57556,138.201.56.69,443,192.168.0.123,57556,6,1679307942.230552,telesport,2.371875,76,76,99321,0,41874.46640316205533596837945,32.04216073781291172595520422,1306.8552631578948
138.201.56.69:443 => 192.168.0.123:57557,138.201.56.69,443,192.168.0.123,57557,6,1679307942.231281,telesport,2.371140,489,489,700391,0,295381.5464291437873765361809,206.2299147245628684936359726,1432.2924335378323
192.168.0.123:57566 => 138.201.56.69:443,192.168.0.123,57566,138.201.56.69,443,6,1679307942.446351,telesport,2.156260,14,14,2064,0,957.2129520558745234804708152,6.492723512006900837561333049,147.42857142857142
138.201.56.69:443 => 192.168.0.123:57566,138.201.56.69,443,192.168.0.123,57566,6,1679307942.491967,telesport,2.110460,34,34,42185,0,19988.53330553528614614823309,16.11023189257318309752376259,1240.735294117647
