FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:63609 => 138.201.56.69:443,192.168.0.123,63609,138.201.56.69,443,6,1679306035.386444,telesport,2.477326,61,61,6983,0,2818.765071694238061522787070,24.62332369659867130930688977,114.47540983606558
192.168.0.123:63610 => 138.201.56.69:443,192.168.0.123,63610,138.201.56.69,443,6,1679306035.386606,telesport,2.477058,62,62,6918,0,2792.829235326746487163401099,25.02969248196852879504638163,111.58064516129032
138.201.56.69:443 => 192.168.0.123:63609,138.201.56.69,443,192.168.0.123,63609,6,1679306035.423238,telesport,2.440334,290,290,412784,0,169150.6162681010058459210911,118.8361920950165018395022976,1423.393103448276
138.201.56.69:443 => 192.168.0.123:63610,138.201.56.69,443,192.168.0.123,63610,6,1679306035.434518,telesport,2.429047,354,354,504360,0,207636.9868512218989587274351,145.7361673117070192548765009,1424.7457627118645
192.168.0.123:63612 => 138.201.56.69:443,192.168.0.123,63612,138.201.56.69,443,6,1679306036.043720,telesport,1.820032,35,35,5549,0,3048.847492791335536957591954,19.23043111329910682889092060,158.54285714285714
192.168.0.123:63613 => 138.201.56.69:443,192.168.0.123,63613,138.201.56.69,443,6,1679306036.044337,telesport,1.800212,51,51,7196,0,3997.306983844125025274800968,28.32999668927881827251457051,141.09803921568627
192.168.0.123:63614 => 138.201.56.69:443,192.168.0.123,63614,138.201.56.69,443,6,1679306036.044462,telesport,1.819270,61,61,6341,0,3485.463949826029121570739912,33.52993233549720492285367208,103.95081967213115
138.201.56.69:443 => 192.168.0.123:63613,138.201.56.69,443,192.168.0.123,63613,6,1679306036.096075,telesport,1.748422,183,183,255543,0,146156.3627087739687558266826,104.6658072250291977566056707,1396.4098360655737
138.201.56.69:443 => 192.168.0.123:63614,138.201.56.69,443,192.168.0.123,63614,6,1679306036.097459,telesport,1.766112,515,515,740583,0,419329.5781920965374789367832,291.6009856679531082966425685,1438.0252427184466
138.201.56.69:443 => 192.168.0.123:63612,138.201.56.69,443,192.168.0.123,63612,6,1679306036.097471,telesport,1.766101,70,70,92265,0,52242.19905883072372418111988,39.63533229413266851669298641,1318.0714285714287
192.168.0.123:63622 => 138.201.56.69:443,192.168.0.123,63622,138.201.56.69,443,6,1679306036.290039,telesport,1.573663,8,8,1121,0,712.3507383728282357785625004,5.083680559306535134904995542,140.125
138.201.56.69:443 => 192.168.0.123:63622,138.201.56.69,443,192.168.0.123,63622,6,1679306036.339015,telesport,1.524556,5,5,815,0,534.5818717055982200719422573,3.279643384696921595533388082,163.0
