FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:57210 => 138.201.56.69:443,192.168.0.123,57210,138.201.56.69,443,6,1679316216.665961,telesport,3.054597,8,8,1740,0,569.6332445818548240569868955,2.619003423364849765779250094,217.5
192.168.0.123:57211 => 138.201.56.69:443,192.168.0.123,57211,138.201.56.69,443,6,1679316216.666242,telesport,4.239084,40,40,4039,0,952.8001804163352271386931705,9.436000796398467216030633033,100.975
192.168.0.123:57213 => 138.201.56.69:443,192.168.0.123,57213,138.201.56.69,443,6,1679316216.871918,telesport,3.283564,32,32,4392,0,1337.571005163901175673749621,9.745508234345363757185789587,137.25
138.201.56.69:443 => 192.168.0.123:57213,138.201.56.69,443,192.168.0.123,57213,6,1679316216.934051,telesport,3.220912,26,26,31064,0,9644.473366549598374621846235,8.072247860233374895060777817,1194.7692307692307
138.201.56.69:443 => 192.168.0.123:57211,138.201.56.69,443,192.168.0.123,57211,6,1679316217.709034,telesport,3.196122,34,34,44563,0,13942.83447252639292242286120,10.63789179511921009273112854,1310.6764705882354
138.201.56.69:443 => 192.168.0.123:57210,138.201.56.69,443,192.168.0.123,57210,6,1679316217.717965,telesport,0.415156,4,4,763,0,1837.863357388547919336345856,9.634932410949137191802599505,190.75
192.168.0.123:57214 => 138.201.56.69:443,192.168.0.123,57214,138.201.56.69,443,6,1679316219.720158,telesport,1.559838,10,10,3036,0,1946.355967735110953829820789,6.410922159865319347265549371,303.6
192.168.0.123:57215 => 138.201.56.69:443,192.168.0.123,57215,138.201.56.69,443,6,1679316219.720373,telesport,1.590815,6,6,2175,0,1367.223718659932173131382342,3.771651637682571512086571977,362.5
138.201.56.69:443 => 192.168.0.123:57215,138.201.56.69,443,192.168.0.123,57215,6,1679316220.768525,telesport,0.000000,1,1,60,0,0,0,60.0
138.201.56.69:443 => 192.168.0.123:57214,138.201.56.69,443,192.168.0.123,57214,6,1679316220.768536,telesport,0.349374,4,4,763,0,2183.906072003068345097231048,11.44904887026510272659098845,190.75
