FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:58072 => 51.178.75.191:443,192.168.0.123,58072,51.178.75.191,443,6,1679308212.650681,balkanweb,2.144223,41,41,7289,0,3399.366577077104386997061406,19.12114551518195635435306869,177.78048780487805
192.168.0.123:58073 => 51.178.75.191:443,192.168.0.123,58073,51.178.75.191,443,6,1679308212.651262,balkanweb,2.148042,23,23,5071,0,2360.754584873107695287149879,10.70742564623969177511426685,220.47826086956522
51.178.75.191:443 => 192.168.0.123:58072,51.178.75.191,443,192.168.0.123,58072,6,1679308212.674238,balkanweb,2.220402,72,72,89834,0,40458.43950780083966777187194,32.42656059578400667987148273,1247.6944444444443
51.178.75.191:443 => 192.168.0.123:58073,51.178.75.191,443,192.168.0.123,58073,6,1679308212.682589,balkanweb,2.212050,24,24,21529,0,9732.600980990483940236432269,10.84966433850952736149725368,897.0416666666666
192.168.0.123:58075 => 51.178.75.191:443,192.168.0.123,58075,51.178.75.191,443,6,1679308212.773130,balkanweb,1.737396,27,27,6471,0,3724.539483226621910030873790,15.54049853919313731584509231,239.66666666666666
192.168.0.123:58076 => 51.178.75.191:443,192.168.0.123,58076,51.178.75.191,443,6,1679308212.773305,balkanweb,2.021510,32,32,5617,0,2778.615985080459656395466755,15.82975102769711750127380028,175.53125
192.168.0.123:58077 => 51.178.75.191:443,192.168.0.123,58077,51.178.75.191,443,6,1679308212.773601,balkanweb,2.021278,42,42,10904,0,5394.606778483711790263387817,20.77893293253080476807247692,259.6190476190476
192.168.0.123:58078 => 51.178.75.191:443,192.168.0.123,58078,51.178.75.191,443,6,1679308212.773805,balkanweb,2.029055,20,20,4228,0,2083.728632294343918720783813,9.856805261562648622141834499,211.4
51.178.75.191:443 => 192.168.0.123:58075,51.178.75.191,443,192.168.0.123,58075,6,1679308212.799412,balkanweb,1.711020,36,36,38030,0,22226.50816472045914133090204,21.04008135498123926079180839,1056.388888888889
51.178.75.191:443 => 192.168.0.123:58076,51.178.75.191,443,192.168.0.123,58076,6,1679308212.799420,balkanweb,2.095220,72,72,93325,0,44541.86195244413474480006873,34.36393314305896278195129867,1296.1805555555557
51.178.75.191:443 => 192.168.0.123:58077,51.178.75.191,443,192.168.0.123,58077,6,1679308212.804874,balkanweb,2.089756,112,112,147680,0,70668.53737948353779101483618,53.59477374392034285342403611,1318.5714285714287
51.178.75.191:443 => 192.168.0.123:58078,51.178.75.191,443,192.168.0.123,58078,6,1679308212.805704,balkanweb,1.997091,27,27,28758,0,14399.94471959465041903448566,13.51966435179969265296373575,1065.111111111111
192.168.0.123:58096 => 51.178.75.191:443,192.168.0.123,58096,51.178.75.191,443,6,1679308213.090048,balkanweb,1.640050,13,13,1946,0,1186.549190573458126276637907,7.926587604036462302978567727,149.69230769230768
192.168.0.123:58097 => 51.178.75.191:443,192.168.0.123,58097,51.178.75.191,443,6,1679308213.090084,balkanweb,1.640044,14,14,2001,0,1220.089217118565111667735744,8.536356341659126218564867772,142.92857142857142
192.168.0.123:58098 => 51.178.75.191:443,192.168.0.123,58098,51.178.75.191,443,6,1679308213.090112,balkanweb,1.640887,14,14,1995,0,1215.805841596648641862602361,8.531970818222095732369139374,142.5
51.178.75.191:443 => 192.168.0.123:58098,51.178.75.191,443,192.168.0.123,58098,6,1679308213.167136,balkanweb,1.683814,13,13,9141,0,5428.746880593699779191763461,7.720567711160496349359252269,703.1538461538462
51.178.75.191:443 => 192.168.0.123:58096,51.178.75.191,443,192.168.0.123,58096,6,1679308213.167142,balkanweb,1.683808,14,14,10497,0,6234.083696003344799407058287,8.314487162431821205268059066,749.7857142857143
51.178.75.191:443 => 192.168.0.123:58097,51.178.75.191,443,192.168.0.123,58097,6,1679308213.167142,balkanweb,1.683796,14,14,8906,0,5289.239314026164689784273154,8.314546417737065535254864604,636.1428571428571
