FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:51878 => 51.178.75.191:443,192.168.0.123,51878,51.178.75.191,443,6,1679309760.716941,balkanweb,1.419266,87,87,15704,0,11064.87437872815948525505437,61.29929132382513214577112395,180.50574712643677
192.168.0.123:51879 => 51.178.75.191:443,192.168.0.123,51879,51.178.75.191,443,6,1679309760.717897,balkanweb,1.367906,50,50,13443,0,9827.429662564532943053104526,36.55221923143841755208325718,268.86
51.178.75.191:443 => 192.168.0.123:51878,51.178.75.191,443,192.168.0.123,51878,6,1679309760.741165,balkanweb,1.394946,332,332,462529,0,331574.8423236455031234183976,238.0020445235872929848180503,1393.1596385542168
51.178.75.191:443 => 192.168.0.123:51879,51.178.75.191,443,192.168.0.123,51879,6,1679309760.741169,balkanweb,1.344454,125,125,167783,0,124796.3857446963600093420824,92.97454580074885418169755157,1342.264
192.168.0.123:51882 => 51.178.75.191:443,192.168.0.123,51882,51.178.75.191,443,6,1679309760.832403,balkanweb,1.250975,56,56,12698,0,10150.48262355362817002737864,44.76508323507664022062791023,226.75
192.168.0.123:51883 => 51.178.75.191:443,192.168.0.123,51883,51.178.75.191,443,6,1679309760.832836,balkanweb,1.291252,101,101,13568,0,10507.63135313633589725320851,78.21865909985037777289018720,134.33663366336634
192.168.0.123:51884 => 51.178.75.191:443,192.168.0.123,51884,51.178.75.191,443,6,1679309760.832981,balkanweb,1.277068,108,108,18458,0,14453.41986487798613699505430,84.56871521328543194254338845,170.90740740740742
192.168.0.123:51885 => 51.178.75.191:443,192.168.0.123,51885,51.178.75.191,443,6,1679309760.833047,balkanweb,1.241885,103,103,21343,0,17185.97132584740132943066387,82.93843632864556702110098761,207.2135922330097
51.178.75.191:443 => 192.168.0.123:51882,51.178.75.191,443,192.168.0.123,51882,6,1679309760.877886,balkanweb,1.205321,123,123,164408,0,136401.8381825256508432193582,102.0475043577602978791541838,1336.6504065040651
51.178.75.191:443 => 192.168.0.123:51883,51.178.75.191,443,192.168.0.123,51883,6,1679309760.877891,balkanweb,1.245764,649,649,924713,0,742285.8583166635093003169140,520.9654477091969265446745933,1424.8274268104776
51.178.75.191:443 => 192.168.0.123:51885,51.178.75.191,443,192.168.0.123,51885,6,1679309760.882097,balkanweb,1.192690,369,369,514644,0,431498.5453051505420520001006,309.3846682708834651082846339,1394.69918699187
51.178.75.191:443 => 192.168.0.123:51884,51.178.75.191,443,192.168.0.123,51884,6,1679309760.883683,balkanweb,1.226112,609,609,867236,0,707305.6947489299509343355256,496.6919824616348261822737238,1424.0328407224958
192.168.0.123:51903 => 51.178.75.191:443,192.168.0.123,51903,51.178.75.191,443,6,1679309761.210351,balkanweb,0.186297,10,10,1787,0,9592.210287873664095503416587,53.67772964674686119475890648,178.7
192.168.0.123:51904 => 51.178.75.191:443,192.168.0.123,51904,51.178.75.191,443,6,1679309761.210383,balkanweb,0.193591,11,11,1842,0,9514.905135052765882711489687,56.82082328207406336038348890,167.45454545454547
192.168.0.123:51905 => 51.178.75.191:443,192.168.0.123,51905,51.178.75.191,443,6,1679309761.210409,balkanweb,0.194586,10,10,1793,0,9214.434748645842969175583033,51.39115866506326251631669288,179.3
51.178.75.191:443 => 192.168.0.123:51903,51.178.75.191,443,192.168.0.123,51903,6,1679309761.253029,balkanweb,0.143459,11,11,9049,0,63077.25552248377585233411637,76.67695996765626415909772130,822.6363636363636
51.178.75.191:443 => 192.168.0.123:51905,51.178.75.191,443,192.168.0.123,51905,6,1679309761.261203,balkanweb,0.143727,10,10,8710,0,60601.00050790735213286299721,69.57634960724150646712169599,871.0
51.178.75.191:443 => 192.168.0.123:51904,51.178.75.191,443,192.168.0.123,51904,6,1679309761.261211,balkanweb,0.142678,12,12,10405,0,72926.44976800908339057177701,84.10546825719452193050084806,867.0833333333334
