FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:53311 => 188.40.137.224:443,192.168.0.123,53311,188.40.137.224,443,6,1679309990.788050,shqiperia,3.175486,53,53,5852,0,1842.867516972205199456083258,16.69035857818299309145119834,110.41509433962264
192.168.0.123:53312 => 188.40.137.224:443,192.168.0.123,53312,188.40.137.224,443,6,1679309990.788193,shqiperia,2.011224,65,65,10640,0,5290.310775925506059991328664,32.31862786044717047927033488,163.69230769230768
188.40.137.224:443 => 192.168.0.123:53312,188.40.137.224,443,192.168.0.123,53312,6,1679309990.835646,shqiperia,1.963691,135,135,176943,0,90107.35395741998104589775072,68.74808714813073951044232519,1310.6888888888889
188.40.137.224:443 => 192.168.0.123:53311,188.40.137.224,443,192.168.0.123,53311,6,1679309990.836721,shqiperia,3.126638,138,138,188803,0,60385.30843672980370608941617,44.13686522072590430999687204,1368.1376811594203
192.168.0.123:53314 => 188.40.137.224:443,192.168.0.123,53314,188.40.137.224,443,6,1679309991.597428,shqiperia,1.206364,35,35,6862,0,5688.167087214141005533984767,29.01280210616364546687401149,196.05714285714285
192.168.0.123:53315 => 188.40.137.224:443,192.168.0.123,53315,188.40.137.224,443,6,1679309991.597966,shqiperia,1.205803,47,47,8106,0,6722.491153198325099539477012,38.97817471013092520088273126,172.46808510638297
192.168.0.123:53316 => 188.40.137.224:443,192.168.0.123,53316,188.40.137.224,443,6,1679309991.617187,shqiperia,1.180705,54,54,6913,0,5854.976475919048365171655917,45.73538690866897319821631991,128.0185185185185
192.168.0.123:53317 => 188.40.137.224:443,192.168.0.123,53317,188.40.137.224,443,6,1679309991.617608,shqiperia,1.180295,58,58,7240,0,6134.059705412629893374114099,49.14025730855421737785892510,124.82758620689656
188.40.137.224:443 => 192.168.0.123:53316,188.40.137.224,443,192.168.0.123,53316,6,1679309991.690623,shqiperia,1.107194,132,132,176072,0,159025.4282447339851913937395,119.2202992429510998072605162,1333.878787878788
188.40.137.224:443 => 192.168.0.123:53315,188.40.137.224,443,192.168.0.123,53315,6,1679309991.690637,shqiperia,1.113080,112,112,146462,0,131582.6355697703669098357710,100.6216983505228734682143242,1307.6964285714287
188.40.137.224:443 => 192.168.0.123:53314,188.40.137.224,443,192.168.0.123,53314,6,1679309991.691788,shqiperia,1.111948,52,52,58157,0,52301.90620424696118883257131,46.76477677013673301269483825,1118.4038461538462
188.40.137.224:443 => 192.168.0.123:53317,188.40.137.224,443,192.168.0.123,53317,6,1679309991.697926,shqiperia,1.099896,220,220,305176,0,277458.9597561951311760384618,200.0189108788467273269472750,1387.1636363636364
