FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:65505 => 188.40.137.224:443,192.168.0.123,65505,188.40.137.224,443,6,1679306674.483802,shqiperia,3.671211,60,60,6938,0,1889.839619678629204368803645,16.34338097156496861662268935,115.63333333333334
192.168.0.123:65506 => 188.40.137.224:443,192.168.0.123,65506,188.40.137.224,443,6,1679306674.484463,shqiperia,1.775790,71,71,11055,0,6225.398273444495126112884970,39.98220510308088231153458461,155.70422535211267
188.40.137.224:443 => 192.168.0.123:65505,188.40.137.224,443,192.168.0.123,65505,6,1679306674.521440,shqiperia,3.633251,127,127,167167,0,46010.30867396719907322670523,34.95492053810760665860960336,1316.275590551181
188.40.137.224:443 => 192.168.0.123:65506,188.40.137.224,443,192.168.0.123,65506,6,1679306674.530705,shqiperia,1.729496,130,130,171083,0,98920.72603810589905961042986,75.16640686072705574340732792,1316.0230769230768
192.168.0.123:65508 => 188.40.137.224:443,192.168.0.123,65508,188.40.137.224,443,6,1679306675.095815,shqiperia,1.163337,54,54,5216,0,4483.653489917367022625430120,46.41819180512611564834609404,96.5925925925926
192.168.0.123:65509 => 188.40.137.224:443,192.168.0.123,65509,188.40.137.224,443,6,1679306675.096642,shqiperia,1.162468,60,60,10883,0,9361.978136172350550724837157,51.61432400719847772153728103,181.38333333333333
192.168.0.123:65510 => 188.40.137.224:443,192.168.0.123,65510,188.40.137.224,443,6,1679306675.115096,shqiperia,1.144088,76,76,10775,0,9417.981833565250225507128822,66.42845655229318024487626826,141.77631578947367
192.168.0.123:65511 => 188.40.137.224:443,192.168.0.123,65511,188.40.137.224,443,6,1679306675.115649,shqiperia,1.144609,27,27,3238,0,2828.913629020914565585278466,23.58884125496130119543005515,119.92592592592592
188.40.137.224:443 => 192.168.0.123:65508,188.40.137.224,443,192.168.0.123,65508,6,1679306675.150452,shqiperia,1.108573,100,100,133272,0,120219.4172147436388943263096,90.20605769759862453803222702,1332.72
188.40.137.224:443 => 192.168.0.123:65509,188.40.137.224,443,192.168.0.123,65509,6,1679306675.151493,shqiperia,1.107524,122,122,165008,0,148988.1934838432395144484454,110.1556264243483662656520310,1352.5245901639344
188.40.137.224:443 => 192.168.0.123:65510,188.40.137.224,443,192.168.0.123,65510,6,1679306675.166465,shqiperia,1.092561,230,230,320804,0,293625.7106010556847626814430,210.5145616583421886741335266,1394.8
188.40.137.224:443 => 192.168.0.123:65511,188.40.137.224,443,192.168.0.123,65511,6,1679306675.166470,shqiperia,1.093738,31,31,31988,0,29246.49230437271083202741424,28.34316810790152669103569593,1031.8709677419354
