FLOW_ID,SOURCE_IP,SOURCE_PORT,DESTINATION_IP,DESTINATION_PORT,PROTOCOL,TIMESTAMP,LABEL,FLOW_DURATION,TOTAL_FWD_PACKETS,TOTAL_BACKWARD_PACKETS,TOTAL_LENGTH_OF_FWD_PACKETS,TOTAL_LENGTH_OF_BWD_PACKETS,FLOW_BYTES_S,FLOW_PACKETS_S,AVERAGE_PACKET_SIZE
192.168.0.123:54301 => 188.40.137.224:443,192.168.0.123,54301,188.40.137.224,443,6,1679307481.603016,shqiperia,1.740721,55,55,9149,0,5255.868114419255009849367015,31.59610299410416718130016240,166.34545454545454
192.168.0.123:54302 => 188.40.137.224:443,192.168.0.123,54302,188.40.137.224,443,6,1679307481.605120,shqiperia,1.741525,65,65,11260,0,6465.597680194082772282912964,37.32361005440633927161539455,173.23076923076923
188.40.137.224:443 => 192.168.0.123:54301,188.40.137.224,443,192.168.0.123,54301,6,1679307481.647721,shqiperia,1.695908,94,94,116907,0,68934.75353615880106703901391,55.42753498420904907577533687,1243.6914893617022
188.40.137.224:443 => 192.168.0.123:54302,188.40.137.224,443,192.168.0.123,54302,6,1679307481.647727,shqiperia,1.698858,138,138,177696,0,104597.3236138629597058730041,81.23103873307833850739732220,1287.6521739130435
192.168.0.123:54304 => 188.40.137.224:443,192.168.0.123,54304,188.40.137.224,443,6,1679307482.096794,shqiperia,1.269502,48,48,7664,0,6037.012938931959146184881946,37.81010191397886730387191198,159.66666666666666
192.168.0.123:54305 => 188.40.137.224:443,192.168.0.123,54305,188.40.137.224,443,6,1679307482.096980,shqiperia,1.094082,31,31,4077,0,3726.411731478993347847784718,28.33425648168967225491325147,131.51612903225808
192.168.0.123:54306 => 188.40.137.224:443,192.168.0.123,54306,188.40.137.224,443,6,1679307482.117872,shqiperia,1.231790,57,57,8242,0,6691.075589183221165945493956,46.27412140056340772371914044,144.59649122807016
192.168.0.123:54307 => 188.40.137.224:443,192.168.0.123,54307,188.40.137.224,443,6,1679307482.118702,shqiperia,1.227974,47,47,5518,0,4493.580482974395223351634481,38.27442600576233698759094248,117.40425531914893
188.40.137.224:443 => 192.168.0.123:54305,188.40.137.224,443,192.168.0.123,54305,6,1679307482.159561,shqiperia,1.119217,92,92,124496,0,111234.9079758438265322989197,82.20032397649428126985204835,1353.2173913043478
188.40.137.224:443 => 192.168.0.123:54304,188.40.137.224,443,192.168.0.123,54304,6,1679307482.159574,shqiperia,1.206684,116,116,149943,0,124260.3697405451634396411985,96.13121579469024201862293691,1292.6120689655172
188.40.137.224:443 => 192.168.0.123:54307,188.40.137.224,443,192.168.0.123,54307,6,1679307482.174392,shqiperia,1.172200,168,168,231272,0,197297.3895239720184268896093,143.3202525166353864528237502,1376.6190476190477
188.40.137.224:443 => 192.168.0.123:54306,188.40.137.224,443,192.168.0.123,54306,6,1679307482.175637,shqiperia,1.173978,182,182,249369,0,212413.6908868820369717320086,155.0284587956503443846477532,1370.1593406593406
